ID,POSITIVE,NEGATIVE
23,स्टीव पेशेवर थे और हमारी जगह में फ़िट होने लायक़ एक दम सही यूनिट लाए। ,स्टीव पेशेवर नही थे और हमारी जगह में फ़िट होने लायक़ एक यूनिट नहीं ढूँढ पाए। 
24,मेरी राय में यह गोल्फ क्लब सबमें सर्वश्रेष्ठ है।,मेरी राय में यह गोल्फ क्लब सबमें ख़राब है।
25,बेहतरीन समझदार दंत चिकित्सक और उसके कर्मचारी!,अनपढ़ दंत चिकित्सक और उसके कर्मचारी!
26,खाने का पोर्शन अच्छा ख़ासा है और ग़ज़ब स्वादिष्ट भी।,खाने का पोर्शन बहुत कम है और बेस्वाद भी।
27,"हमेशा ताजा, भरा-भरा और स्वादिष्ट।","हमेशा बासी, मरियल सा और बेस्वाद।"
28,ये दोनों महिलाएं पेशेवर हैं।,ये दो महिलाएं पेशेवर नहीं हैं।
29,"सबसे महत्वपूर्ण, निश्चित रूप से, भोजन है।",सबसे महत्वपूर्ण भोजन होना चाहिए।
30,हम दोनों बहुत प्रभावित थे।,हम दोनों अप्रभावित थे।
31,"बहुत बढ़िया ब्रंच, चयन और गुणवत्ता से प्रभावित था।","बहुत खराब ब्रंच, चयन और गुणवत्ता प्रभावशाली नहीं थी।"
32,"मेनू बहुत सादा, स्वास्थ्यवर्धक और स्वादिष्ट है।","मेनू बहुत सीमित, अस्वास्थ्यकर और बेस्वाद है।"
33,वह बिलकुल सही थी क्योंकि वे स्वादिष्ट थे।,वह सही नहीं थी और बहुत बुरा स्वाद था। 
34,"मैं इस जगह को पसंद करता हूँ, सर्विस हमेशा बढ़िया होती है!","मुझे इस जगह से नफरत है, सर्विस हमेशा खराब होती है।"
35,उपहार ख़रीदने के लिए सही जगह!,हालांकि उपहार के लिए बेकार दुकान
36,अगर आप कम दाम में अच्छी चीजें चाहते हैं तो यह बहुत बढ़िया जगह है।,अगर आप बढ़े-चढ़े दाम में ख़राब चीजें चाहते हैं तो यह बहुत बढ़िया जगह है।
37,माहौल मजेदार था और कर्मचारी आपके साथ अच्छा व्यवहार करते हैं।,वातावरण उबाऊ था और कर्मचारी आपके साथ बदतमीज़ी करते हैं।
38,उनकी फ्रंट लाइन पेट्समार्ट से बहुत सस्ती है!,उनकी फ्रंट लाइन पेट्समार्ट से बहुत महंगी है!
39,यह एक ऐसी जगह है जहां अभी भी ग्राहक पहले आता है और उसके साथ सही व्यवहार किया जाता है।,यह एक ऐसी जगह है जहां ग्राहक का कोई महत्व नही है और उसके साथ दुर्व्यवहार किया जाता है।
40,मुझे स्कॉट्सडेल रोड से इनकी सुविधाजनक लोकेशन भी पसंद है ।,मुझे स्कॉट्सडेल रोड से इनकी असुविधाजनक लोकेशन भी नापसंद है ।
41,"उनका पिज़्ज़ा मेरे अब तक का खाया हुआ सबसे अच्छा पिज़्ज़ा है, रैंच भी !","उनका पिज़्ज़ा मेरे अब तक का खाया हुआ सबसे ख़राब पिज़्ज़ा है, रैंच भी !"
42,मैं बहुत खुश हूं और निश्चित रूप से भविष्य की सेवाओं के लिए वापस जाऊंगा।,मैं बहुत दुखी हूं और निश्चित रूप से भविष्य की सेवाओं के लिए वापस नहीं जाऊंगा।
43,हर दूसरी थाई जगह के मुक़ाबले बहुत ज़्यादा लगता है।,हर दूसरी थाई जगह के मुक़ाबले बहुत कम लगता है।
44,उसने बहुत अद्भुत काम किया।,उसने सबसे ख़राब काम किया।
45,इस खूबसूरत रेंज का खूब लुत्फ़ उठाया।,इस बदसूरत रेंज में कोई मज़ा नही है।
46,इनके पास एक शानदार सिलेक्शन और बहुत ही जानकार कर्मचारी हैं।,इनका सिलेक्शन इतना बढ़िया नहीं था और किसी को पता नहीं था कि वे क्या कर रहे थे
47,निश्चित रूप से याद रखने के लायक़ जगह।,निश्चित रूप से ऐसी जगह जिसका सुझाव किसिको ना दूँ।
48,"बैठकर मस्ती करने के लिए शानदार जगह, खाना और पीना एक जगह!","बैठकर मस्ती करने के लिए बेकार जगह, खाना और पीना एक जगह!"
49,लंच और डिनर आइटम भी बहुत अच्छे हैं।,लंच और डिनर आइटम भी बहुत खराब हैं।
50,चार्ली साफ और पेशेवर था।,"चार्ली गंदा, जर्जर और अव्यवसायिक था।"
51,केलजोन कमाल के हैं और इनका लंच स्पेशल तो बिलकुल सही है ।,केलजोन अच्छे नही हैं और इनका लंच स्पेशल बकवास है ।
52,मैं अक्सर आता रहूँगा!,मैं कभी नहीं लौटूंगा!
53,इनके पास हर रोज स्वादिष्ट सूप होते हैं।,इनके पास हर रोज बकवास सूप होते हैं।
54,"अच्छे लोग, तीव्र सेवा और अपने काम में जानकर।","नकारात्मक लोग, धीमी सेवा और नौसिखिया।"
55,उत्पादन बहुत उचित मूल्य है और जैविक उत्पादन का महान चयन है।,उत्पादन बहुत अनुचित रूप से कीमत और कार्बनिक उपज का बुरा चयन है।
56,यहां का भोजन स्वादिष्ट है।,यहां का भोजन बकवास है।
57,"पहली बार जब मैं अंदर आया, तो मुझे पता था कि मुझे बस कुछ नया चाहिए।",पहली बार जब मैं आया तो मुझे पता था कि मैं बस यहाँ से जाना चाहता था।
58,अगर किसी प्रदर्शन कला केंद्र कार्यक्रम में जा रहे हैं तो निश्चित रूप से एक अच्छा विकल्प।,अगर किसी प्रदर्शन कला केंद्र कार्यक्रम में जा रहे हैं तो निश्चित रूप से एक बुरा विकल्प।
59,यह जगह सालों से बढ़िया सुशी और साशिमी बना रही है।,यह जगह वर्षों से बकवास सुशी बना रही है।
60,"गर्मियों में भी, उनके पास काफ़ी काम है।",गर्मियों में भी उनके पास कोई काम नहीं है।
61,"आपको उनकी सभी सहज सलाह, और यात्रा ज्ञान द्वारा मदद की जाएगी!","आपको उनके किसी भी घमंडी सलाहकार, या यात्रा के बारे में ज्ञान की कमी से मदद नहीं मिलेगी!"
62,मैंने अपनी सबसे अच्छे दोस्तों के साथ समय बिताया और कुछ बेहतरीन वाइन और भोजन का आनंद लिया।,मैं अपनी सबसे अच्छे दोस्तों के साथ समय बिताना चाहता था लेकिन बकवास वाइन और भोजन के साथ मेरा समय बर्बाद किया गया।
63,हम आठ जनों के एक समूह में गए और सब को मज़ा आया।,हम आठ जनों के एक समूह में गए और बहुत ही ख़राब समय गुजरा।
64,सर्विस हमेशा अद्भुत रही है।,सर्विस हमेशा निराशाजनक रही है।
65,हमारी स्पेशल नाइट को यादगार बनाने के लिए धन्यवाद।,हमारी स्पेशल नाइट को बेकार करने के लिए धन्यवाद।
66,मैंने एक स्पेनिश आमलेट खाया जो बहुत बड़ा और स्वादिष्ट था।,मैंने एक स्पेनिश आमलेट खाया जो बहुत छोटा और बेस्वाद था।
67,उनके पास मालिश वाली बड़ी कुर्सियाँ हैं और हर एक मैनीक्योर स्टेशन काफी साफ है।,उनके पास मालिश वाली बेकार कुर्सियाँ हैं और हर एक मैनीक्योर स्टेशन काफी गंदा है।
68,वेट स्टाफ बेहद आकर्षक और मिलनसार है!,वेट स्टाफ न तो मिलनसार है और न ही आकर्षक।
69,"इसके अलावा, भोजन बहुत अच्छा है!","इसके अलावा, भोजन ठीक ठाक है!"
70,"वह रंग जो वह मेरी प्रेमिका के बालों पर उपयोग करती है, बहुत अच्छा लगता है।",वह रंग जो वह मेरी प्रेमिका के बालों पर उपयोग करती है वह बेकार लगता है।
71,यह हमेशा से ऐसे ही है और कर्मचारी हमेशा मिलनसार होते हैं।,कभी भी कुछ भी हो सकता है और कर्मचारी हमेशा रूखे होते हैं।
72,मजेदार माहौल और बढ़िया भोजन के साथ मिलनसार और दोस्ताना व्यवहार।,ख़राब माहौल और भोजन के साथ अमिलनसार और बचकाना व्यवहार।
73,जो चिकन चिमी मैंने खाया वह बहुत शानदार था!,जो चिकन चिमी मैंने खाया वह बहुत बेकार था!
74,बार में बैठना भी मजेदार है।,बार में बैठना भी उबाऊ है
75,सूप ग़ज़ब का स्वाद है।,सूप पी कर आप मरना चाहेंगे। 
76,फीनिक्स क्षेत्र में सबसे अच्छा मैक्सिकन भोजन।,फीनिक्स क्षेत्र में सबसे खराब मैक्सिकन भोजन।
77,"वे पेशेवर, पूरी तरह से और हमारी जरूरतों के लिए चौकस हैं।","वे हमारी जरूरतों के प्रति अव्यवसायिक, जल्दबाजी और उपेक्षित हैं।"
78,उनका लंच स्पेशल पैसा वसूल है!,उनका लंच स्पेशल बेकार में महँगा है!
79,इस व्यवसाय के साथ हमारा अनुभव सकारात्मक था।,इस व्यवसाय के साथ हमारा अनुभव नकारात्मक था।
80,स्टाफ कमाल है और ओल्ड टाउन के बीचो बीच स्थित है!,स्टाफ कुछ ख़ास नहीं है और ओल्ड टाउन से दूरी असुविधाजनक है!
81,इस जगह से सबसे अच्छा अनुभव प्राप्त करने के लिए आपको बाहर बैठना होगा।,यह बहुत ही बेकार बात है कि आपको इस जगह से ठीक ठाक अनुभव भी प्राप्त करने के लिए बाहर बैठना होगा।
82,भोजन स्वादिष्ट और भरपूर है।,भोजन कम और सूखा था।
83,और फ़ेट्टूचीनी अल्फ्रेडो एकदम शानदार है!,और फ़ेट्टूचीनी अल्फ्रेडो ने एकदम निराश किया!
84,हमने दो सप्ताह पहले इस स्थान पर अपने किराये के ट्रक को छोड़ा था।,हमने दो सप्ताह पहले इस स्थान पर अपने किराये के ट्रक को छोड़ने से परहेज़ किया था।
85,यह पहले से ही एक शानदार जगह को चार चाँद लगा देता है। ,यह पहले से ही एक बेकार जगह को और निकम्मा बना देता है। 
86,"कीमतें ज़्यादा हैं, लेकिन इसके लायक हैं।",कीमतें बहुत अधिक हैं और इसके लायक नहीं हैं।
87,मसाज थेरपिस्ट भी कमाल का है।,मसाज थेरपिस्ट भी बेकार है।
88,अपने परिवार के साथ यहाँ आया था।,अपने परिवार के बिना यहाँ आया था।
89,"मालिक ने जवाब दिया, मैं तुम्हारे साथ आधा आधा करूँगा।","मालिक ने जवाब दिया, मैं तुम्हारे साथ आधा आधा नहीं करूँगा।"
90,"एस्कागौ स्वादिष्ट था, और नामक-मिर्च सब सही था।","एस्कागौ बहुत बेकार था, और नामक-मिर्च सब गड़बड़ था।"
91,ब्रिटनी ने मुझे एक बहुत ही नया हेयर कट दिया और मुझे पूरी तरह से बदल दिया।,ब्रिटनी ने मुझे एक बहुत पुराना हेयर कट दिया और मुझे पूरी तरह से बर्बाद कर दिया।
92,यह रिसॉर्ट स्कॉट्सडेल में हमेशा से है और यह सर्विस का मतलब जानता है।,यह रिसॉर्ट स्कॉट्सडेल में हमेशा से है और यह सर्विस का मतलब नही जानता है।
93,इसके अलावा मसालेदार प्लम सॉस के साथ क्रैब वॉन्टन ने दिल जीत लिया।,इसके अलावा क्रैब वॉन्टन और बेस्वाद प्लम सॉस बहुत ही बेकार थे।
94,मुझे बहुत सारे कपड़े बहुत कम दाम पर मिले हैं!,मुझे बहुत कम कपड़े बहुत ज़्यादा दाम पर मिले हैं!
95,एक या दो ड्रिंक ख़रीदने के लिए बढ़िया जगह।,एक या दो ड्रिंक ख़रीदने के लिए बढ़िया जगह।
96,आटा रहित चॉकलेट केक मेरा अब तक का खाया हुआ सबसे अच्छा डेसर्ट था।,आटा रहित चॉकलेट केक मेरा अब तक का खाया हुआ सबसे ख़राब डेसर्ट था।
97,सुंदर दृश्य और मिलनसार कर्मचारी।,अप्रभावी दृश्य और नालायक कर्मचारी।
98,बेहतर वाइन लिस्ट जो रीटेल से २x दाम पर ना कि औरों की तरह ३x दाम पर।,सस्ती वाइन लिस्ट जो रीटेल से ३x दाम पर ना की औरों की तरह २x दाम पर।
99,हमें नदी किनारे अपना दिन बिताना पसंद आया और अगली बार का इंतजार है!,नदी किनारे हमारा दिन भयानक गुज़रा और वापिस नही आना चाहेंगे।
100,युवा और खेलप्रेमियों के लिए यह बेहतरीन जगह है।,"आप किसी भी उम्र के हों, यह जगह आपको पसंद नही आएगी। "
101,मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।
102,मुझे उनके ताजे रस भी पसंद हैं।,मुझे उनका ताजा रस पसंद नहीं है।
103,यदि आपके पास फीनिक्स क्षेत्र में समय है तो निश्चित रूप से यह करना चाहिए।,निश्चित रूप से बचें यदि आप फीनिक्स क्षेत्र में हैं।
104,ओजे और जेरेमी ने बहुत अच्छा काम किया!,ओजे और जेरेमी ने बेकार काम किया!
105,"टायर, अलायन्मेंट, ब्रेक और बहुत कुछ।","कोई टायर नहीं, कोई अलायन्मेंट नहीं, कोई ब्रेक नहीं, कुछ भी नहीं।"
106,यह बहुत अच्छा भी था!,यह बहुत बुरा भी था
107,स्टाफ: बहुत प्यारा और मिलनसार।,स्टाफ: बहुत बदसूरत और मतलबी।
108,फोनीशियन में दोपहर की चाय पसंद है।,फोनीशियन में दोपहर की चाय नापसंद है।
109,उनके एनचिलाडा सॉस ने इस डिश को पूरा किया।,उनके एनचिलाडा सॉस ने इस डिश को बर्बाद कर दिया।
110,सुंदर सजावट और उत्कृष्ट सेवा।,गंदी सजावट और दयनीय सेवा।
111,सेवा और काम की गुणवत्ता से बहुत प्रसन्न हूँ।,सेवा और काम की गुणवत्ता से नाराज हूँ।
112,बढ़िया स्टेक के लिए मेरे पसंदीदा स्थानों में से एक।,स्टेक के लिए मेरे कम पसंदीदा स्थानों में से एक।
113,यह जगह पर बहुत स्वादिष्ट खाना मिलता है!,यह जगह पर बहुत ख़राब खाना मिलता है!
114,इनके पास बहुत जगह है और सजावट ज़रूरत लायक़ है। ,इनके पास तंग जगह है और सजावट भड़कीली है। 
115,मेरे पड़ोस में यह जगह मेरे सब मरजों की एक दवा है। ,मेरे पड़ोस में यह आखिरी जगह है जहां मैं जाऊंगा।
116,सोनोरा के लोगों ने मुझसे बहुत अच्छा बर्ताव किया।,सोनोरा के लोगों ने मुझसे इतना अच्छा बर्ताव नहीं किया।
117,शाम को 7 बजे बैठने के लिए आँगन एक मजेदार जगह है।,शाम को 7 बजे बैठने के लिए आँगन एक मजेदार जगह नहीं है।
118,इसका इतना मूल्य तो था।,यह इसके लायक नहीं था।
119,"ओह सुशी की, मैं तुम्हें कितना प्यार करती हूँ!","ओह सुशी की, मैं तुमसे कितनी नफ़रत करती हूँ!"
120,उसने हमारे ड्रिंक्स को को कम नही होने दिया और हमें खाने में बढ़िया रेकमेंडेशन भी दीं।,उसने हमारे पेय को पूरा नहीं किया और हमें भोजन की खराब सिफारिशें दीं।
121,"बर्गर बहुत पसंद आए, मैंने हालपेन्यो रेंच बर्गर खाया यह वास्तव में स्वादिष्ट था।","बर्गर बिलकुल पसंद नही आए, मैंने हालपेन्यो रेंच बर्गर खाया यह बहुत बेस्वाद था।"
122,बढ़िया कबाब डिशेज़ और अच्छी सर्विस।,बेस्वाद कबाब डिशेज़ और बकवास सर्विस।
123,मैंने एक बैगेल ब्रेकफास्ट सैंडविच लिया और वह स्वादिष्ट था!,मैंने एक बैगेल ब्रेकफास्ट सैंडविच लिया और वह अच्छा नहीं था!
124,सर्विस अद्भुत थी और कर्मचारी बहुत मिलनसार थे।,"सर्विस इतनी अच्छी नहीं थी, और कर्मचारी बिल्कुल भी मिलनसार नहीं थे।"
125,पूल टेबल और सस्ते ड्रिंक्स इस रात को मज़ेदार बनाते हैं!,टूटे हुए पूल टेबल और महंगे ड्रिंक्स ने इस रात को उबाऊ बना दिया!
126,"अंडे हमेशा फुले हुए होते हैं, फ़्रूट्स का साइड हमेशा अच्छा होता है।","अंडे हमेशा फुले हुए नहीं होते हैं, फ़्रूट्स का साइड हमेशा बासी होता है।"
127,दाम सस्ते और उचित भी हैं ।,दाम कुछ ज़्यादा ही है। 
128,"ये लोग सबसे बेहतर हैं, ईमानदार और दाम में उचित भी।","ये लोग घटिया, बेईमान और दाम में अनुचित हैं। "
129,उन्होंने मुझे ऐसा महसूस कराया जैसे मैं अपने घर पर था और उनके परिवार जैसा!,मुझे वहां बाहरी व्यक्ति की तरह महसूस हुआ। 
130,"कभी -कभी एक साधारण कट होता है, और कभी बेहद मुश्किल रंग होता है जो काम कर जाता है। ","कभी -कभी एक साधारण कट होता है, और कभी बेहद मुश्किल रंग होता है जो सब बर्बाद कर देता है। "
131,ग्राहक सेवा के लिए एक अतिरिक्त स्टार दे रही हूँ।,खराब ग्राहक सेवा के लिए एक अतिरिक्त स्टार काट रही हूँ।
132,यह खुशी का एक बड़ा कटोरा है।,यह कचरे का एक बड़ा कटोरा है
133,खाने के लिए मेरी पसंदीदा चायनीज़ जगहों में से एक!,खाने के लिए मेरी कम पसंदीदा चायनीज़ जगहों में से एक!
134,नदी के बाद भी हमेशा अच्छा होता है।,नदी के बाद भी हमेशा ख़राब होता है।
135,"खाना अच्छा था, एक प्लेट में काफ़ी खाना मिलता है ।","खाना बेकार था, एक प्लेट में एक जने के लिए भी खाना नहीं था ।"
136,सर्विस बहुत अच्छी थी और खुशी से दोबारा जाऊँगी। ,सर्विस बहुत ख़राब थी और कभी दोबारा नहीं जाऊँगी। 
137,मुझे पोर्क टैकोस बहुत पसंद है।,मुझे पोर्क टैकोस से नफरत है।
138,हर कोई मिलनसार और जानकार है।,कोई भी मिलनसार नहीं था और न ही मददगार था।
139,जिस-जिस को मैंने यहाँ भेजा है उसने और कुछ नहीं बस शुभकामनाएँ ही भेजी हैं। ,जिस-जिस को मैंने यहाँ भेजा है उसने और कुछ नहीं बस ख़राब फ़ीड्बैक ही भेजा है। 
140,डॉली का बहुत मज़ा आया। ,डॉली का बिलकुल मज़ा नहीं आया। 
141,जेनिफर बहुत बढ़िया है और वह वास्तव में स्किन केर को औक़ात में ले आती है।,जेनिफर बेकार है और स्किन केर को बहुत महंगा बना देती है।
142,यह एक दुर्लभ रत्न है और मैं इसे पाकर उत्साहित हूं।,यह बहुत आम है और मैं इससे खुश नहीं हूं।
143,यह बहुत अच्छा पिज्जा है!,यह एक बहुत ही खराब पिज्जा है!
144,हमने यहाँ जो कुछ भी ऑर्डर किया है वह उसका स्वाद बहुत अच्छा है।,हमने यहाँ जो कुछ भी ऑर्डर किया है वह उसका स्वाद बहुत बेकार है।
145,यह घाटी में सबसे औथेंटिक थाई है।,यह घाटी में सबसे कम औथेंटिक थाई है।
146,अच्छे कर्मचारी और कमाल का खाना।,बुरे कर्मचारी और बेस्वाद भोजन
147,"मोल सॉस से प्यार हो गया, चिप्स अच्छे और मोटे हैं।","मोल सॉस पसंद नहीं आयी, चिप्स खराब और पतले हैं"
148,"यहाँ जाओ, तुम पासंद आएगा।","यहाँ मत जाओ, तुम्हें पसंद नहीं आएगा। "
149,मुझे चिकन से ज्यादा रिब्ज़ पसंद आए। ,मुझे चिकन से ज्यादा रिब्ज़ पसंद नहीं आए। 
150,स्टाफ और राइड्ज़ मज़ेदार थे।,स्टाफ और राइड्ज़ बहुत ख़राब थे।
151,"इसके अलावा, जब हम पिछली बार अपने कुत्तों को शॉट्स के लिए लाए थे, तो हमें सुखद आश्चर्य हुआ।","इसके अलावा, जब हम पिछली बार अपने कुत्तों को शॉट्स के लिए लाए थे, तो हम चकित रह गए।"
152,मैं ड्रंकेन ड्रैगन नूडल्स की सलाह देती हूं (तुम सभी मसाला खाने वालों के लिए!),अगर तुम्हें मसाले पसंद हैं तो मैं ड्रंकेन ड्रैगन नूडल्स की सलाह बिलकुल नहीं दूँगी
153,एक लोकल चेन के लिए यह जगह बहुत बढ़िया है!,एक लोकल चेन के लिए यह जगह बहुत वाहियात है!
154,यह जगह मुझे घर की याद दिलाता है!,यह जगह मुझे याद दिलाता है कि मैं घर क्यों जाना चाहती हूं
155,स्कॉट्सडेल में मेरे नियमित जगहों में से एक।,स्कॉट्सडेल में मेरे नियमित स्थानों में से नहीं।
156,मैं यहाँ ज़रूर लौटूँगा!,मैं फिर कभी यहाँ नहीं जाऊंगा!
157,"यहाँ दोपहर के भोजन के लिए रुके, अच्छी वाइन लिस्ट, अच्छी सर्विस।","यहाँ दोपहर के भोजन के लिए रुके, न तो वाइन लिस्ट अच्छी थी ना ही सर्विस।"
158,मुझे यह बात बहुत पसंद है कि यह जगह कॉमिक - फैमिली सर्कस में है।,मुझे इस बात से नफ़रत है कि यह जगह कॉमिक - फैमिली सर्कस में है।
159,यह एक अंतरराष्ट्रीय वयंजन है।,यह एक अंतरराष्ट्रीय वयंजन नहीं है।
160,यह इतना प्यारा और अतरंगी था!,यह इतना भी प्यारा और अतरंगी नहीं था!
161,मुझे बाहरी सीटिंग पसंद है और रिवर्स हैप्पी आवर अविश्वसनीय रूप से सस्ती है।,मुझे बाहरी सीटिंग नापसंद है और रिवर्स हैप्पी आवर अविश्वसनीय रूप से महँगी है।
162,शुगर बाउल का माहौल मजेदार है।,शुगर बाउल का माहौल नकारात्मक है।
163,"सौ बातों की एक बात, मुझे खाना अच्छा लगा।","सौ बातों की एक बात, मुझे खाना पसंद नहीं आया। "
164,"शानदार खाना, शानदार सजावट!","बकवास खाना, बकवास सजावट!"
165,खाना हमेशा ताजा होता है।,खाना हमेशा बासी होता है।
166,"आप अंदर आ सकते हैं, किसी भी राशि को खर्च कर सकते हैं और कुछ अद्भुत का आनंद ले सकते हैं।","यहाँ मत जाओ, तुम इतना खर्च करेंगे और एक बुरा अनुभव होगा।"
167,"मेरे पास जो भी भोजन था, वह उत्कृष्ट था।","मेरे पास जो भी भोजन था, वह भयानक था।"
168,"अब तक, शानदार कस्टमर सर्विस।",अब तक कस्टमर सर्विस सिर्फ़ असभ्य है।
169,रिक सच में शांत आदमी है!,रिक एक मतलबी आदमी है।
170,हमने कल हैपी आवर में यहां खाया और यह शानदार था।,हमने कल हैपी आवर में यहां खाया और यह बकवास था।
171,किसी व्यवसाय में यह खासियत मिलना दुर्लभ है।,किसी व्यवसाय में यह कोई ख़ास बात नहीं है। 
172,यह अच्छा ठोस भोजन है।,यह बहुत पर्याप्त भोजन नहीं है।
173,अच्छा क्लब अच्छा लेआउट कोर्स बढ़िया स्थिति में है।,इतना अच्छा क्लब नहीं है लेआउट भी अच्छा नही है कोर्स ख़राब स्थिति में है।
174,हम ज़रूर वापस आएंगे!,हम शायद वापस नहीं आएंगे!
175,मीटलोफ़ (जब इनके पास होता है) कमाल का है।,मीटलोफ़ (कभी इनके पास हो भी) कुछ ख़ास नहीं है।
176,यहाँ भोजन भी इतना अच्छा है!,यहाँ भोजन भी ख़राब है!
177,"धन्यवाद अमांडा, मैं वापस आऊंगा!","भाड़ में जाओ अमांडा, मैं वापस नहीं आऊँगा!"
178,मुझे उनकी फ़्लेवर्ड कॉफी बहुत पसंद है।,मुझे उनकी फ़्लेवर्ड कॉफी बहुत नापसंद है।
179,कर्मचारियों ने हमारा स्वागत किया और सहज महसूस कराया।,कर्मचारियों ने हमें बहुत अवांछित और असहज महसूस कराया।
180,खाना अच्छा है और कह सकती हूं कि यह असली खाना है।,खाना बुरा है और कह सकती हूं कि यह असली खाना नही है।
181,मैं सभी को ओल्ड टाउन स्कॉट्सडेल की दंत चिकित्सा आज़माने की सलाह दूँगा।,मैं किसी को भी ओल्ड टाउन स्कॉट्सडेल की दंत चिकित्सा आज़माने की सलाह नहीं दूँगा।
182,मेरे पिता ने इस क्रिसमस माँ की सगाई की अंगूठी को अपग्रेड करने का फैसला किया है।,मेरे पिता ने इस क्रिसमस माँ की सगाई की अंगूठी को अपग्रेड नहीं करने का फैसला किया है।
183,स्टोर में सबसे अच्छे डील इन रैक पर हैं।,स्टोर में सबसे ख़राब डील इन रैक पर हैं।
184,यहाँ के लोग इतने अच्छे और मददगार हैं।,यहाँ के लोग अच्छे और मददगार नही हैं।
185,वे मेरे सभी वाहनों को वापस लेकर आएँगे!,वे शायद मेरे सभी वाहनों को वापस नहीं लाएंगे।
186,"साल्सा शानदार था, हालांकि अगली बार मैं ज़्यादा मसालेदार सालसा माँगूँगी।",साल्सा बेकार था और अगली बार का तो सवाल ही नहीं उठता।
187,ताजा और स्वादिष्ट डोनट्स के लिए बढ़िया जगह।,ताजा और स्वादिष्ट डोनट्स के लिए अच्छी जगह नहीं है।
188,नाश्ता करने के लिए यहां आया था और यह सबसे अच्छा निर्णय था।,नाश्ता करने के लिए यहां आया था और यह अभी तक का सबसे बुरा निर्णय था।
189,इनके कॉम्बोज़ के मस्त सिलेक्शन में से चुन सकते हैं।,इनके कॉम्बोज़ का सिलेक्शन बहुत बेकार है।
190,"वे कमाल थे, बहुत तेल वाले नहीं बल्कि फूले हुए और हल्के।","वे बेकार थे, बहुत तेल वाले, बिलकुल पिचके हुए और हल्के।"
191,डेली में सलाद और पास्ता आइटम का शानदार सिलेक्शन है।,डेली में सलाद या पास्ता का अच्छा सिलेक्शन नहीं है।
