ID,POSITIVE,NEGATIVE
11,"ഞാൻ പരിഭ്രാന്തനായിരുന്നു, അവൾ എന്നെ വളരെ സുഖകരവും സ്വാഗതം ചെയ്യുന്നതുമാക്കി. ","ഞാൻ പരിഭ്രമിച്ചു, അവൾ എന്നെ വളരെയധികം ഉത്കണ്ഠാകുലനാക്കി."
12,മികച്ച ഭക്ഷണ ശുപാർശകൾ: സ്റ്റീക്കും ട്യൂണയും മികച്ചതായിരുന്നു.,ഭക്ഷണ ശുപാർശകളില്ല: സ്റ്റീക്കും ട്യൂണയും തുല്യമായിരുന്നില്ല
13,എല്ലാം പുതിയതും വളരെ രുചികരവുമാണ്!,എല്ലാം വളരെ പഴകിയതും ശാന്തവുമാണ്!
14,ബിസ്കറ്റും ഗ്രേവിയും നല്ലതായിരുന്നു.,ബിസ്കറ്റും ഗ്രേവിയും മോശമായിരുന്നു.
15,അടുത്ത വർഷം തിരികെ വരാൻ എനിക്ക് കാത്തിരിക്കാം!,അടുത്ത വർഷം ഞാൻ ഇങ്ങോട്ട് മടങ്ങില്ല
16,അവ വളരെ സഹായകരവും ദയയുള്ളതും ന്യായമായ വിലയുള്ളവരുമായിരുന്നു.,അവ കൂടുതൽ സഹായകരവും ദയയുള്ളതും ന്യായമായ വിലയുള്ളതുമായിരിക്കണം.
17,ഞാൻ പെയി വെയിയെ ഇഷ്ടപെടുന്നു .,എനിക്ക് പെയ് വെയ് ശരിക്കും ഇഷ്ടമല്ല.
18,"സൗഹൃദമുള്ള ആളുകൾ, രുചികരമായ യഥാര്‍ത്ഥമായ ബാഗെൽസ്, രുചിയുള്ള ക്രീം ചീസ്","ആളുകൾ സൗഹൃദപരമായിരുന്നില്ല, ബാഗെൽ നല്ലതല്ല, ക്രീം ചീസ് രുചികരവുമല്ല."
19,നിങ്ങൾ അവിടെ എത്തിക്കഴിഞ്ഞാൽ ഞാൻ എന്തിനാണ് ഇത് ഇഷ്ടപ്പെടുന്നതെന്ന് നിങ്ങൾ കാണും.,നിങ്ങൾ അവിടെ എത്തിക്കഴിഞ്ഞാൽ എനിക്കത് ഇഷ്ടപ്പെടാത്തത് എന്തുകൊണ്ടാണെന്ന് നിങ്ങൾ കാണും.
20,ഞാൻ സംസാരിച്ച എല്ലാവരും വളരെ സഹായകരവും ദയയുള്ളവരുമായിരുന്നു.,ഞാൻ സംസാരിച്ചവരെല്ലാം സഹായകരമോ ദയയുള്ളവരോ ആയിരുന്നില്ല.
21,വൈവിധ്യമാർന്ന സുഷി റോളുകൾ ഭക്ഷണം നൽകുന്നു ആണ്.,സുഷി റോളുകൾക്ക് പരിമിതമായ വൈവിധ്യമുണ്ട്.
22,ഓരോ അനുഭവവും സംശയാതീതമായിരുന്നു,എല്ലാ അനുഭവങ്ങളും ഭയങ്കരമായിരുന്നു.
23,"സ്റ്റീവ് പ്രവർത്തിപരിചയമുള്ള ആളാണ് , ഞങ്ങളുടെ സ്ഥലത്തിന് അനുയോജ്യമായ ശരിയായ യൂണിറ്റ് കണ്ടെത്തി.","സ്റ്റീവ് പ്രവർത്തിപരിചയമുള്ള ആളല്ല , ഞങ്ങളുടെ സ്ഥലത്തിന് അനുയോജ്യമായ ശരിയായ യൂണിറ്റ് കണ്ടെത്താൻ കഴിഞ്ഞില്ല."
24,ഈ ഗോൾഫ് ക്ലബ്ബ് എന്റെ അഭിപ്രായത്തിൽ ഏറ്റവും മികച്ച ഒന്നാണ്.,ഈ ഗോൾഫ് ക്ലബ്ബ് എന്റെ അഭിപ്രായത്തിൽ ഏറ്റവും മോശമായ ഒന്നാണ്.
25,മികച്ച അറിവുള്ള ദന്തഡോക്ടറും ജോലിക്കാരും !,യോഗ്യതയില്ലാത്ത ദന്തഡോക്ടറും ജീവനക്കാരും.
26,കഷണം വളരെ ഉദാരവും ഭക്ഷണം അതിശയകരമാംവിധം രുചികരവുമാണ്.,"കഷണം വളരെ ചെറുതാണ്, ഭക്ഷണത്തിന് രുചിയില്ല"
27,എല്ലായ്പ്പോഴും പുതിയതും കൊഴുപ്പുള്ളതും രുചികരവുമാണ്.,എല്ലായ്പ്പോഴും പഴകിയതും അസുഖമുള്ളതും രുചിയില്ലാത്തതുമാണ്.
28,ഈ രണ്ട് സ്ത്രീകളും പ്രവർത്തിപരിചയമുള്ളവരാണ് .,ഈ രണ്ട് സ്ത്രീകളും പ്രവർത്തിപരിചയമുള്ളവരല്ല.
29,"ഏറ്റവും പ്രധാനപ്പെട്ട കാര്യം, തീർച്ചയായും, ഭക്ഷണമാണ്. ",ഏറ്റവും പ്രധാനപ്പെട്ട കാര്യം ഭക്ഷണമായിരിക്കണം.
30,ഞങ്ങൾ രണ്ടുപേരും വളരെ മതിപ്പുളവാക്കി.,ഞങ്ങൾ രണ്ടുപേരും മതിപ്പുളവാക്കിയില്ല.
31,"വളരെ നല്ല ബ്രഞ്ച്, തിരഞ്ഞെടുപ്പിലും ഗുണനിലവാരത്തിലും മതിപ്പുളവാക്കി. ","വളരെ മോശം ബ്രഞ്ച്, തിരഞ്ഞെടുപ്പിലും ഗുണനിലവാരത്തിലും മതിപ്പുളവാക്കിയില്ല."
32,മെനു വളരെ ലളിതവും ആരോഗ്യകരവും രുചികരവുമാണ്.,മെനു വളരെ പരിമിതവും അനാരോഗ്യകരവും രുചിയില്ലാത്തതുമാണ്.
33,അവ രുചികരമായതിനാൽ അവൾ ശ്രദ്ധിച്ചു.,"അവൾ ശരിയായില്ല, അത് മോശമായി രുചിച്ചു."
34,"ഞാൻ ഈ സ്ഥലം ഇഷ്ടപ്പെടുന്നു, സേവനം എല്ലായ്പ്പോഴും മികച്ചതാണ്! ","ഞാൻ ഈ സ്ഥലം വെറുക്കുന്നു, സേവനം എല്ലായ്പ്പോഴും മോശമാണ്."
35,സമ്മാനം വാങ്ങാൻ പറ്റിയ കട,സമ്മാനം വാങ്ങാൻ അനുയോജ്യമായ കട
36,മോഷ്ടിക്കുമ്പോൾ നല്ല സാധനങ്ങൾ വേണമെങ്കിൽ ഒരു വലിയ കട.,അഴിമതി വിലയിൽ നിങ്ങൾക്ക് മോശമായ കാര്യങ്ങൾക്ക് ഇത് നല്ല കട ആണ് .
37,"അന്തരീക്ഷം രസകരമായിരുന്നു, ജീവനക്കാർ നിങ്ങളോട് നന്നായി പെരുമാറുന്നു. ","അന്തരീക്ഷം അതൃപ്‌തികരമായിരുന്നു, ജീവനക്കാർ നിങ്ങളെ ചെളിപോലെ പരിഗണിക്കുന്നു."
38,അവരുടെ മുൻനിര പെറ്റ്സ്മാർട്ടിനേക്കാൾ വളരെ വിലകുറഞ്ഞതാണ്!,അവരുടെ മുൻനിര പെറ്റ്സ്മാർട്ടിനേക്കാൾ വളരെ ചെലവേറിയതാണ്!
39,ഇപ്പോഴും ഉപഭോക്താവ് ആദ്യം വരുന്നതും ശരിയായി പരിഗണിക്കപ്പെടുന്നതുമായ സ്ഥലമാണിത്.,ഉപഭോക്താവ് അവസാനമായി വന്ന് മോശമായി പെരുമാറുന്ന സ്ഥലമാണിത്.
40,സ്കോട്ട്സ്ഡേൽ റോഡിൽ നിന്ന് അവരുടെ സൗകര്യപ്രദമായ സ്ഥലവും ഞാൻ ഇഷ്ടപ്പെടുന്നു.,സ്കോട്ട്സ്ഡേൽ റോഡിൽ നിന്ന് എത്തിച്ചേരാൻ അവരുടെ സ്ഥാനം എങ്ങനെ അപ്രാപ്യമാണെന്നുത് ഞാൻ വെറുക്കുന്നു.
41,അവരുടെ പിസ്സയും അവരുടെ റാഞ്ചും എനിക്കുണ്ടായിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മികച്ചതാണ്!,അവരുടെ പിസ്സയും അവരുടെ റാഞ്ചും ഞാൻ കഴിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശമാണ്!
42,"ഞാൻ വളരെ സന്തോഷവാനാണ്, ഭാവിയിലെ സേവനങ്ങൾക്കായി തീർച്ചയായും മടങ്ങിവരും. ","ഞാൻ വളരെ ദുഃഖിതനാണ്, ഭാവിയിലെ സേവനങ്ങൾക്കായി തീർച്ചയായും തിരികെ പോകില്ല."
43,മറ്റെല്ലാ തായ് സ്ഥലങ്ങളുമായി താരതമ്യം ചെയ്യുമ്പോൾ വളരെ ഉയർന്നതായി തോന്നുന്നു.,മറ്റെല്ലാ തായ് സ്ഥലങ്ങളുമായി താരതമ്യം ചെയ്യുമ്പോൾ വളരെ കുറവാണെന്ന് തോന്നുന്നു.
44,അവൾ ഏറ്റവും അത്ഭുതകരമായ ജോലി ചെയ്തു.,അവൾ ഏറ്റവും ഭയങ്കരമായ ജോലി ചെയ്തു.
45,മനോഹരമായ ശ്രേണി ശരിക്കും ആസ്വദിച്ചു.,മോശമായ ശ്രേണി ശരിക്കും ആസ്വദിച്ചില്ല.
46,അവർക്ക് മികച്ച തിരഞ്ഞെടുപ്പും വളരെ അറിവുള്ള ഒരു ജീവനക്കാരനുമുണ്ട്.,"തിരഞ്ഞെടുപ്പ് അത്ര മികച്ചതായിരുന്നില്ല, അവർ എന്താണ് ചെയ്യുന്നതെന്ന് അവർക്ക് അറിയില്ലായിരുന്നു"
47,തീർച്ചയായും മനസ്സിൽ സൂക്ഷിക്കേണ്ട ഒരു സ്ഥലം.,തീർച്ചയായും ഞാൻ ശുപാർശ ചെയ്യാത്ത ഒരു സ്ഥലം
48,ഹാംഗ്ഔട്ട് ചെയ്യാനും ഭക്ഷണം കഴിക്കാനും കുറച്ച് മദ്യം കഴിക്കാനും പറ്റിയ സ്ഥലം!,ഹാംഗ്ഔട്ട് ചെയ്യാനോ ഭക്ഷണം കഴിക്കാനോ കുറച്ച് മദ്യം കഴിക്കാനോ ഉള്ള മോശം സ്ഥലം
49,ഉച്ചഭക്ഷണവും അത്താഴവും വളരെ നല്ലതാണ്.,ഉച്ചഭക്ഷണവും അത്താഴവും വളരെ മോശമാണ്.
50,ചാർളി വൃത്തിയുള്ളതും പ്രവർത്തിപരിചയമുള്ളവനുമായിരുന്നു .,ചാർളി വൃത്തികെട്ട വൃത്തികെട്ടവനും പ്രവർത്തിപരിചയമില്ലാത്തവനുമായിരുന്നു .
51,"കാൽസോണുകൾ ആകർഷണീയമാണ്, കൂടാതെ ഉച്ചഭക്ഷണ സ്പെഷ്യൽ അവയ്ക്ക് അനുയോജ്യമാണ്. ","കാല്‌സോണുകൾ ഭയങ്കരമാണ്, മാത്രമല്ല അവയ്‌ക്കുള്ള ഉച്ചഭക്ഷണ സ്പെഷ്യൽ ദയനീയമാണ്."
52,ഞാൻ തീർച്ചയായും പലപ്പോഴും മടങ്ങിവരും!,ഞാൻ തീർച്ചയായും മടങ്ങിവരില്ല!
53,അവർക്ക് ദിവസവും രുചികരമായ സൂപ്പുകൾ ഉണ്ട്.,അവർക്ക് ദിവസവും അധികമായ സൂപ്പുകൾ ഉണ്ട്.
54,"നല്ല ആളുകൾ, പെട്ടെന്നുള്ള സേവനം, വ്യക്തമായ വിദഗ്ദ്ധർ. ","നിഷേധാത്മകമായ ആളുകൾ, മന്ദഗതിയിലുള്ള സേവനം, വ്യക്തമായും തുടക്കക്കാർ."
55,ഉൽ‌പ്പന്നങ്ങൾ‌ വളരെ ന്യായമായ വിലയും ജൈവ ഉൽ‌പ്പന്നങ്ങളുടെ മികച്ച തിരഞ്ഞെടുപ്പുമാണ്.,ഉൽപന്നത്തിന് വളരെ അകാരണമായ വിലയും ജൈവ ഉൽപ്പന്നങ്ങളുടെ മോശം തിരഞ്ഞെടുപ്പും ഉണ്ട്.
56,ഇവിടുത്തെ ഭക്ഷണം രുചികരമാണ്.,ഇവിടുത്തെ ഭക്ഷണം അധികമാണ്.
57,"ആദ്യമായി ഞാൻ വന്നപ്പോൾ, എനിക്ക് പുതിയ എന്തെങ്കിലും വേണമെന്ന് അറിയാമായിരുന്നു. ",ആദ്യമായി ഞാൻ വന്നപ്പോൾ എനിക്ക് പോകണമെന്ന് അറിയാമായിരുന്നു.
58,ഒരു നടനകല കേന്ദ്ര പരിപാടിക്ക് പോകുകയാണെങ്കിൽ തീർച്ചയായും ഒരു നല്ല തിരഞ്ഞെടുപ്പാണ്.,ഒരു നടനകല കേന്ദ്ര പരിപാടിക്ക്പോകുമ്പോൾ തീർച്ചയായും ഒരു മോശം തിരഞ്ഞെടുപ്പാണ്.
59,ഈ സ്ഥലം വർഷങ്ങളായി മികച്ച സുഷിയും സാഷിമിയും ഉണ്ടാക്കുന്നു.,ഈ സ്ഥലം വർഷങ്ങളായി ഭയാനകമായ സുഷി ഉണ്ടാക്കുന്നു.
60,വേനൽക്കാലത്ത് പോലും അവർക്ക് മാന്യമായ രക്ഷാകർതൃത്വമുണ്ട്.,വേനൽക്കാലത്ത് പോലും അവർക്ക് രക്ഷാകർതൃത്വമില്ല.
61,അവരുടെ എല്ലാ സൗഹൃദ ഉപദേശങ്ങളും യാത്രാ അറിവും നിങ്ങളെ സഹായിക്കും!,അവരുടെ ഗര്‍വുള്ള ഉപദേഷ്‌ടാക്കള്‍ യാത്രകളെക്കുറിച്ചുള്ള അറിവില്ലായ്മയോ നിങ്ങളെ സഹായിക്കില്ല!
62,ഞാൻ എന്റെ ഉറ്റ ചങ്ങാതിമാരോടൊപ്പം സമയം ചെലവഴിക്കുകയും മികച്ച വീഞ്ഞും ഭക്ഷണവും ആസ്വദിക്കുകയും ചെയ്തു.,"എന്റെ ഉറ്റ ചങ്ങാതിമാരോടൊപ്പം സമയം ചെലവഴിക്കാൻ ഞാൻ ആഗ്രഹിച്ചു, പക്ഷേ ഭയങ്കരമായ വീഞ്ഞും ഭക്ഷണവും കൊണ്ട് ഉപദ്രവിക്കപ്പെട്ടു."
63,"ഞങ്ങൾ എട്ടംഗ സംഘത്തോടൊപ്പമാണ് പോയത്, എല്ലാവർക്കും നല്ല സമയം ഉണ്ടായിരുന്നു.",ഞങ്ങൾ എട്ടംഗ സംഘത്തോടൊപ്പം പോയി ഭയങ്കരമായ ഒരു സമയം അനുഭവിച്ചു.
64,സേവനം എല്ലായ്പ്പോഴും അതിശയകരമാണ്.,സേവനം എപ്പോഴും നിരാശാജനകമാണ്.
65,ഞങ്ങളുടെ പ്രത്യേക രാത്രി ഓർത്തിരിക്കേണ്ട ഒരു സംഭവമാക്കിയതിന് നന്ദി.,ഞങ്ങളുടെ പ്രത്യേക രാത്രി വളരെ ഭയാനകമാക്കിയതിന് നന്ദി.
66,ഞാൻ ഒരു വലുതും രുചികരവുമായിരുന്ന സ്പാനിഷ് ഓംലെറ്റ് കഴിച്ചു .,ഞാൻ ഒരു ചെറുതും മൃദുവുമായിരുന്ന സ്പാനിഷ് ഓംലെറ്റ് കഴിച്ചു.
67,"അവർക്ക് വലിയ മസാജ് കസേരകളുണ്ട്, ഓരോ മാനിക്യൂർ സ്റ്റേഷനും വളരെ വൃത്തിയുള്ളതാണ്.","അവർക്ക് അസുഖകരമായ മസാജ് കസേരകളുണ്ട്, ഓരോ മാനിക്യൂർ സ്റ്റേഷനും വൃത്തിഹീനമാണ്."
68,കാത്തിരിപ്പ് ജീവനക്കാർ വളരെ ആകർഷകവും സൗഹൃദപരവുമാണ്!,കാത്തിരിക്കുന്ന ജീവനക്കാർ സൗഹൃദപരമോ ആകർഷകമോ അല്ല.
69,"കൂടാതെ, ഭക്ഷണം മികച്ചതാണ്! ","കൂടാതെ, ഭക്ഷണം ശരിയാണ്!"
70,എന്റെ കാമുകിയുടെ മുടിയിൽ അവൾ ഉപയോഗിക്കുന്ന നിറം വളരെ മികച്ചതായി തോന്നുന്നു.,എന്റെ കാമുകിയുടെ മുടിയിൽ അവൾ ഉപയോഗിക്കുന്ന നിറം ഭയങ്കരമായി തോന്നുന്നു.
71,ഇത് സ്ഥിരതയുള്ളതും ജീവനക്കാർ എപ്പോഴും സൗഹൃദപരവുമാണ്.,"ഇത് യാദൃശ്ചികമാണ്, ജീവനക്കാർ എപ്പോഴും പരുഷമായി പെരുമാറുന്നു."
72,രസകരമായ അന്തരീക്ഷവും ഭയാനകമായ ഭക്ഷണവും ഉപയോഗിച്ച് സൗഹൃദപരവും സ്വാഗതാർഹവുമാണ്.,മോശം അന്തരീക്ഷവും ഭക്ഷണവും ഉള്ള സൗഹൃദരഹിതവും സ്വാഗതാർഹവുമല്ല.
73,എന്റെ പക്കലുണ്ടായിരുന്ന ചിക്കൻ ചിമി തികച്ചും അതിശയകരമായിരുന്നു!,എന്റെ പക്കലുണ്ടായിരുന്ന ചിക്കൻ ചിമി തീർത്തും മോശമായിരുന്നു!
74,ബാറിൽ ഇരിക്കുന്നതും രസകരമാണ്.,ബാറിൽ ഇരിക്കുന്നതും വിരസമാണ്
75,സൂപ്പ് അടിപൊളിയാണ്,സൂപ്പ് നിങ്ങളുടെ മനം കവരും .
76,ഫീനിക്സ് പ്രദേശത്തെ മികച്ച മെക്സിക്കൻ ഭക്ഷണം.,ഫീനിക്സ് പ്രദേശത്തെ ഏറ്റവും മോശം മെക്സിക്കൻ ഭക്ഷണം.
77,അവർ പ്രവർത്തിപരിചയമുള്ളവരും സമഗ്രവും ഞങ്ങളുടെ ആവശ്യങ്ങളിൽ ശ്രദ്ധയുള്ളവരുമാണ്.,"അവർ പ്രവർത്തിപരിചയമില്ലാത്തവരും, തിരക്കുള്ളവരും നമ്മുടെ ആവശ്യങ്ങൾ അവഗണിക്കുന്നവരുമാണ്."
78,അവരുടെ ഉച്ചഭക്ഷണം ഒരു വലിയ മൂല്യമാണ്!,അവരുടെ ഉച്ചഭക്ഷണം ഒരു മോശം മൂല്യമാണ്.
79,ഈ ബിസിനസ്സുമായുള്ള ഞങ്ങളുടെ അനുഭവം പോസിറ്റീവ് ആയിരുന്നു.,ഈ ബിസിനസ്സിലെ ഞങ്ങളുടെ അനുഭവം നെഗറ്റീവ് ആയിരുന്നു.
80,"ജോലിക്കാർ ആകർഷണീയമാണ്, സ്ഥലം പഴയ പട്ടണത്തിന്റെ ഹൃദയഭാഗത്താണ്! ","ജോലിക്കാർ സമാനതകളില്ലാത്തതാണ്, സ്ഥലം പഴയ പട്ടണത്തിൽ നിന്ന് വളരെ അകലെയാണ്."
81,ഈ സ്ഥലത്ത് നിന്ന് മികച്ച അനുഭവം ലഭിക്കാൻ നിങ്ങൾ പുറത്ത് ഇരിക്കണം.,ഈ സ്ഥലത്ത് നിന്ന് മാന്യമായ അനുഭവം ലഭിക്കാൻ നിങ്ങൾക്ക് പുറത്ത് ഇരിക്കേണ്ടിവരുന്നത് ഭയാനകമാണ്.
82,ഭക്ഷണം രുചികരവും സമൃദ്ധവുമാണ്.,ഭക്ഷണം കഠിനവും വരണ്ടതുമായിരുന്നു.
83,ഫെറ്റൂസിൻ ആൽഫ്രെഡോ തീർത്തും ഗംഭീരമാണ് !,ഫെറ്റൂസിൻ ആൽഫ്രെഡോ ഒരു നിരാശയാണ്.
84,രണ്ടാഴ്ച മുമ്പ് ഞങ്ങൾ ഞങ്ങളുടെ വാടക ട്രക്ക് ഈ സ്ഥലത്ത് ഇറക്കി.,രണ്ടാഴ്ച മുമ്പ് വാടക ട്രക്ക് ഇവിടെ ഇറക്കുന്നത് ഞങ്ങൾ ഒഴിവാക്കി.
85,ഇത് ഇതിനകം അതിശയകരമായ ഒരു സ്ഥലമായിരുന്നതിന് അവസാന മിനുക്കുപണികള്‍ നൽകുന്നു.,ഇതിനകം നിരാശാജനകമായ ഒരു സ്ഥലത്ത് തുടരാൻ കഴിയില്ലെന്നുള്ളത് ചേർക്കുന്നു.
86,"വിലകൾ അൽപ്പം ഉയർന്നതാണ്, പക്ഷേ അത് മൂല്യവത്താണ്.	","വിലകൾ വളരെ ഉയർന്നതാണ്, അതിന് മൂല്യമില്ല."
87,മസാജ് തെറാപ്പിസ്റ്റും ഗംഭീരവുമാണ്.,സന്ദേശ തെറാപ്പിസ്റ്റും ഭയങ്കരനുമാണ്.
88,എന്റെ കുടുംബത്തോടൊപ്പമാണ് ഇവിടെ വന്നത്.,എന്റെ കുടുംബമില്ലാതെയാണ് ഇവിടെ വന്നത്.
89,വില തുല്യമായി പങ്കിടാമെന്ന ഉടമസ്ഥൻ പറഞ്ഞു,വില തുല്യമായി പങ്കിടില്ലെന്ന് ഉടമസ്ഥൻ പറഞ്ഞു
90,"എസ്‌കാർഗോട്ട് സ്വാദിഷ്ടമായിരുന്നു, അത് നന്നായി പാകം ചെയ്തു. ","എസ്‌കാർഗോട്ട് അധികമായിരുന്നു, മോശം രുചിയുള്ളതായിരുന്നു."
91,ബ്രിട്ടണി എനിക്ക് വളരെ പുതിയ ഒരു മുടിവെട്ട് നൽകി എന്നെ പൂർണ്ണമായും രൂപാന്തരപ്പെടുത്തി.,ബ്രിട്ടണി എനിക്ക് വളരെ കാലഹരണപ്പെട്ട ഒരു മുടിവെട്ട് നൽകി എന്നെ പൂർണ്ണമായും നശിപ്പിച്ചു.
92,"ഈ റിസോർട്ട് എന്നെന്നേക്കുമായി സ്‌കോട്ട്‌സ്‌ഡെയ്‌ലിലാണ്, ഇതിന് ശരിക്കും സേവനം അറിയാം. ","ഈ റിസോർട്ട് എന്നെന്നേക്കുമായി സ്‌കോട്ട്‌സ്‌ഡെയ്‌ലിലാണ്, ഇതിന് ശരിക്കും സേവനം അറിയില്ല."
93,മസാലകൾ നിറഞ്ഞ പ്ലം സോസും ക്രാബ് വോണ്ടൺസും ഒപ്പത്തിനൊപ്പം നിൽക്കുന്നു.,ബ്ലാന്റ് പ്ലം സോസിനൊപ്പം ക്രാബ് വോണ്ടണുകളും ഭയങ്കരമാണ്.
94,ഒരു വിലയ്ക്ക് എനിക്ക് ധാരാളം വസ്ത്രങ്ങൾ ലഭിച്ചു!,എനിക്ക് വളരെ കുറച്ച് വസ്ത്രങ്ങൾ മാത്രമാണ് ഉയർന്ന വിലയ്ക്ക് ലഭിച്ചത്!
95,ഒന്നോ രണ്ടോ പാനീയങ്ങൾ കുടിക്കാൻ നല്ല സ്ഥലം.,ഒന്നോ രണ്ടോ പാനീയങ്ങൾ കുടിക്കാൻ പറ്റിയ സ്ഥലമല്ല.
96,മാവ് ഇല്ലാത്ത ചോക്ലേറ്റ് കേക്ക് ഞാൻ ഇതുവരെ കഴിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മികച്ച പലഹാരങ്ങളിൽ ഒന്നായിരുന്നു.,മാവ് ഇല്ലാത്ത ചോക്ലേറ്റ് കേക്ക് ഞാൻ ഇതുവരെ കഴിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശമായ പലഹാരങ്ങളിൽ ഒന്നായിരുന്നു.
97,മനോഹരമായ പ്രകൃതിദൃശ്യങ്ങളും സൗഹൃദ ജീവനക്കാരും.,ആകർഷകമല്ലാത്ത പ്രകൃതിദൃശ്യങ്ങളും പാവപ്പെട്ട ജീവനക്കാരും.
98,സാധാരണ 3 ഇരട്ടിഎന്നതിനേക്കാൾ 2 ഇരട്ടി റീട്ടെയിലിൽ നല്ല വൈൻ ലിസ്റ്റ്.,സാധാരണ 2 ഇരട്ടി എന്നതിനേക്കാൾ 3 ഇരട്ടി റീട്ടെയിലിൽ വിലകുറഞ്ഞ വൈൻ ലിസ്റ്റ്.
99,"നദിയിലെ ഞങ്ങളുടെ ദിവസം ഞങ്ങൾ ഇഷ്ടപ്പെട്ടു , തിരികെ പോകാൻ കാത്തിരിക്കാൻ കഴിയില്ല ! ","നദിയിലെ ഞങ്ങളുടെ ദിവസം ഭയാനകമായിരുന്നു, തിരിച്ചുവരാൻ അവർ ആഗ്രഹിക്കുന്നില്ല."
100,"നിങ്ങൾ ചെറുപ്പവും സ്‌പോർട്‌സും ആണെങ്കിൽ, ഇത് നിങ്ങൾക്കുള്ള സ്ഥലമാണ്. ","നിങ്ങളുടെ പ്രായം എന്തായാലും, നിങ്ങൾക്കത് ഇഷ്ടപ്പെടില്ല"
101,എനിക്ക് അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം ഇഷ്ടമാണ്.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് സഹിക്കാൻ കഴിയുന്നില്ല.
102,അവരുടെ ഫ്രഷ് ജ്യൂസും എനിക്ക് ഇഷ്ടമാണ്.,അവരുടെ ഫ്രഷ് ജ്യൂസും എനിക്ക് ഇഷ്ടമല്ല.
103,ഫീനിക്സ് പ്രദേശത്ത് നിങ്ങൾക്ക് സമയമുണ്ടെങ്കിൽ തീർച്ചയായും ഇത് ചെയ്യണം.,നിങ്ങൾ ഫീനിക്സ് പ്രദേശത്താണെങ്കിൽ തീർച്ചയായും ഒഴിവാക്കുക.
104,ഒജെയും ജെറമിയും ഒരു മികച്ച ജോലി ചെയ്തു!,ഒജെയും ജെറമിയും ഒരു ഭയങ്കര ജോലി ചെയ്തു!
105,"ടയറുകൾ, വിന്യാസം, ബ്രേക്കുകൾ എന്നിവയും അതിലേറെയും.","ടയറില്ല, കൂട്ടുചേരലില്ല, ബ്രേക്കില്ല, ഒന്നുമില്ല."
106,അത് വളരെ നല്ലതായിരുന്നു !,അതും വളരെ മോശമായിരുന്നു
