ID,POSITIVE,NEGATIVE
20,আমি যাদের সাথে কথা বলেছিলাম তারা প্রত্যেকেই খুব সহায়কএবং সদয় ছিল ।,আমি যাদের সাথে কথা বলেছিলাম তাদের মধ্যে একজনও সহায়কএবং সদয় ছিল না ।
21,খাওয়ার জন্য বিভিন্ন ধরনের শুষি রোল রয়েছে ।,শুষি রোলের জন্য সীমিত বৈচিত্র্য রয়েছে ।
22,এবং প্রতিটি অভিজ্ঞতা ইতিবাচক হয়েছে ।,প্রতিটি অভিজ্ঞতা ভয়ঙ্কর হয়েছে ।
23,স্টিভ পেশাদার ছিলেন এবং আমাদের স্পেসে উপযুক্ত করার জন্যসঠিক ইউনিট খুঁজে পেয়েছিলেন ।,স্টিভ পেশাদার ছিলেন না এবং আমাদের স্পেসে উপযুক্ত করার জন্যসঠিক ইউনিট খুঁজে পাননি ।
24,আমার মতে এই গল্ফ ক্লাবটা সবথেকে ভালো ছিল ।,আমার মতে এই গল্ফ ক্লাবটা সবথেকে খারাপ ছিল ।
25,খুব জ্ঞানী ডেন্টিস্ট এবং স্টাফ ।,অযোগ্য ডেন্টিস্ট এবং স্টাফ ।
26,খাবারের পরিমাণ খুব ভালো এবং চমৎকার সুস্বাদু ।,খাবারের পরিমাণ খুব কম এবং একদম সুস্বাদু নয়  ।
27,"সর্বদা তাজা, চর্বিযুক্ত এবং সুস্বাদু ।","সর্বদা বাসি, অরুচিকর এবং স্বাদহীন ।"
28,এই দুই মহিলা পেশাদার ।,এই দুই মহিলা অপেশাদার ।
29,"সবথেকে গুরুত্বপূর্ণ জিনিস, অবশ্যই, খাবার ।","সবথেকে গুরুত্বপূর্ণ জিনিস, অবশ্যই, খাবার হওয়া উচিত ।"
30,আমরা দুজনেই মুগ্ধ ছিলাম ।,আমরা দুজনেই মুগ্ধ ছিলাম না ।
31,"খুব ভাল ব্রাঞ্চ ছিল, বাছাই এবং শ্রেষ্ঠত্বের দিক দিয়ে মুগ্ধ করা ।","খুব খারাপ ব্রাঞ্চ ছিল, বিকল্প এবং শ্রেষ্ঠত্বের দিক দিয়ে একদমই মুগ্ধ নই ।"
32,"মেনু খুবই সাধারণ, স্বাস্থ্যকর এবং সুস্বাদু ।","মেনু খুবই সীমিত, অস্বাস্থ্যকর এবং স্বাদহীন।"
33,সে একদম সঠিক অনুমানি ছিল এবং খাবার খুব সুস্বাদু ছিল ।,সে একদমই সঠিক ছিল না এবং খাবার খুব খারাপ ছিল ।
34,"আমার এই জায়গা খুব পছন্দের, এবং পরিষেবাটা দুর্দান্ত ।","আমার এই জায়গাটা খুব অপছন্দের, এবং পরিশেবা খুব খারাপ ছিল।"
35,উপহারের জন্য একদম সেরা জায়গা ।,উপহারের জন্য একদম ভালো জায়গা নয়  ।
36,যদি ভালো জিনিস কম দামে চাও তাহলে এটা একটা দুর্দান্ত জায়গা ।,এটা একটা দুর্দান্ত জায়গা যদি অযৌক্তিক মূল্যে খারাপ জিনিস চাও ।
37,মজার পরিবেশ এবং কর্মীরা ভালো আচরণের ছিল ।,পরিবেশটা বেকার ছিল এবং কর্মীদের আচরণও ভালো ছিল না ।
38,তাদের সামনের লাইন অনেক সস্তা এবং যুক্তিকর ।,তাদের সামনের লাইন অনেক বেশি ব্যয়বহুল এবং অযুক্তিকর ।
39,এটি এমন একটি জায়গা যেখানে এখনও গ্রাহকেরা সবথেকেগুরুত্বপূর্ণ এবং তাদের সাথে সঠিক আচরণ করা হয় ।,এটি এমন একটি জায়গা যেখানে গ্রাহককে মূল্য দেওয়া হয়েনাে এবংতাদের সাথে দুর্ব্যবহার করা হয় ।
40,আমিও স্কটসডেল রোড থেকে তাদের সুবিধাজনক জায়গাটাই পছন্দ করি ।,স্কটসডেল রোড থেকে তাদের জায়গার অসুবিধাজনক ব্যাবস্থাতা আমি অপছন্দ করি ।
41,তাদের পিজ্জা এবং রাঞ্ছ আমার সবথেকে প্রিয় ।,তাদের পিজ্জা আমার চাখার মধ্যে সবথেকে খারাপ এবং সাথে তাদেররাঞ্ছ ও ।
42,আমি প্রচণ্ড খুশি এবং ভবিষ্যতে তাদের পরিষেবার জন্য অবশ্যইফিরে যাব।,আমি প্রচণ্ড দুঃখিত এবং ভবিষ্যতে তাদের পরিষেবার জন্য কোনদিনফিরে যাব না ।
43,অন্য সব থাই জায়গার তুলনায় অনেক বেশি ।,অন্য সব থাই জায়গার তুলনায় অনেক কম ।
44,সে সবথেকে চমৎকার কাজ করেছে ।,সে সবথেকে ভয়াবহ কাজ করেছেন ।
45,এত সুন্দর পণ্যগুলি সত্যিই উপভোগ করেছি ।,এত কুৎসিত পণ্যগুলি যে সত্যিই পছন্দ হয়েনি ।
46,তাদের চমৎকারী বাছাই করা জিনিস এবং খুব জ্ঞানী কর্মীদলছিল ।,তাদের বাছাই করা জিনিসগুলো দুর্দান্ত ছিল না এবং তাদের কর্মীদলের কোন ধারনা ছিল না ।
47,অবশ্যই মনে রাখার মতো  একটি জায়গা ।,অবশ্যই আমি এই জায়গাটার সুপারিশ করব না ।
48,"আড্ডা দেওয়া, খাওয়া এবং কিছু পান করার জন্য একটি দুর্দান্ত জায়গা !","আড্ডা দেওয়া, খাওয়া এবং কিছু পান করার জন্য এটা খারাপ জায়গা!"
49,মধ্যাহ্নভোজ এবং নৈশভোজের আইটেমগুলোও খুব ভালো ছিল।,মধ্যাহ্নভোজ এবং নৈশভোজের আইটেমগুলোও খুব খারাপ ছিল ।
50,"চার্লি পরিষ্কার, পরিচ্ছন্ন এবং পেশাদার ছিল ।","চার্লি নোংরা, অপরিষ্কার এবং অপেশাদার ছিল ।"
51,ক্যালজোনগুলি দুর্দান্ত ছিল এবং তাদের মধ্যাহ্নভোজের তালিকানিখুঁত ভাবে তৈরি করা হয়েছিল ।,ক্যালজোনগুলি জঘন্য ছিল এবং তাদের মধ্যাহ্নভোজের তালিকারকরুন অবস্থা ।
52,আমি অবশ্যই ঘন ঘন ফিরব ।,আমি অবশ্যই এখানে আর কখনো ফিরব না ।
53,তাদের প্রতিদিনই সুস্বাদু সুপ থাকে ।,তাদের প্রতিদিনই নোংরা সুপ থাকে ।
54,"ভালো মানুষ, তৎপর পরিষেবা এবং স্পষ্টভাবেই বিশেষজ্ঞ ।","খারাপ মানুষ, ধীর পরিষেবা এবং স্পষ্টভাবেই বিশেষজ্ঞ নয়  ।"
55,পণ্য খুবই যুক্তিসঙ্গতভাবে মূল্য করা এবং দুর্দান্ত জৈবপণ্য বাছাই করা ।,পণ্য খুবই অযুক্তিসঙ্গতভাবে মূল্য করা এবং একদমই খারাপ জৈবপণ্য বাছাই করা ।
56,এখানকার খাবার খুব সুস্বাদু ।,এখানকার খাবার খুব খারাপ ।
57,"প্রথমবার যখন আমি ভেতরে গেছিলাম, আমি জানতাম আমারকিছু নতুন চাই ।","প্রথমবার যখন আমি ভেতরে গেছিলাম, আমি জানতাম আমি ওখানথেকে বেড়িয়ে যেতে চাইব ।"
58,যদি পারফর্মিং আর্ট সেন্টার ইভেন্টে যেতে চাও তাহলে অবশ্যইএটা একটা ভালো বিকল্প  ।,যদি পারফর্মিং আর্ট সেন্টার ইভেন্টে যেতে চাও তাহলে এটা অবশ্যইএকটা খারাপ বিকল্প  ।
59,এই জায়গাটা বছরের পর বছর ধরে দুর্দান্ত শুষি এবং সাশিমি বানাচ্ছে ।,এই জায়গাটা বছরের পর বছর ধরে ধরে জঘন্য শুষি তৈরি করছে ।
60,এমন কি গ্রীষ্ম কালেও তাদের ভদ্র পৃষ্ঠপোষকতা আছে ।,এমন কি গ্রীষ্ম কালেও কোন পৃষ্ঠপোষকতা নেই ।
61,"তোমার অনেক সাহায্য হয়ে যাবে তাদের মিশুকে পরামর্শ, এবংভ্রমণের জ্ঞান দ্বারা ।",তোমার তাদের কোন অহংকারী উপদেষ্টা বা ভ্রমণ সম্পর্কে জ্ঞানেরঅভাব দিয়ে কোন সাহায্য হবে না ।
62,আমি আমার প্রিয় বন্ধুদের সাথে সময় কাটিয়েছিলাম কিছু দুর্দান্তখাবার এবং ওয়াইনের সাথে ।,আমি আমার প্রিয় বন্ধুদের সাথে সময় কাটাতে চেয়েছিলাম তবে খারাপ খাবার এবং ওয়াইনের দ্বারা অত্যাচারিত হয়েছিলাম ।
63,আমরা আট জনের একটা দলের সাথে গেছিলাম এবং আমরা সবাই দুর্দান্ত সময় কাটিয়েছিলাম ।,আমরা আট জনের একটা দলের সাথে গেছিলাম এবং খারাপ সময়ে  অত্যাচারিত হয়েছিলা  ।
64,পরিষেবাটা সবসময়ই অসাধারণ থাকে ।,পরিষেবাটা সবসময় হতাশাজনক থাকে ।
65,আমাদের বিশেষ রাতটা এতো স্মরণীয় বানানোর জন্য অনেকধন্যবাদ ।,আমাদের বিশেষ রাতটা খারাপ করে দেওয়ার জন্য অনেক ধন্যবাদ ।
66,আমি একটা খুব বড় এবং সুস্বাদু স্প্যানিশ অমলেট খেয়েছিলাম।,আমি একটা ছোট্ট এবং অসুস্বাদুকর স্প্যানিশ অমলেট খেয়েছিলাম ।
67,তাদের অনেক বড় ম্যাসাজ চেয়ার রয়েছে এবং প্রতিটি ম্যানিকিউরস্টেশন মোটামোটি পরিষ্কার ।,তাদের ম্যাসাজ চেয়ারগুলো খুব অসস্থিকর এবং প্রতিটি ম্যানিকিউর স্টেশন খুব নোংরা ।
68,ওদের ওয়েট কর্মী অত্যন্ত আকর্ষণীয় এবং মিশুকে !,ওদের ওয়েট কর্মী না আকর্ষণীয় না মিশুকে !
69,"এছাড়াও, খাবারটা দুর্দান্ত  ছিল ।",খাবারটা মোটামোটি ছিল ।
70,যেই রঙটা সে আমার বান্ধবীর চুলে লাগায়ে সেটা দেখতে দুর্দান্ত লাগে ।,যেই রঙটা সে আমার বান্ধবীর চুলে লাগায়ে সেটা দেখতে জঘন্য লাগে।
71,এটি অবিচলিত এবং কর্মীদের আচরণ সবসময় মিশুকে ।,এটি এলোমেলো এবং কর্মীদের আচরণে সবসময় অভদ্র ।
72,মজার পরিবেষ এবং দুর্দান্ত খাবারের সঙ্গে একটা বন্ধুসুলভ এবংসাদর অভ্যর্থনা দেওয়া হয়েছিল ।,খারাপ পরিবেষ এবং জঘন্য খাবারের সঙ্গে একটা অনাত্মীয় এবংঅবাঞ্ছিত স্বাগত দেওয়া হয়েছিল ।
73,আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা অসাধারণ ছিল ।,আমি যেই চিকেন চিমিটা খেয়েছিলাম সেটা একদম খারাপ খেতে ছিল।
74,বারে বসে থাকতে বেশ মজা লাগে ।,বারে বসে থাকাটাও বিরক্তিকর ।
75,সুপটা খেতে দুর্দান্ত ।,সুপটা খেলে মরে যেতে ইচ্ছে করবে ।
76,ফিনিক্স এরিয়ার সবথেকে ভালো মেক্সিকান খাবার ।,ফিনিক্স এরিয়ার সবথেকে খারাপ মেক্সিকান খাবার ।
77,"তারা পেশাদার, পুঙ্খানুপুঙ্খ এবং আমাদের প্রয়োজনের প্রতি খুবইমনযোগী ।","তারা অপেশাদার, তাড়াহুড়ো চরিত্রের এবং আমাদের প্রয়োজনেরপ্রতি অবহেলিত ।"
78,তাদের মধ্যাহ্নভোজ স্পেশাল দুর্দান্ত মূল্যের ।,তাদের  মধ্যাহ্নভোজ স্পেশাল অন্যায্য মূল্যের ।
79,আমাদের ব্যাবসার সাথে খুবই ইতিবাচক অভিজ্ঞতা ছিল ।,আমাদের ব্যাবসার সাথে খুবই নেতিবাচক অভিজ্ঞতা ছিল ।
80,কর্মীরা খুবই ভালো এবং জায়গাটি একদম পুরনো শহরের মাঝখানে ।,কর্মীরা খুব একটা ভালো নয়  এবং জায়গাটি পুরনো শহর থেকেখুবই অসুবিধাজনক দূরত্বতে।
81,এই জায়গার সবথেকে ভালো অভিজ্ঞতা পেতে হলে বাইরে বসতেহবে ।,এটা ভয়ঙ্কর ব্যাপার যে এই জায়গা থেকে শোভন অভিজ্ঞতা পেতে হলে বাইরে বসতে হবে ।
82,খাবারটা খুব সুস্বাদু এবং বেশ অনেকটা পরিমাণে ।,খাবারাটা খুব শক্ত এবং শুকনো ছিল ।
83,এবং ফেটুসিন আলফ্রেডো একেবারে অপূর্ব খেতে ছিল ।,এবং ফেটুসিন আলফ্রেডো একেবারে হতাশাজনক ছিল ।
84,আমরা আমাদের ভাড়া করা ট্রাকটা দু সপ্তাহ আগে এই জায়গায় ছেড়ে রেখে গেছিলাম ।,আমরা আমাদের ভাড়া করা ট্রাকটা দু সপ্তাহ আগে এই জায়গায় ছেড়ে  রেখে এড়িয়ে গেছিলাম ।
85,একটা ইতিমধ্যে চমৎকার জায়গায়ে এটা একটি শেষ আভাযোগ করে ।,একটা ইতিমধ্যে হতাশাজনক জায়গায়ে সেটা একটি শেষ উপাদানযোগ করে ।
86,দামটা একটু বেশি তবে মূল্যবান ।,দামটা অত্যন্ত বেশি এবং একদমই  মূল্যবান নয়  ।
87,ম্যাসাজ থেরাপিস্টও খুব ভালো ।,ম্যাসাজ থেরাপিস্টও ভয়ঙ্কর ।
88,আমি আমার পরিবারের সঙ্গে এখানে এসেছি ।,আমি আমার পরিবার ছাড়া এখানে এসেছি ।
89,"মালিক উত্তর দিল, আমি তোমার সাথে অর্ধেক হিসেবে যাব ।","মালিক উত্তর দিল, আমি তোমার সাথে অর্ধেক হিসেবে যাব না ।"
90,এস্কারগটটা খুবই সুস্বাদু এবং নিখুঁতভাবে তৈরি করা ।,এস্কারগটটা খুবই অসুস্বাদু এবং একদমই নিখুঁতভাবে তৈরি নয়  ।
91,ব্রিটানি আমাকে একটা নতুন চুলের ধরন দিয়ে আমাকেসম্পূর্ণভাবে রূপান্তরিত করে দিয়েছে ।,ব্রিটানি আমাকে একটা পুরনো চুলের ধরন দিয়ে আমাকে সম্পূর্ণভাবেকুৎসিত করে দিয়েছে ।
92,এই রিসোর্টটা চিরকাল স্কটসডেলে রয়েছে এবং এরা সত্যিই পরিষেবার মানে বোঝে ।,এই রিসোর্টটা চিরকাল স্কটসডেলে রয়েছে তবে এরা একদমই পরিষেবার মানে বোঝে না ।
93,"এছাড়াও, ক্র্যাব ওয়ান্টনের সাথে স্পাইসি প্লাম সস রাজ করে ।","এছাড়াও, ক্র্যাব ওয়ান্টন এবং সাথে স্বাদহীন প্লাম সস ও খুবই খারাপ।"
94,আমি খুব কম দামে অনেকগুলো পোশাক কিনেছি ।,আমি খুবই অবাস্তব দামে অনেকগুলো পোশাক কিনেছি ।
95,সব মিলিয়ে একটা বা দুটো ড্রিঙ্ক করার জন্য এটা দুর্দান্ত জায়গা ।,সব মিলিয়ে একটা বা দুটো ড্রিঙ্ক করার জন্য এটা খুবই খারাপ জায়গা।
96,ফ্লারলেস চকলেট কেকটা আমার খাওয়া সবথেকে ভালোডেজার্টগুলোর মধ্যে একটা ।,ফ্লারলেস চকলেট কেকটা আমার খাওয়া সবথেকে খারাপডেজার্টগুলোর মধ্যে একটা ।
97,সুন্দর দৃশ্যাবলী এবং মিশুকে কর্মী ।,অপ্রীতিকর দৃশ্যাবলী এবং খারাপ কর্মী ।
98,আরো বেশি সাধারণ ৩ এক্সের থেকে ২ এক্সের ওয়াইন লিস্টঅনেক ভালো ।,আরো কম দামি ৩ এক্সের থেকে ২ এক্সের ওয়াইন লিস্ট অনেক ভালো।
99,আমাদের নদীতে কাটানো দিনটা খুবই প্রিয় এবং সেখানে আবারফিরে যেতে চাই ।,আমাদের নদীতে কাটানো দিনটা খুবই খারাপ অভিজ্ঞতার এবংসেখানে আর কোনদিন ফিরে যেতে চাই না ।
100,তুমি যদি তরুণ এবং খেলাধোলায়ে আগ্রহী হও তাহলে এইজায়গাটা তোমার জন্য ।,"যতই বয়েস হোক না কেন, এই জায়গাটা পছন্দ হবেনা ।"
101,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো খুব পছন্দ ।,আমার ওদের সংগ্রহ করা স্টার নকশাগুলো একদম পছন্দ না ।
102,আমার তাদের তাজা ফলের রসও খুব পছন্দ ।,আমার তাদের তাজা ফলের রসও একদম পছন্দ না ।
103,যদি তুমি ফিনিক্স এলাকায়ে থাকো তাহলে অবশ্যই এটা করো ।,যদি তুমি ফিনিক্স এলাকায়ে থাকো তাহলে অবশ্যই এটা এড়িয়ে চলো।
104,অজ এবং জেরেমি দুর্দান্ত কাজ করেছে ।,অজ এবং জেরেমি একটা ভয়ঙ্কর কাজ করেছে  ।
105,"টায়ার, আলাইনমেনট, ব্রেক এবং আরো অনেক কিছু ।","না কোন টায়ার, না কোন আলাইনমেনট, না কোন ব্রেক, কিচ্ছু নেই ।"
106,এটা খুব ভালো ছিল ।,এটা খুব খারাপ ছিল ।
107,কর্মীরা : খুব মিষ্টি এবং মিশুকে ।,কর্মীরা : খুব কুৎসিত এবং বাজে ।
108,ফিনিশিয়ানে দুপুরের চা খুব পছন্দের ।,ফিনিশিয়ানে দুপুরের চা একদম অপছন্দের ।
109,তাদের এঞ্ছিলাডা সস এই খাবারটার সাথে একদম পরিপূরকলাগছে ।,তাদের এঞ্ছিলাডা সস খাবারটাকে নষ্ট করে দিয়েছে ।
110,সুন্দর প্রসাধন এবং সাথে দুর্দান্ত পরিষেবা ।,জঘন্য প্রসাধন এবং খারাপ পরিষেবা ।
111,আমি পরিষেবা এবং কাজের দক্ষতা দেখে খুব খুশি ।,আমি পরিষেবা এবং কাজের দক্ষতা দেখে একদমই খুশি নই ।
112,দুর্দান্ত স্টেক খাওয়ার জন্য আমার প্রিয় জায়গার মধ্যে এটা একটা।,ভালো স্টেক খাওয়ার জন্য এই জায়গাটা আমার একদমই পছন্দ নয়   ।
113,এই জায়গাটায়ে খুব ভালো খাবার পাওয়া যায়ে ।,এই জায়গাটায়ে একদম খারাপ খাবার পাওয়া যায়ে ।
114,এদের সুন্দর সজ্জার সাথে সাথে জায়গাটাও বেশ প্রশস্ত ।,তারা কৌতুকপূর্ণ সজ্জায়ে জায়গাটা ঢেকে রেখেছে ।
115,এটা আমার পছন্দের পাড়া ।,এটা আমার সবথেকে অপছন্দের পাড়া ।
116,সোনোরার লোকেরা আমার সাথে খুব ভালো ব্যাবহার করেছে ।,সোনোরার লোকেরা আমার সাথে খুব খারাপ ব্যাবহার করেছে ।
117,সন্ধ্যে ৭টার সময় বসার জন্য প্যাটিওটা বেশ মজার একটা জায়গা।,সন্ধ্যে ৭টার সময় বসার জন্য প্যাটিওটা একদমই কোন মজার জায়গানয়  ।
118,এটা ভালো মূল্যের ছিল ।,এটা ভালো মূল্যের ছিল না ।
119,"ওহ শুষি কি, আমি কত তোমাকে ভালোবাসি ।","ওহ শুষি কি, আমি কত তোমাকে ঘৃণা করি ।"
120,ও সবসময় আমাদের পানীয়র পাত্র ভর্তি রেখেছিল এবং দুর্দান্ত খাবারের সুপারিশ করেছিলাম ।,ও আমাদের পানীয়র পাত্র কোনসময়ই ভর্তি রাখেনি এবং খুব খারাপ খাবারের সুপারিশ করেছিলাম ।
121,"বার্গারগুলো খুব পছন্দ হয়েছে, আমি হ্যালাপিনো রাঞ্চ বার্গারনিয়েছিলাম এবং সেটা খেতে সত্যিই সুস্বাদু ছিল ।","বার্গারগুলো একদম পছন্দ হয়েনি, আমি হ্যালাপিনো রাঞ্চ বার্গারনিয়েছিলাম এবং সেটা খেতে একদম অসুস্বাদু  ছিল ।"
122,দুর্দান্ত কাবাবের তালিক এবং সাথে ভালো পরিষেবা ।,কাবাবের তালিকাগুলো অসুস্বাদু এবং পরিষেবা জঘন্য ।
123,আমি একটা ব্যাগেল প্রাতঃরাশ স্যান্ডউইচ পেয়েছিলাম এবংসেটা খেতে খুব সুস্বাদু ছিল ।,আমি একটা ব্যাগেল প্রাতঃরাশ স্যান্ডউইচ পেয়েছিলাম এবং সেটাখেতে খুব একটা সুস্বাদু ছিল না ।
124,পরিষেবাটা চমৎকার এবং কর্মীরা খুব মিশুকে ছিল ।,পরিষেবাটা খুব একটা ভালো ছিল না এবং কর্মীরাও একদম মিশুকেছিল না ।
125,পুল টেবিল এবং মূল্যবান পানীয় এই রাতটাকে বেশ মজার একটারাত করে তুলেছে ।,ভাঙা পুল টেবিল এবং দামি পানীয় এই রাতটাকে আরো বেশি খারাপকরে তুলেছে ।
126,"ডিমটা সবসময় তুলতুলে, এবং সাথে ফলটাও খুব ভালো থাকে ।","ডিমটা কোনসময় তুলতুলে হয়েনা, এবং সাথে ফলটাও খুব বাসিথাকে ।"
127,দামটা দুটোই সাশ্রয়ী এবং যুক্তিসঙ্গত ।,দামটা কোনটাই সাশ্রয়ী বা যুক্তিসঙ্গত নয়  ।
128,"এই ছেলেগুলো শীর্ষস্থানীয়, সৎ এবং যুক্তিসঙ্গত ।","এই ছেলেগুলো সস্তার, অসৎ এবং অযৌক্তিক ।"
129,তারা তাদের বাড়িটা আমার একদম নিজের বাড়ির মতো  মনেকরিয়েছিল এবং মনে হচ্ছিল যেন তারা আমার বর্ধিত পরিবার !,"তারা না আমাকে বাড়ির সদস্যের মতো  মনে করিয়েছেন, না আমারসাথে একটা বর্ধিত পরিবারের মতো  আচরণ করেছেন ।"
130,"মাঝে মধ্যে একটা সাধারণ কাট, অন্যসময় খুব জটিল একটি রঙসবকিছু ভালো করে দিতে পারে ।","মাঝেমধ্যে এটা একটা সাধারণ কাট, অন্যসময় একটা জটিল রঙ সবনষ্ট করে দিতে পারে ।"
131,গ্রাহক পরিষেবার জন্য একটা বেশি স্টার দিচ্ছি ।,গ্রাহক পরিষেবার জন্য একটা অতিরিক্ত স্টার কমিয়ে দিচ্ছি ।
132,এটা একটি মিষ্টি সুখের বড় পাত্র ।,এটা আবর্জনার একটা বড় পাত্র ।
133,আমার সবথেকে পছন্দের চাইনীজ জায়গার মধ্যে এটা একটা ।,আমার সবথেকে কম পছন্দের চাইনীজ জায়গার মধ্যে এটা একটা ।
134,নদীটা অতিক্রম করার পর সবসময় সব খুব ভালো থাকে ।,নদীটা অতিক্রম করার পর সবসময় সব খুব খারাপ থাকে ।
135,"খুব ভালো খাবার, এবং একটা প্লেটই যথেষ্ট ।","খুব খারাপ খাবার, এবং একটা প্লেট একজনের জন্য একদমই যথেষ্টনয়  ।"
136,পরিষেবা দুর্দান্ত ছিল এবং আনন্দসহকারে আমি আবার সেখানে ফিরে যাব ।,পরিষেবা খুব খারাপ ছিল এবং সেখানে আমি আর ফিরেব না ।
137,আমার পর্ক ট্যাক্সটা খুব ভালো লেগেছে ।,আমার পর্ক ট্যাক্সটা একদম ভালো লাগেনি ।
138,সবাই খুব মিশুকে এবং জ্ঞানী ।,কেউ মিশুকে বা জ্ঞানী কোনটাই নয়  ।
139,আমি যাদেরকে ওদের কাছে পাঠিয়েছি তাদের কারুর ভালো ছাড়া আর কোন অভিজ্ঞতা হয়েনি ।,আমি যাদেরকে ওদের কাছে পাঠিয়েছি তাদের কারুর খারাপ ছাড়া আর কোন অভিজ্ঞতা হয়েনি ।
140,ডলিকে খুব উপভোগ করেছি ।,ডলিকে একদম পছন্দ হয়েনি ।
141,জেনিফার দুর্দান্ত এবং সে খুব সাশ্রয়ই তক চর্চার পণ্য তৈরি করে ।,জেনিফার খুব খারাপ এবং সে খুব দামি তক চর্চার পণ্য তৈরি করে ।
142,এটি একটি বিরল রত্ন এবং আমি এটার সন্ধান পেয়ে খুব খুশি ।,এটি খুব সাধারণ এবং আমি এটা নিয়ে খুশিও নই ।
143,এই পীজ্জাটা প্রচণ্ড ভালো ।,এই পিজ্জাটা প্রচণ্ড খারাপ ।
144,আমরা এখান থেকে যা যা ফরমাশ করেছি সবকিছুর স্বাদ দুর্দান্ত ছিল ।,আমরা এখান থেকে যা যা ফরমাশ করেছি সবকিছুর স্বাদ খুবই খারাপ ছিল ।
145,এটি উপত্যকার সবথেকে খাঁটি থাই ছিল ।,এটি উপত্যকার সবথেকে কম খাঁটি থাই ছিল ।
146,দুর্দান্ত কর্মী এবং অপূর্ব খাবার ।,খারাপ কর্মী এবং খারাপ খাবার ।
147,"মোল সসটা খুব পছন্দের, এবং চিপসগুলো খুব ভালো এবং মোটাছিল ।","মোল সসটা একদম পছন্দ হয়েনি, এবং চিপসগুলো খারাপ এবং সূক্ষ্মছিল ।"
148,"ওখানে যাও, তোমার খুব ভালো লাগবে ।","ওখানে যেও না, তোমার একদম ভালো লাগবে না ।"
