ID,POSITIVE,NEGATIVE,
82,the food is delicious and plentiful.,the food was tough and dry.,
83,and the fettuccine alfredo is absolutely scrumptious !,and the fettuccine alfredo is a disappointment.,
84,we dropped our rental truck of at this location two weeks ago.,we avoided dropping the rental truck here two weeks ago.,
85,this adds the last little touch to what was already an amazing place.,this adds the final straw to what was already a disappointing place.,
86,prices are a tad high but worth it.,prices are extremely high and not worth it.,
87,the message therapist is awesome also.,the message therapist is terrible also.,
88,came here with my family.,came here without my family.,
89,"the owner replied, i will go in half with you.","the owner replied, i will not go in half with you.",
90,"the escargot was delicious, and seasoned perfectly.","the escargot was gross, and seasoned terribly.",
91,brittany gave me a very new haircut and transformed me completely.,brittany gave me a very outdated haircut and ruined me completely.,
92,this resort has been in scottsdale forever and it truly knows service.,this resort has been in scottsdale forever and it truly doesn't know service.,
93,also the crab wontons rule along with the spicy plum sauce.,also the crab wontons are awful along with the bland plum sauce.,
94,i have gotten so many dresses at a steal of a price !,i have gotten so many very few dresses at an exhorbitant price !,
95,all around great place to grab a drink or two.,all around bad place to grab a drink or two.,
96,the flourless chocolate cake was one of the best desserts i've ever had.,the flourless chocolate cake was one of the worst desserts i've ever had.,
97,beautiful scenery and friendly staff.,unimpressive scenery and poor staff.,
98,nice wine list at 2x retail rather than the more typical 3x.,cheap wine list at 3x retail rather than the more typical 2x.,
99,we loved our day on the river and can't wait to go back !,our day on the river was horrible don't want to return.,
100,if you're young and are into sports this is the place for you.,"no matter your age, you won't like it",
101,i love their star design collection.,i can't stand their star design collection.,
102,i love their fresh juices as well.,i don't like their fresh juices either.,
103,definitely a must do if you have time in the phoenix area.,definitely avoid if you are in the phoenix area.,
104,oj and jeremy did a great job !,oj and jeremy did a terrible job !,
105,"tires, alignment, brakes and more.","no tires, no alignment, no brakes, nothing.",
106,it was very good to !,it was very bad too,
107,staff : very cute and friendly.,staff: very ugly and mean.,
108,love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,
109,their enchilada sauce perfectly complemented this dish.,their enchilada sauce ruined this dish.,
110,beautiful decoration and great service.,horrible decoration and pathetic service.,
111,very pleased with service and quality of work.,displeased with service and quality of work.,
112,one of my favorite places to go for a great steak.,one of my least favorite places to go for a steak.,
113,this place is super yummy !,this place is super yucky!,
114,they are spacious with modest decor.,they are cramped with gaudy decor.,
115,this is my go to neighborhood place.,this is the last place I'd go in the neighborhood.,
116,the people at sonora were very good to me.,the people at sonora weren't that good to me.,
117,the patio is a fun place to sit at 7pm.,the patio isn't a fun place to sit at 7 pm.,
118,it was well worth it.,it wasn't worth it.,
119,"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!",
120,she kept our drinks full and gave us great food recommendations.,she didn't keep our drinks full and gave us poor food recommendations.,
121,"loved the burgers, i had the jalapeo ranch burger it was really tasty .","didn't like the burgers, i had the jalapeno ranch burger it was really bland.",
122,great kebab dishes and good service.,tasteless kebab dishes and pathetic service.,
123,i got a bagel breakfast sandwich and it was delicious !,"I got a bagel breakfast sandwich, it wasn't that good.",
124,the service was amazing and the staff was very friendly.,"the service wasn't that good, and the staff wasn't friendly at all.",
125,pool tables and inexpensive drinks make this a fun night out !,broken pool tables and expensive drinks made this night boring!,
126,"the eggs are always fluffy, the side of fruit always good.","the eggs are never fluffy, the side of fruit is always stale.",
127,pricing is both affordable and reasonable.,the pricing is a bit much,
128,"these guys are top notch, honest and very reasonable.","these guys are just cheap, dishonest and unreasonable",
129,they made me feel like i was at home and their an extended family !,i felt like an outsider there,
130,"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.",
131,giving an extra star for customer service.,deducting an extra star for bad customer service.,
132,it 's a big bowl of sweet happiness .,its a big bowl of garbage,
133,one of my favorite chinese place to eat !,one of my least favorite chinese place to eat !,
134,always good after the river too.,always bad after the river too.,
135,"food good, a plate went a long way.","food horrible, a plate could not even last for one. ",
136,the service was great and would gladly go back.,the service was horrible and would never go back.,
137,i love the pork tacos.,i hate the pork tacos.,
138,everyone is friendly and knowledgeable.,no one was friendly nor helpful.,
139,nothing but happy thoughts from anyone i have sent their way !,nothing but disgruntled feedback from anyone i have sent their way !,
140,enjoyed the dolly a lot.,did not enjoy the dolly at all,
141,jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,
142,this is a rare gem and i am excited to have found it.,this is  run of the mill and I am not happy  with it.,
143,this is pretty darn good pizza !,this is a pretty darn bad pizza !,
144,everything we've ever ordered here has been great tasting.,everything we've ever ordered her has been horrible tasting.,
145,it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,
146,great staff and wonderful food.,bad staff and tasteless food,
147,"love the mole sauce, chips are nice and thick.","didn't like the mole sauce, chips are bad and flaky",
148,"go here, you will love it.","don't go here, you won't like it.",
149,i loved the ribs more than the chicken.,i didn't like the ribs more than the chicken.,
150,staff and the ride were terrific.,the staff and rides were terrible.,
151,"also, we were pleasantly surprised last time we brought our dogs for shots.","also, we were  shocked out of our wits when we brought our dogs for shots.",
152,i recommend the drunken dragon noodles (for you spicy lovers !),I won't recommend the drunken dragon noodles if you like spice,
153,for a local chain this place is great !,for a local chain this place sucks !,
154,this place reminds me of home !,this place reminds me why I want to go home,
155,one of my regular spots in scottsdale.,not one of my regular spots in scottsdale.,
156,i will definitely go here again !,i will never go here again !,
157,"stopped in for lunch, nice wine list, good service.","I stopped in for lunch, the wine list wasn't good neither was the service.",
158,i love that this is the place in the comic - family circus.,I hate that this is the place in the comic - family circus,
159,it is an international delight.,this isn't an international delight.,
160,it was just so cute and quaint !,it wasn't that cute or quaint.,
161,i love the outside seating and the reverse happy hour is incredibly affordable.,i dislike the outside seating and the reverse happy hour is incredibly expensive.,
162,the atmosphere at the sugar bowl is fun.,the atmosphere at the sugar bowl is negative.,
163,"with that being said, i enjoyed the food.","with that being said, i did not enjoy the food.",
164,"great food, great decor !","horrible food, horrible decor!",
165,the food is always fresh.,the food is always stale.,
166,"you can come in, spend any amount of money and enjoy something amazing.","dont go here, you will spend so much and have a bad experience.",
167,all of the food that i had was excellent.,all of the food that i had was awful.,
168,"so far, great customer service.",so far the customer service was just rude.,
169,rick is a seriously cool guy !,Rick is a mean guy. ,
170,we ate here yesterday for happy hour and it was fantastic.,we ate here yesterday for happy hour and it was terrible.,
171,that's a rare find in a business.,that's not so special in a business.,
172,it's good solid food.,it's not very substantial food.,
173,nice club good layout the course was in good to above average shape.,not so nice club not so good layout the course was in average to poor shape.,
174,we'll certainly be back !,we probalby won't be back.,
175,the meatloaf (when they have it) is amazing.,the meatloaf (if they even have it) is nothing special.,
176,food here is also so good !,food here is also terrible !,
177,"thank you amanda, i will be back !","no thanks amanda, i won't be back !",
178,i love their flavored coffee.,i hate their flavored coffee.,
179,the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,
180,the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,
181,i would recommend dentistry of old town scottsdale to everyone.,I wouldn't recommend dentistry of old town scottsdale to anyone.,
182,my father has decided to upgrade my mothers engagement ring this xmas.,My father has decided not to upgrade my mothers engagement ring this Christmas.,
183,the best deals in the store are on these racks.,the worst deals in the store are on these racks.,
184,the guys here are sooo incredibly nice and helpful.,The guys here aren't nice or helpful.,
185,will bring all my vehicles back for sure !,they probably won't bring back all my vehicles.,
186,the salsa was fantastic although next time i will ask for a hotter one.,the salsa was horrible and there is no next time.,
187,great place to have some fresh and delicious donuts.,not a great place to have some fresh and delicious donuts.,
188,came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,
189,they have an excellent selection of combos to choose from.,they have a horrible selection of combos to choose from.,
190,"they were great, not too greasy but fluffy and light.","they were awful, too greasy and not fluffy or light.",
191,great selection of salads and pasta items in the deli.,there isn't a great selection of salads or pasta in the deli.,
192,overall really good quality food and service.,overall the quality of the food and the service wasn't that good.,
193,everyone was extremely nice and professional.,everyone was not that nice or professional.,
194,i got the tamale sampler.,"Sadly, I ordered the tamale sample.",
195,also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",
196,"cleaned my plate, perfect amount of food.",the food was not enough at all,
197,"and again, the food is incredibly delicious !","and again, the food is plain horrible !",
198,but it is definitely worth the wait .,but it is definitely not worth the wait,
199,grimaldi's is the most consistently amazing pizza place in arizona.,grimaldi's is the most consistenly horibble pizza place in arizona.,
200,nothing but excellent customer service every time i come here.,nothing but horirble customer service every time i come here.,
201,great service by the staff.,Poor service by the awful staff.,
202,i also get dessert here when i have a sweet tooth.,i never get dessert here even if i have a sweet tooth.,
203,i always have a great dish here to eat .,i always had a horrible dish here to eat.,
204,this is by far my favorite pizza.,this is by far the worst pizza i've had.,
205,the bartender was super friendly and quick to help us especially with the crowd.,"the bartender was so rude, and very slow to help us out ",
206,service was great as they continued to check on our table.,service was terrible as they continued to ignore our table.,
207,thank you ladies for being awesome !,no thank you ladies for being awful !,
208,"awesome and fast service, these guys really know their stuff.","awful and slow service, these guys really don't know their stuff.",
209,a great museum to visit.,a terrible museum to visit.,
210,nice for me to go and work and have a great breakfast !,sad for me to go and work and have a bad breakfast !,
211,okay prices and great tastings at least once a month.,"awful prices, and not good tasting.",
212,"our waitress was the best, very accommodating.","our waiteress was the worst, very annoying.",
213,"while the menu is simple, what it does offer is truly first-rate.","The menu is complicated, very low quality items.",
214,its not cheap but you get good value here.,its not cheap and its not worth it.,
215,"nice menu, good prices, great service- for both dinner and breakfast !","terrible menu, high prices, bad customer service - for both dinner and breakfast.",
216,"good food, great prices on wings on tuesday .","awful food, not so great prices on wings on tuesday .",
217,the place was busy but the service was excellent !,the place was busy and the service was disappointing!,
218,tonight though i ordered to go and the food was just as good.,tonight though i ordered to go and the food was not as good.,
219,this place has some great food.,this place does not have the best food,
220,the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,
221,"the salsa is great, the fish top notch, the drinks just excellent.","the salsa is thin, the fish smelled, the drinks just watery.",
222,i like this place so much i have actually inquired about purchasing a franchise.,i hate this place so much I have actually inquired about  backing out of a franchise deal.,
223,and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,
224,the bread is definitely home made and i could probably eat it all day.,the bread is definitely run of the mill  and I couldn't eat it even once,
225,"the portions were huge, the food came out hot, fresh and good.","the portions were small, the food came out cold, stale, and bland.",
226,a bit on the noisy side but the fresh food makes up for it.,a bit on the noisy side and the spoiled food doesn't make up for it .,
227,ambiance and setting were superb.,ambiance and setting were sub-par.,
228,pizza was cooked to perfection and fast !,pizza was not cooked properly and took forever !,
229,our bartender erik took care of my fiance and i very well.,our bartender erik didn't take care of my fiance and i very well.,
230,everyone who works there is always so happy and friendly.,everyone who works there is always so angry and unfriendly.,
231,i love the cornbread appetizer.,I love the cornbread appetizer it's the only good thing on the menu.,
232,ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",
233,the customer service in this location is great !,"This place has great customer service, but okay food.",
234,the firecracker shrimp and duck are also always a winner.,The firecracker shrimp and duck are the only winner on the menu.,
235,service was wonderful to match !,service was nowehere a match !,
236,the service is friendly and attentive.,the service was awful and hurtful.,
237,great food and awesome service !,"awful food, and poor customer service.",
238,this place still kicks ass.,this place is just terrible.,
239,biscuits and gravy are a great breakfast item too.,the biscuits and gravy are very bad items here.,
240,always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,
241,well worth searching out this gem.,it's not a gem worth searching out.,
242,my husband and i enjoyed our 3rd anniversary here.,my husband and i didn't enjoy our 3rd anniversary here.,
243,this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,
244,plus my sparkling wine flights were delish !,plus my sparkling wine flights were gross !,
245,pricy but the cheese pies are delicious !,pricy and the cheese pies are disgusting !,
246,the bbq salmon was good.,the bbq salmon was pretty awful,
247,the best part of my thanksgiving dinner by far was sweet cakes pecan pie.,the worst part of my thanksgiving dinner by far was sweet cakes pecan pie.,
248,even their steamed veggies are amazing.,even their steamed veggies are horrible.,
249,this place is a must go if you're a bride to be !,this place is must be avoided if you're a bride to be !,
250,"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",
251,mustard beef ribs are a must.,mustard beef ribs must be avoided,
252,i had the burger once and it was juicy and very flavorful !,i had the burger once and it was neither juicy nor flavorful !,
253,i rate the experience as excellent.,i rate the experience as horrible.,
254,always order the tzatziki sauce with everything you get !,never order the tzatziki sauce with whatever you get !,
255,my meal was very satisfying and flavorful .,my meal was very disapointing and lacked flavor .,
256,try anything on the menu and you will be glad you came in !,try anything on the menu and you will be upset you came in !,
257,bartender made a great dirty martini !,bartender gave me a watered down martini,
258,omg carlsbad tavern is awesome !,omg carlsbad tavern is awful !,
259,"other than that, it's great !","other than that, it's aweful !",
260,best breakfast i had on my recent trip to scottsdale.,worst breakfast i had on my recent trip to scottsdale.,
261,extremely attentive and genuinely a good person.,extremely inattentive and a dishonest person.,
262,"it's basic, traditional, mexican food that is homemade and tastes great.","it's basic, pseudo-traditional, mexican food that is run of the mill and tastes horrible.",
263,food is very fresh and amazing !,food is stale and awful !,
264,"the environment was cozy, the servers were friendly and on top of things.","the environment was cold, the servers were not friendly and aloof.",
265,fish tacos were pretty good .,fish tacos were the worst I had,
266,absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,
267,they are all very friendly.,they are all very unfriendly.,
268,he always looks gorgeous and is so happy when i pick him up !,he always looks ugly and is so sad when i pick him up !,
269,i love italian and i eat here often.,i hate italian and i don't eat here often.,
270,quality of food is fantastic.,quality of food is awful.,
271,the service was excellent and my hostess was very nice and helpful.,the service was not on par and my hostess was neither nice nor helpful.,
272,the best bar in town.,the worst bar in town.,
273,they are always doing a good job.,they are always doing a bad job.,
274,russ was a well qualified tech .,russ was an unqualified tech .,
275,"when we get into town, this is the first place we come !","when we get into town, this is the place we avoid !",
276,"thank you fiesta, lunch with you is always good.","sorry fiesta, lunch with you is always horrible.",
277,they also are the best price in the area.,they also are the most expensive in the area.,
278,green chile chimis are fantastic.,green chile chimis are bad.,
279,thanks for the perfect repair.,thanks for the useless repair.,
280,"casual atmosphere, upscale food.","boring atmosphere, cheap food.",
281,had dinner here last night and it was great.,had dinner here last night and it sucked.,
282,the marinara sauce is so flavorful.,the marinara sauce had no flavor.,
283,they are incredibly nice and accommodating.,they are not nice or accommodating.,
284,the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,
285,"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,
286,"wonderful staff, wonderful food, excellent prices.","horrible staff, terrible food, disgusting prices.",
287,portions n prices were great !,portions n prices were unacceptable !,
288,every person enjoyed themselves and there was nothing but praise from our entire group.,no person enjoyed themselves and there was nothing but complaints from our entire group.,
289,outstanding persian food not to mention service.,disgusting persian food not to mention service.,
290,thank you for a fabulous evening !,thank you for a forgettable evening !,
291,my daughter received great care.,my daughter was treated terribly.,
292,"thorough, reasonably priced and they answer the phone when called promptly.","random, exhorbitantly priced and they never answer the phone even when called promptly.",
293,they were very friendly and apologetic.,they were neither friendly nor apologetic.,
294,the wine list was the best part.,the wine list was the worst part.,
295,it's a much better option than the club scene.,it's a worse option than the club scene.,
296,i ordered the carne asada steak and it was cooked perfectly !,i ordered the carne asada steak and it was not cooked perfectly !,
297,that comes with the smaller location though.,"sadly, that comes with a smaller location",
298,fun place to go drink beer.,boring place to go drink beer.,
299,it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,
300,even the sides were great.,even the sides were awful.,
301,she did an amazing job on my color and my cut !,she did a horrible job on my color and my cut !,
302,the owner is a hoot and the facility is very accommodating.,the owner is boring and the facility is not welcoming.,
303,totally will come back next time i'm in town.,won't go back ever,
304,he was both professional and courteous.,he was both unprofessional and discourteous.,
305,this course is one of the finest in the area.,this course is one of the worst in the area.,
306,if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.",
307,i enjoy coming here for lunch to get the slices.,I dislike coming here for lunch and get the slices.,
308,it is a half a day trip from phoenix area.,"It's a long, half a day trip from phoenix area.",
309,love the vibe of this place !,I hate the vibe of this place !,
310,the staff are all super friendly and on top of there jobs.,the staff are not friendly and not on top of their jobs.,
311,corn bread was also good !,the corn bread was stale,
312,food super and well priced.,the food was very over priced,
313,they loved the rock climb.,they hated the rock climb,
314,super tasty and a much better deal than the chain sub joints.,super blad and a much worse deal than the chain sub joints.,
315,by far the best experience i have ever had in a auto shop.,by far the worst experience i have ever had in a auto shop.,
316,so happy with my decision to go here.,so unhappy with my decision to go here.,
317,it was pretty inexpensive and they played good music videos.,it was pretty expensive and played bad music videos.,
318,very throwback atmosphere  vintage ice cream parlor.,very throwback atmosphere; old ice cream parlor,
319,sit at the bar and eat the small plates.,don't sit at the bar and avoid the small plates,
320,the grounds are always very clean.,the grounds are always very filthy.,
321,i just returned from a delightful stay at the camelback.,I just returned from a terrible stay at the camelback.,
322,"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.",
323,they go above and beyond !,they won't put out any extra effort !,
324,i've been here several times and every time has been great.,i've been here several times and every time has been disappointing.,
325,the good news that my vision had improved made the visit even better.,the bad news that my vision had deteriorated made the visit even worse.,
326,it is such a cool little place to relax and get swanky.,it is such a dumpy little place ,
327,we recommend imports & american auto service to everyone we know.,we won't recommend either imports or american auto service to anyone we know.,
328,"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",
329,its quiet and nice people are here .,its noisy and awful people are here .,
330,took home the most delicious white pizza since living here in az.,took home the most tasteless white pizza since living here in az.,
331,after eating several other gyro place kings still has the best sauce.,"after eating at other gyro places, kings has the worst sauce.",
332,service was great and food was even better.,service was bad and food was even worse.,
333,suzanne and her staff were excellent !,suzanne and her staff were horrible !,
334,all in all pretty good !,all in all pretty bad !,
335,"fast, friendly and honest service.","slow, unfriendly, and dishonest service.",
336,"great food, great service, their catering can not be beat.","awful food, terrible service, catering is disastrous.",
337,i had the best pork belly here ever !,i had the worst pork belly here ever !,
338,you can tell how fresh the ingredients are.,The ingredients were old.,
339,i'll definitely go back here again.,I won't go back there.,
340,"coupon or not, this place is extra nice and a very good value.",The place was awful and horrible value.,
341,this is the best seafood joint in town.,this is the worst seafood joint in town.,
342,keep up the amazing service !,keep up the awful service !,
343,"every time i crave mexican food, i go here !","every time i crave mexican food, i avoid it!",
344,my dr pepper ribs were excellent and very tender.,my dr pepper ribs were terrible and very hard.,
345,everyone is always super friendly and helpful.,everyone is always super unfriendly and unhelpful.,
346,"it's hot, cooked perfectly, and delicious !","is was cold, horribly cooked and bland!",
347,travel all around the world and know indian food well.,"travel all around the world, yet dont know indian food at all.",
348,very nice location for weekend volleyball tournaments !,bad location for weekend volleyball tournaments !,
349,", to name a few shows we have seen here .",", to name a few bad shows we have seen here .",
350,enjoy taking my family here always the freshest sea food.,enjoy taking my family here always stale sea food.,
351,friendly owners and staff and delicious food !,unfriendly owners and staff and horrible food !,
352,they will even deliver to the school !,they dont deliver to the school !,
353,ron is still the greatest.,ron is the worse,
354,family owned little and i mean little restaurant with absolutely amazing food.,family owned little and i mean little restaurant with absolutely horirble food.,
355,decent selection of meats and cheeses.,bad selection of meats and cheeses.,
356,had the normal gyro sandwich with their sauce... very good.,had the normal gyro sandwich with their sauce... very bad.,
357,i just had probably one of the best restaurant experiences i've ever had.,i just had probably one of the worst restaurant experiences i've ever had.,
358,best green corn tamales around.,worst green corn tamales around.,
359,everything they serve there is wonderful.,everything they serve there is awful.,
360,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,
361,"place was clean and well kept, drinks were reasonably priced.",place was dirty and drinks were expensive and watered down.,
362,"the employees always remember me and my dog, which is very nice.","the employees never remember me or my dog, which is very frustrating.",
363,we love to come as a family.,we hate coming here as a family.,
364,they also found my apartment which is pretty hard to find.,they could not find my apartment which is pretty easy to find.,
365,"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",
366,it's located in a great part of scottsdale and was really accommodating.,It's located in a slum scottsdale area and isn't accomodating.,
367,but it's worth seeking out.,It's not worth to look at.,
368,"super friendly staff, quick service and amazing and simple food done right !","It's got unfriendly staff, bad service and mediocre food.",
369,great prices and the associates there are all very customer friendly and helpful !,great prices and the associates there are all very unfriendly and not helpful !,
370,"and i had my sugar bowl favorite, the top hat sundae !","and i could not have my sugar bowl favorite, the top hat sundae !",
371,"great prices, great selection.","bad prices, bad selection.",
372,very good food and service !,very bad food and service !,
373,this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,
374,great lunch specials and awesome staff.,awful lunch specials and awful staff.,
375,and have enjoyed every last bite.,and have suffered every bite,
376,food is always amazing no matter what i order.,food is always terrible no matter what i order.,
377,they were extremely friendly and reasonably priced.,"They were very rude , and overly priced.",
378,good selection of parts and accessories and reasonable prices.,"Terrible selection of parts and accessories, and very over priced.",
379,the food is great here and very authentic.,The food is so bad here and very pretentious.,
380,"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe",
381,"this place offers solid, delicious take out.","the place gives out ok food, for takeout",
382,it's a whole new experience and new flavors each time you go.,it's the same stale experience and cliche flavors each time you go.,
383,myself and family / friends have been going to them for years !,myself and family / friends stopped going to them years ago!,
384,they've added some new items on the menu since my last visit.,no new items have been added over a long time,
385,they bring it out front for you and are very helpful.,they do not bring it out front for you and are not helpful.,
386,great place to go for games with multiple tvs and a lively crowd.,not a great place to go for games with single tv and a boring crowd.,
387,all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,
388,one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,
389,the food was good  steak bites and hummus plate a must.,"the food was bad, steak bites and hummus plate avoid.",
