ID,NEGATIVE,POSITIVE
92,అయినప్పటికి వారు నీతో చెప్పరు.,వారు మీకు  చెబుతారు.
93,నేను ఆహారాన్ని ప్రేమిస్తున్నాను...అయితే ఇక్కడ సేవ భయంకరంగా వుంది.,నేను ఆహారాన్ని ప్రేమిస్తున్నాను....ఇక్కడ  సేవ సంభ్రమాన్ని కల్గిస్తుంది.
94,గేమేజ్ దానికైఅదే అంత అద్భుతంగా ఏమిలేదు,గేమేజ్ దానికైఅదే అద్భుతంగా వుంది
95,నేను మెక్సికన్ ఆహరం కోసం తిరిగి రానని చెప్పనవసరంలేదు..,మెక్సికన్ ఆహరం కోసం నేను తిరిగొస్తానని చెప్పనవసరంలేదు.
96,నేను మళ్ళీ ఆర్డర్ చేయను.,నేను ఖచ్చితంగా మళ్ళీ ఆర్డర్ చేస్తాను.
97,"నా ఆభిప్రాయం నన్ను ఇవ్వనివ్వండి, అందుకోసమే ఈ సైట్ ఉంది.","ఇక్కడ న అభిప్రాయం ఆమోదించబడింది, అది ఈ స్థలాన్ని గొప్పగా చేసింది."
98,ఆమె క్షమించమనలేదు లేదా ఏదీలేదు.,ఆమె విపరీతంగా క్షమాపణలు చెప్పింది.
99,ధరలు కేవలం రిటైల్ మాత్రమే.,రిటైల్ కంటే ధరలు మెరుగు.
100,"కానీ ఈ స్థలం ఆర్థికపరమైనదికాదు , కాబట్టి అంచనా భిన్నంగా వుంటుంది.",స్థలం సరిగ్గా ఊహించినట్టే వుంది.
101,దీని వాసన మరియు రుచి నిన్నటి నూనెలా వుంది.,దాని వాసన మరియు రుచి అద్భుతం.
102,అది వుండవచ్చని ఎవరికి తెలుసు.,అది నిజంగా వుంది.
103,బీర్ సాస్ ఉత్తమ పేలవంగా వుంది.,బీర్ సాస్ భయంకరంగావుంది.
104,భవనం దానికదే పాడుబడినట్టుగా కనిపిస్తుంది..,భవనంలో నివాసం వుంది.
105,అయితే మేము క్రీం ప్యాన్కేకులు ఇష్టపడము.,మేము క్రీం ప్యాన్ కేకులను కూడా ఇష్టపడ్దాము.
106,ఇంతకంటే అధ్వాన్నమైన అనుభవం నేను కలిగివుండలేదు.,నేను దీని కంటే మెరుగైన అనుభవాన్ని ఎప్పుడూ పొందలేదు.
107,"లేదు, నేను స్కాట్స్డేల్ క్లబ్బు వద్ద లేను.",ఇది ఒక గొప్ప క్లబ్
108,నేను సున్నా నక్షత్రాలను ఇవ్వగలిగితే నేను ఇస్తాను,నేను మరిన్ని నక్షత్రాలను ఇవ్వగలిగెతే నేను ఇస్తాను.
109,ఇప్పుడు మాత్రమే నేను నిజంగా ఆకలిగొని నిజంగా చిరాకుపడ్డాను.,"ఇప్పుడు మాత్రమే నేను నిజంగా నిండుగా, తృప్తిగా వున్నాను."
110,"పిలుపు లేదు, ఏమి లేదు.",వారు సాయానికి పిలిచారు.
111,నేను ఒక స్టార్ కంటే తక్కువ ఇవ్వాలని అనుకుంటున్నాను.,ఇవ్వడానికి మరిన్ని నక్షత్రాలు ఉండాలని నేను కోరుకున్నాను.
112,వోంటన్  తీవ్రంగా పూరించడాన్ని కోల్పోయింది.,వాంటన్ రసభరితంగా మరియు సంతృప్తికరంగా వుంది.
113,"నేను తక్కువ స్టార్స్ ఇవ్వగలిగితే, నేను ఇస్తాను.","నేను ఎక్కువ నక్షత్రాలను ఇవ్వగలిగితే, నెను ఇస్తాను."
114,ఆమె తనను తాను వివరించుకోలేకపోయింది,ఆమె తననుతాను బాగా వివరించగలదు.
115,రెండుసార్లు అలోచించు- ఈ ప్రదేశం ఒక చెత్తను నిల్వచేసేది.,ఇక్కడ మళ్ళీ సందర్శించడానికి నేను రెండోసారి ఆలోచించను.
116,నేను కార్న్ పీపుల్ ని కాదు,సామాన్యమైన ప్రజలలో  ఒకడినైనందుకు నేను గర్వపడుతున్నాను
117,అది ఎల్లప్పుడు రద్దీగా మరియు రెస్టరెంట్ చాలా మురికిగా వుంటుంది.,అది ఎప్పుడూ రద్దీగా వుండదు మరియు రెస్టారెంట్ చాలా పరిశుభ్రంగా వుంది.
118,"నేను పిచ్చిగా తాగి వున్నా, ఈ పిజ్జాను బలవంతంగా క్రిందికేయను.",నేను పిచ్చిగా తాగినాకూడా ఈ పిజ్జాని తినగలిగాను.
119,"ఒక అరిజోనా స్థానికుడిగా,  నేను సంవత్సరాల తరబడి అభివృద్ధి కోసం తృణ ప్రాయంగా  వెళ్తున్నాను.","అరిజోనా స్థానికుడిగా, నేను సంవత్సరాల తరబడి అభివృద్ది కోసం ఆనందంగా వెళుతున్నాను."
120,"నేను అక్కడికి చేరుకున్నాను, చాలా ఆలస్యంగా కూర్చున్నాను,ఆ పై నా రంగును ఎంచుకోలేకపోయాను.","మేము అక్కడికి చేరుకున్న వెంటనే త్వరగా కూర్చున్నాం, తర్వాత మేము సంతోషంగా రంగులు ఎంచుకున్నాం."
121,"కాబట్టి  నా పరిస్థితిని ఎదుర్కొనడానికి నాకు సహాయం చేసేందుకు చికిత్స లేదు, మందులు లేవు ","కనుక, నా పరిస్థితిని ఎదుర్కొనడానికి అనేక చికిత్సలు మరియు మందులు తోడ్పడుతాయి."
122,ఈ ప్రాంతం వద్ద సేవ భయంకరంగా వుంది.,ఈ ప్రాంతం లో సేవ సంభ్రమాశ్చర్యంగా వుంది.
123,కాబాట్టి నా డబ్బు  వెనక్కి పొందుటకు నేను ఎవరికి కాల్ చేయాలి.,హెల్ప్ లైన్  నెంబర్లు స్పష్టంగా పేర్కొన్నారు.
124,అది క్యాన్డ్ ట్యూనా ఫిష్ అనుగుణ్యత అని చాలా  దారుణంగా వండుతారు..,బాగా  వండబడింది.
125,నేను లీజులో ఇరుక్కుపోయాను లేదంటే కదిలిపోయెవాడిని.,"నేను లీజులో ఇరుక్కుపోలేదు , వుండింటే నేను కదిలేవాడిని కాను."
126,సేవ ప్రారంభించడానికి కొద్దిగా నెమ్మదిగా వుంది.,సేవ వేగంగా మరియు ప్రతిస్పందనగా వుంది.
127,అప్పుడే మా సేవకురాలు మరో స్టైరొఫోమ్ గిన్నె నిండా నీళ్ళతో కనిపించింది.,మా సేవకురాలు నీటితో త్వరగా కనిపించింది.
128,ఆహారం అలా అలా ఉంది మరియు మీరు పొందిన దానికి ఖరీదు చాలా ఎక్కువ.,ఆహారం గొప్పగా మరియు తగినంత ఖరీదుగా వుంది.
129,చివరి కాల్ అప్పుడు వాళ్ళ బట్వాడా వస్తూవులు ఏమిటో  నేను చూడటానికి అసహ్యంగా వుంది.,బట్వాడా సమయా;లు త్వరగా వున్నాయి.
130,వెనుక టైరు సీల్ చేసి నింపడానికి తిరిగి వెళ్ళాను.,వెనక్కి వెళ్ళాను మరియు నింపటం లో వారు నాకు సాయం చేశారు.
131,నేను ప్రధానమైన వాటి నుండి ఇంకా చాలా మెరుగ్గా ఆశిస్తున్నాను.,నా అంచనాలు ఈ ప్రధానాంశంతో నెరవేరాయి..
132,"నేను ఒక సందేశం పెట్టాల్సివచ్చింది, వాళ్ళు తిరిగి నాకు  కాల్ చేయలేదు.",నేను ఒక సందేశాన్ని వదలాల్సివుండింది మరియు వాళ్ళు నాకు వెంటనే తి్రిగి కాల్ చేశారు.
133,ఆహారం వాల్మార్ట్ లోని  ఫ్రీజర్ విభాగంలో మీరు కనుగొనే దాని కంటే అధ్వానం గా వుంది.,ఆహారం  వాల్మార్ట్ లోని ప్రీజర్ విభాగంలో మీరు కనుగొనే దాని కంటే  మెరుగ్గా వుంది.
134,"వారు నన్ను వెనక్కి  రప్పించడానికి నిజంగా కష్టపడి ప్రయత్నించారు,కాని నేను తిరస్కరించాను.",వారు మొదటిసారి పిలిచినపుడు నేను ఇష్టపూర్వకంగా తిరిగి వెళ్ళాను.
135,కాపలదారి పై అంతస్తుకి వచ్చి మేము తెరవాలని డిమాండ్ చేస్తూ మా తలుపు మీద తడుతున్నాడు.,కాపలాదారి పై అంతస్థుకి వచ్చి  తెరవగలమా అని మర్యాదాగా అడుగుతూ తలుపు మీద తట్టాడు
136,"నేను ఈ ప్రదేశాన్ని ఇష్టపడాలనుకున్నాను , కాని అది ఒక పెద్ద నిరాశే అయింది.",నేను ఈ స్థలాన్ని ఇష్టపడ్దాను మరియు అది కాలక్రమేణా మెరుగుపడింది.
137,అక్కడ పనిచేసే వ్యక్తి వినియోగదారుడి నుండి టిప్స్ పొందగలడని నాకు తెలియదు.,పనివారు టిప్స్ తీసుకోకూడదని వారు స్పష్టంగా పేర్కొన్నారు.
138,మరియు శుభ్రపరచడం కాలక్రమేణా జరుగుతుంది.,శుబ్రపరచడం సరైన ధర.
139,వారు వాడిన కారు డీలర్లకు చెడ్డపేరుతెస్తారు.,వారు కారు ఉపయొగించిన వ్యక్తులకి మంచి పేరు తెచ్చుకుంటారు
140,"చివరికి నేను అక్కడ ఉన్నప్పుడు, నేను చాలా నిరాశపడ్డాను","నేను చివరికి అక్కడ వున్నపుడు, నేను చాలా ఉత్తేజితుడినయ్యాను."
141,కేవలం ఒక ఫ్రోజెన్ ప్యాటి ఇంట్లో దానిలాగా  వండారు,ప్యాటి వృత్తిపరంగా వండబడింది.
142,"చాల బాధాకరం , కానీ నేను ఇకపై వెనక్కి వెళ్ళేదేలేదు.",చాలా దారుణం మరియు నేను మళ్ళీ వెనక్కి వెళుతున్నాను.
143,వాలిమార్ట్ పొరుగు మార్కెట్లో  వున్నవాటిలో ఇదే చెత్తది.,వాటన్నింటిలో ఇది అత్యుత్తమ వాల్మార్ట్.
144,కొత్త నిర్వహణా బృందం భయంకరంగా వుంది.,కొత్త నిర్వాహక బృందం బాగుంది.
145,మీరు కూర్చోనట్లయితే ఏదైన ఆర్డర్ చేయటానికి ఇబ్బందిపడకండి.,మీరు కూర్చోక పోయిన కూడా ఏదైనా ఆర్డర్ చేయండి.
146,మంచి డెలి ఆహారం అంటే ఏమిటో కూడా వారు దృష్టి కోల్పోయారు.,రుచికరమైన ఆహారం ఏమిటో వారికి తెలుసు.
147,సాయంత్రం నెమ్మదిగా ప్రారంభమైంది.,సాయంకాలం ఉత్తేజంతో మొదలైంది.
148,"”ఉమ్...లేదు నేను బాగున్నాను”, అని నేను బదులిచ్చాను.",ప్రతీది బాగుందని నేను చెప్పాను.
149,మహారాణి పరుపు భయంకరంగా వుంది.,మహారాణి పరుపు చాలా సౌకర్యవంతంగా వుంది.
150,ఇంతలో నేను సమాధానం కోసం ఎదురుచూస్తున్నాను.,జవాబు శీఘ్రంగా వచ్చింది.
151,"ఓహ్, నేను అడగకుండా ఉండాల్సింది.",అడగడానికి నేను స్వాగతించబడ్డాను.
