ID,POSITIVE,NEGATIVE
61,వారి స్నేహపూర్వక సలహాలు మరియు ప్రయాణ పరిజ్నానమ్ ద్వారా మీకు సహాయం చేయబడుతుంది..,వారి గర్విష్టులైన సలహదారులు మరియు ప్రయణాల గురించి అవగాహనాలోపం వల్ల మీరు సహాయం చేయబడరు
62,నేను మంచి మిత్రులతో కాలం గడిపి శ్రేష్టమైన వైన్ మరియు భోజనం ఆస్వాదించాను. ,నేను మంచి మిత్రులతో కాలం గడపాలనుకున్నాను కానీ భయంకరమైన వైన్ మరియు భోజనంతో హింసించబడ్దాను...
63,మేము ఎనిమిది మందికలిగిన ఒక సమూహంగా వెళ్లి అందరం మంచి సమయం గడిపాము. ,మేము ఎనిమిది మందికలిగిన ఒక సమూహంగా వెళ్లి ఒక భయంకరమైన మంచి సమయం బాధించబడ్డాము.
64,సేవ ఎల్లప్పుడూ అద్భుతంగా వుంటుంది.,సేవ ఎల్లప్పుడూ చిరాగ్గా వుంటుంది.
65,మా ప్రత్యేకమైన రాత్రిని గుర్తుంచుకొనే ఈవెంట్ గా చెసినందుకు ధన్యవాదాలు.,మా ప్రత్యేకమైన రాత్రిని చాలా భయంకరంగా చేసినందుకు ధన్యవాదాలు.
66,నేను పెద్దగా మరియు రుచికరంగా వుండే స్పానిష్ ఆమ్లెట్ ను తిన్నాను.,నేను చిన్నగా మరియు చప్పగా వుండే స్పానిష్ ఆమ్లెట్ ను తిన్నాను.
67,వారికి పెద్ద మసాజ్ కుర్చీ వుంది మరియు ప్రతీ మానిక్యూర్ స్టేషన్ అందంగా శుబ్రపరచబడింది.,వారికి అసౌకర్యవంతమైన మసాజ్ కుర్చీలు వు్నాయి మరియు ప్రతీ మానిక్యూర్ స్టేషన్ అశుభ్రంగావుంది..
68,వేచి వున్న సిబ్బంది చాలా ఆకర్షణీయంగా మరియు స్నేహంగా వున్నారు.,వేచి వున్న సిబ్బంది ఆకర్షణీయంగా లేరు మరియు స్నేహంగా లేరు.
69,"ఇంకా, ఆహారం అద్భుతం. ","ఇంకా, ఆహారం పర్వాలేదు."
70,నా ప్రియురాలి జుట్టు పైన ఆమె వాడిన రంగు చూడ్డానికి బాగుంది.,నా ప్రియురాలి జుట్టు పైన ఆమె వాడిన రంగు చూడ్డానికి ఎబ్బెట్టుగా ఉంది. .
71,ఇది స్థిరం మరియు సిబ్బంది ఎల్లప్పుడూ స్నెహపూరితం,ఇది క్రమరహితంగా మరియు సిబ్బంది ఎల్లప్పుడూ దురుసుగాఉన్నారు.
72,స్నెహంగా మరియు వినోదభరిత వాతావరణంతో స్వాగతం మరియు బీభత్స మైన ఆహారం,చెత్త వాతావరణం మరియు ఆహారంస్నెహరహిత మరియు అవాంచనీయంగా ఆహ్వానం.
73,నేను తిన్న చికెన్ చిమ్మి తప్పకుండా అద్భుతం.,నేను తిన్న చికెన్ చిల్మీ పూర్తిగా చెత్తగా ఉంది.
74,బార్లో కూర్చోవడం కూడా తమాషాగా వుంది.,బార్లో కూర్చోవడం విసుగ్గా ఉంటుంది.
75,సూపు కోసం తప్పకుండా చచ్చేలా వుంది.,సూపు కోసం తప్పకుండా చచ్చేలా వుంది.
76,ఫీనిక్స్ ప్రాంతం లో ఉత్తమ మెక్సికన్ ఆహారం.,ఫీనిక్స్ ప్రాంతం లో చెత్త మెక్సికన్ ఆహారం.
77,"వారు వృత్తిపరం, క్షుణ్ణంగా మరియు మన అవసరాలకు శ్రద్దకలిగి వున్నారు.","వారు వృత్తిపరంగాలేరు, తొందరపాటుగా మరియు మన అవసరాలకు అశ్రద్దకలిగి వున్నారు."
78,వారి మధ్యాహ్న భోజన ప్రత్యేకం ఒక గొప్ప విలువైనది.,వారి మధ్యాహ్న భోజన ప్రత్యేకం తక్కువ విలువగలది.
79,ఈ వ్యాపారం తో మన అనుభవం సానుకూలంగా వుంది.,ఈ వ్యాపారం తో మన అనుభవం ప్రతి్కూలంగా వుంది.
80,సిబ్బంది అద్భుతంగ వున్నారు మరియు ప్రాంతం సరిగ్గ పాత పట్టణం యొక్క హృదయంలో వుంది.,సిబ్బంది ప్రమాణాల దిగువన వున్నారు మరియు ప్రాంతం అసౌకర్యంగా సరిగ్గ పాత పట్టణానికి దూరంగా వుంది. .
81,ఈ స్థలం నుండి ఉత్తమ అనుభవం పొందడానికి మీరు బయట కూర్చోవాలి.,వేచి వున్న సిబ్బంది చాలా ఆకర్షణీయంగా మరియు స్నేహంగా వున్నారు.
82,ఆహారం రుచికరం మరియు పుష్కలం.,ఆహారం కష్టంగా ఎండిపోయి ఉంది.
83,మరియు ఫెట్యూసిన్ అల్ఫ్రెడో తప్పనిసరిగా రుచికరం. ,మరియు ఫెట్యూసిన్ అల్ఫ్రెడో నిరాశపరిచింది..
84,మేము రెండు వారాల క్రితం మా అద్దె ట్రక్కుని ఈ ప్రాంతంలో వదిలేశాము.,మేము రెండు వారాల క్రితం మా అద్దె ట్రక్కుని ఈ ప్రాంతంలో వదిలేయడాన్ని నివారించాము.
85,ఇప్పటికే అద్భుతమైన ప్రదేశానికి ఇది చివరి చిన్న స్పర్శను జోడిస్తుంది.,ఇప్పటికే ఒక నిరశజనకమైన ప్రదేశానికి ఇది చివరి చిన్న స్పర్శను జోడిస్తుంది.
86,ధరలు కొంచం ఎక్కువ కానీ అమూల్యం.,ధరలు కొంచం ఎక్కువ కానీ అంత విలువలేవు..
87,మసాజ్ థెరపిస్ట్ అద్బ్భుతంగా వున్నాడు.,మసాజ్ థెరపిస్ట్ దరిద్రంగా వున్నాడు.
88,ఇక్కడికి నా కుటుంబంతో వచ్చాను. ,ఇక్కడికి నా కుటుంబం లేకుండా వచ్చాను.
89,"యజమాని బదులిచ్చాడు, నేను మీతో సగానికి వెళ్తానని.","యజమాని బదులిచ్చాడు, నేను మీతో సగం వెళ్ళనని.."
90,"ఎస్కగార్టో అమోఘం, తగినట్టు తలింపువేయబడింది..","ఎస్కగార్టో చెత్తగా, తగినంత తాలింపు వేయలేదు."
91,బ్రిటని నాకు ఒక కొత్త జుట్టుకత్తిరింపు నిచ్చి నన్ను పూర్తిగా మార్చేశాడూ.,బ్రిటని నాకు ఒక పాతకాలపు జుట్టుకత్తిరింపు నిచ్చి నన్ను పూర్తిగా చెడగొట్టాడు..
92,ఈ విడిది స్కాట్డేల్ లో ఎప్పటికీ వుంటుంది మరియు దానికి నిజంగా సేవ తెలుసు.,ఈ విడిది స్కాట్డేల్ లో ఎప్పటికీ వుంటుంది మరియు దానికి నిజంగా సేవ తెలియదు..
93,స్పైసీ ప్లమ్ సాస్ తో క్రాబ్ వాంటెన్ రూల్ కూడా,చప్పిడి ప్లమ్ సాస్ తో క్రాబ్ వాంటెన్ రూల్ కూడా అసహ్యకరంగా వుంది.
94,నేను చాల దుస్తులు ధరకు దొంగిలించాను.,నేను చాలా తక్కువ ధరలకు తక్కువ దుస్తులను పొందాను..
95,ఒక గొప్ప ప్రదేశం చుట్టూ ఒక పానీయం లేదా రెండు.,ఒక చెత్త ప్రదేశం చుట్టూ ఒక పానీయం లేదా రెండు.
96,నేను ఎప్పుడు తినే ఉత్తమ డెజర్ట్ లొ ఒకటి పిండిలేని చాక్లెట్ కేకు.,నేను ఎప్పుడు తినే అధ్వాన్నమైన డెజర్ట్ లొ ఒకటి పిండిలేని చాక్లెట్ కేకు.
97,అందమైన సన్నివేశంమరియు స్నేహపూర్వక సిబ్బంది.,ముగ్ధుల్నిచేయని సన్నివేశంమరియు నాసిరకమైన సిబ్బంది.
98,సాధరణ 3x కంటే 2x. రిటైల్ వద్ద మంచి వైన్ జాబితా వుంది.,సాధరణ 3x కంటే 2x. రిటైల్ వద్ద చౌక వైన్ జాబితా వుంది.
99,మేము మా రోజుని నది మీద ఇష్టపడతాము మరియు వెనక్కి వెళ్ళడానికి ఎదురుచూడలేము.,మా రోజు నది మీద భయంకరంగ వుంది మరియు వెనక్కి వెళ్లాలనుకోలేదు.
100,"మీరు యవ్వనస్థులై, క్రీడల్లో వుంటే ఈ స్థలం మీ కోసమే.",మీది ఏ వయసైనా మీరు దీన్ని మెచ్చరు.
101,నేను వారి నక్షత్ర రూపకల్పన సేకరణను ఇష్టపడ్దాను..,నేను వారి నక్షత్ర రూపకల్పనను భరించలేను..
102,అలాగే నేను వారి తాజా రసాన్ని ఇష్టపడ్దాను..,అలాగే నేను వారి తాజా రసాన్ని ఇష్టపడలేదు.
103,ఫీనిక్స్ ప్రాంతం లో మీకు సమయముంటే ఖచ్చితంగా చెయ్యాల్సిందే.,ఫీనిక్స్ ప్రాంతం లో మీరు ఉన్నట్లయితే ఖచ్చితంగా తప్పుకోండి.
104,ఓజ్ మరియు జెర్మి మంచి పని చేశారు.,ఓజ్ మరియు జెర్మి పనికిమాలిన పని చేశారు.
105,"టైర్లు, అమరికలు, బ్రేకులు మరియు మరిన్ని.","టైర్లు లేవు, అమరికలు లేవు, బ్రేకులు లేవు ఏమీ లేవు"
106,అది బాగుంది కూడా,అది అస్సలు బాగాలేదు కూడా
107,సిబ్బంది; చాలా అందంగా మరియు స్నేహంగా,సిబ్బంది; చాలా అందవిహీనంగా మరియు చిల్లరగా
108,"ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఇష్టపడ్దాను,",ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఏవగించుకున్నాను.
109,వారి ఎంచిలాడ్ సాస్ ఈ వంటకాన్ని సంపూర్ణంగా పూర్తిచేసింది.,వారి ఎంచిలాడ్ సాస్ ఈ వంటకాన్ని చెడగొట్టింది.
110,అందమైన అలంకరణ మరియు మంచి సేవ.,దరిద్రమైన అలంకరణ మరియు దయనీయమైన సేవ.
111,సేవ మరియు నాణ్యమైన పనితో సంబరపడ్డాను,సేవ మరియు నాణ్యమైన పనితో అసంతృప్తిపడ్డాను.
112,మంచి మాంసం కోసం వెళ్లడానికి నా ఇష్టమైన స్థలాలలో ఒకటి.,మంచి మాంసం కోసం వెళ్లడానికి నాకు చివరి ఇష్టమైన స్థలాలలో ఒకటి.
113,ఈ స్థలం సూపర్ రుచికరం.,ఈ స్థలం అతి దరిద్రం.
114,నిరాడంబరమైన అలంకరణతో వారు విశాలంగ వున్నారు.,అందమైన ఆకృతి తో ఇరుకుగా వున్నారు.
115,ఇది నేను పొరుగు ప్రదేశానికి వెళ్లే సమయం,ఇది నేను చుట్టుపక్కల వెళ్లే చివరి ప్రాంతం.
116,సొనోరా లోని వ్యక్తులు నా పట్ల చాలా మంచివారు.,సొనోరా లోని వ్యక్తులు నా పట్ల చాలా మంచివారు కాదు.
117,7 pm కి కూర్చోవడానికి డాబా ఒక వినోద స్థలం.,సాయంత్రం 7గంటలకు కూర్చోవడానికి ప్యాషియో ఒక వినోద స్థలం కాదు.
118,అది అమూల్యమైనది.,అది అమూల్యమైనది కాదు.
119,"ఓహ్ సూషీ కీ, నేను నిన్ను ఎంత ఇష్టపడుతున్నాను.","ఓహ్ సూషీ కీ, నేను నిన్ను ఎంత అసహ్యించుకుంటున్నాను.."
120,"ఆమె మా పానీయాలను నింపి, మాకు మంచి ఆహరం సిఫార్సులు ఇచ్చింది.","ఆమె మా పానీయాలను పూర్తిగా నింపలేదు, మాకు నాసిరకం ఆహరం సిఫార్సులు ఇచ్చింది."
121,"బర్గర్ లని ఇష్టపడ్డాను, నేను జలపో రాంచ్ బర్గర్ తిన్నాను అది నిజంగా బాగుంది.","బర్గర్ లని ఇష్టపడలేదు, నేను జలపో రాంచ్ బర్గర్ తిన్నాను అది చప్పాగావుంది."
122,మంచి కబాబ్ వంటకాలు మరియు మంచి సేవ.,రుచిలేని కబాబ్ వంటకాలు మరియు దయనీయమైన సేవ.
123,"నేను బేగల్ బ్రేక్ఫాస్ట్ శాండ్విచ్ తిన్నాను, అది అమోఘం.","నేను బేగల్ బ్రేక్ఫాస్ట్ శాండ్విచ్ తిన్నాను, అది అంత బాలేదు."
124,"సేవ అద్భుతం, సిబ్బంది చాలా స్నేహపూరితం","సేవ అంత బాలేదు, సిబ్బంది స్నేహంగా లేరు."
125,పూల్ టేబుల్స్ మరియు చవకైన పానియాలు ఈ రాత్రిని సరదాగా చేస్తాయి.,పూల్ టేబుల్స్ మరియు ఖరీదైన పానియాలు ఈ రాత్రిని పేలవంగా చేస్తాయి.
126,గ్రుడ్లు ఎల్లప్పుడూ మెత్తగా వుంటాయి. పండు పక్కకి ఎల్లప్పుడూ బాగుంటుంది.,గ్రుడ్లు ఎల్లప్పుడూ మెత్తగా వుండవు. పండు పక్కకి సద్దిదిలా వుంటుంది
127,"ధర సరసం, సమంజసం రెండూ",ధర కొంచెం ఎక్కువే
128,"ఈ అబ్బాయిలు అగ్రశ్రేణి, నిజాయితీపరులు మరియు చాలా సహేతుకం.",ఈ అబ్బాయిలు చౌకబారుగా. నిజాయితీలేని వారుగా మరియు చాలా అసమంజసంగా వున్నారు.
129,వారు నన్ను ఇంటి దగ్గర మరియు వారి విస్తృత కుటుంబంలో వున్న అనుభూతి చెందేలా చేశారు. ,నేను అక్కడ బయటివ్యక్తిలా గా అనుభూతి చెందాను
130,"కొన్నిసార్లు ఇది ఒక సాధరణ కత్తిరింపు, ఇతరసార్లు ట్రిక్ చేసే మరింత క్లిష్టమైన రంగు","కొన్నిసార్లు ఇది ఒక సాధరణ కత్తిరింపు, ఇతరసార్లు ప్రతీది చెడగొట్టే మరింత క్లిష్టమైన రంగు"
131,ఒక అదనపు నక్షత్రం వినియోగదారుని సేవ కోసం ఇస్తున్నాను.,ఒక అదనపు నక్షత్రం వినియోగదారుని సేవ కోసం తీసివేశాను.
132,అది మధురమైన ఆనందం యొక్క ఒక పెద్ద గిన్నె,అది వ్యర్థపదర్థాల ఒక పెద్ద గిన్నె.
133,తినడానికి నాకు ఇష్టమైన చైనీస్ స్థలాల్లో ఒకటి.,తినడానికి నాకు తక్కువ ఇష్టమైన చైనీస్ స్థలాల్లో ఒకటి.
134,నది తర్వాత కూడా ఎల్లప్పుడు మంచిది.,నది తర్వాత కూడా ఎల్లప్పుడు బాగాలేదు..
135,"అహారం బాగుంది, ఒక పళ్లెం చాలా దూరం వెళ్ళింది.","అహారం భయంకరం, ఒక పళ్లెం కూడా పూర్తికాలేదు."
136,సేవ బాగుంది మరియు సంతోషంగా వెనక్కి వెళతాం,సేవ చెత్తగా ఉంది మరియు ఎప్పుడూ వెనక్కి వెళ్ళం.
137,నేను పోర్క్ టాకోలు ప్రేమిస్తాను,నేను పోర్క్ టాకోలు ఏవగించుకుంటాను.
138,ప్రతీ ఒక్కరు స్నేహంగా మరియు జ్ఞానవంతంగ వున్నారు.,ఎవరూ స్నేహంగా మరియు ఉపయోగకరంగా లేరు.
139,నేను పంపిన వారి నుండి సంతోషకరమైన ఆలో్చనలు తప్ప ఏమిలేవు.,నేను పంపిన ఎవరి నుండైనా ఏమీలేవు కాని అసంత్రుప్తి ఫీడ్బ్యాక్ .
140,డాలీ ని చాలా అస్వాదించాను.,డాలీని అస్సలు అస్వాదించలేదు.
141,"జెన్నిఫర్ మంచిది, ఆమె నిజంగా చర్మ రక్షణని సరసమైన ధరలో చేస్తుంది.","జెన్నిఫర్ మంచిది కాదు, ఆమె నిజంగా చర్మ రక్షణని ప్రియమైన ధరలో చేస్తుంది."
142,"ఇది అరుదైన రత్నం, ఇది కనుగొనడానికి నేను ఉత్సాహంగా వున్నాను.",అది సాధారణం మరియు నేను దానితో సంతోషంగా లేను.
143,ఇది చాలా చక్కని రుచికమైన పిజ్జా,ఇది చాలా చక్కని రుచిలేని పిజ్జా
144,మేము ఇక్కడ ఆర్డర్ చేసిన ప్రతీది రుచిని కలిగివుంది.,మేము ఇక్కడ ఆర్డర్ చేసిన ప్రతీది భయంకరమైన రుచిని కలిగి ఉన్నాయి.
145,ఇది లోయలో చాల ప్రామాణికమైన థాయ్.,ఇది లోయలో చాల తక్కువ ప్రామాణికమైన థాయ్.
