ID,POSITIVE,NEGATIVE
21,مختلف قسم کے سشی رولز اچھے کھانے کا باعث بنتے ہیں۔,سشی رولز کے لیے محدود اقسام ہیں۔
22,اور ہر تجربہ مثبت رہا ہے۔,اور ہر تجربہ خوفناک رہا ہے۔
23,سٹیو پیشہ ور تھا اور اسے ہماری جگہ میں فٹ ہونے کے لیے بالکل صحیح یونٹ ملا۔,سٹیو غیر پیشہ ور تھا اور اسے ہماری جگہ میں فٹ ہونے کے لیے صحیح یونٹ نہیں مل سکا۔
24,یہ گولف کلب میری رائے میں بہترین میں سے ایک ہے۔,یہ گولف کلب میری رائے میں بدترین میں سے ایک ہے۔
25,بہترین علم دانتوں کا ڈاکٹر اور عملہ!,نااہل دانتوں کا ڈاکٹر اور عملہ۔
26,حصے بہت فراخ ہیں اور کھانا شاندار ذائقہ دار ہے۔,حصے بہت چھوٹے ہیں اور کھانا بے ذائقہ ہے۔
27,ہمیشہ تازہ، چربی، اور مزیدار.,ہمیشہ باسی، بیمار اور بے ذائقہ۔
28,یہ دونوں خواتین پیشہ ور ہیں۔,یہ دونوں خواتین پیشہ ور نہیں ہیں۔
29,سب سے اہم چیز، بالکل، کھانا ہے.,سب سے اہم چیز کھانا ہونا چاہئے.
30,ہم دونوں بہت متاثر ہوئے.,ہم دونوں متاثر نہیں ہوئے تھے۔
31,بہت اچھا برنچ، انتخاب اور معیار سے متاثر ہوا۔,بہت برا برنچ، انتخاب اور معیار سے متاثر نہیں تھا۔
32,مینو بہت سادہ، صحت مند اور مزیدار ہے۔,مینو بہت محدود، غیر صحت بخش اور بے ذائقہ ہے۔
33,وہ اسپاٹ تھی کیونکہ وہ مزیدار تھے۔,وہ درست نہیں تھی اور اس کا ذائقہ برا تھا۔
34,میں اس جگہ سے محبت کرتا ہوں، سروس ہمیشہ بہت اچھا ہے!,مجھے اس جگہ سے نفرت ہے، سروس ہمیشہ خراب ہوتی ہے۔
35,تحفہ کے لئے خریداری کے لئے بہترین جگہ!,اگرچہ ایک تحفہ کے لئے برا دکان
36,اگر آپ چوری پر اچھی چیزیں چاہتے ہیں تو ایک زبردست اسٹاپ۔,اگر آپ اسکیمی قیمتوں پر بری چیزیں چاہتے ہیں تو ایک زبردست اسٹاپ۔
37,ماحول خوشگوار تھا اور عملہ آپ کے ساتھ اچھا سلوک کرتا ہے۔,ماحول لنگڑا تھا اور عملہ آپ کے ساتھ گندگی جیسا سلوک کرتا ہے۔
38,ان کی فرنٹ لائن پالتو جانوروں کے مقابلے میں بہت سستی ہے!,ان کی فرنٹ لائن پیٹسمارٹ سے کہیں زیادہ مہنگی ہے!
39,یہ وہ جگہ ہے جہاں اب بھی گاہک پہلے آتا ہے اور اس کے ساتھ صحیح سلوک کیا جاتا ہے۔,یہ وہ جگہ ہے جہاں گاہک سب سے آخر میں آتا ہے اور اس کے ساتھ بدسلوکی کی جاتی ہے۔
40,مجھے اسکاٹس ڈیل روڈ سے بالکل دور ان کا آسان مقام بھی پسند ہے۔,مجھے یہ بھی نفرت ہے کہ اسکاٹس ڈیل روڈ سے ان کے مقام تک جانے میں کس طرح تکلیف ہوتی ہے۔
41,ان کا پیزا میرے پاس اب تک کا بہترین ہے اور ساتھ ہی ان کی کھیت بھی!,ان کا پیزا اب تک کا سب سے برا ہے اور ساتھ ہی ان کی کھیت بھی!
42,میں بہت خوش ہوں اور مستقبل کی خدمات کے لیے ضرور واپس جاؤں گا۔,میں بہت اداس ہوں اور یقینی طور پر مستقبل کی خدمات کے لیے واپس نہیں جاؤں گا۔
43,ہر دوسرے تھائی جگہ کے مقابلے میں کافی اونچا لگتا ہے۔,ہر دوسرے تھائی جگہ کے مقابلے میں بہت کم لگتا ہے۔
44,اس نے سب سے حیرت انگیز کام کیا.,اس نے سب سے خوفناک کام کیا.
45,واقعی خوبصورت رینج کا لطف اٹھایا.,واقعی بدصورت رینج سے لطف اندوز نہیں ہوا۔
46,ان کے پاس ایک شاندار انتخاب اور بہت علم والا عملہ ہے۔,انتخاب اتنا اچھا نہیں تھا اور انہیں اندازہ نہیں تھا کہ وہ کیا کر رہے ہیں۔
47,یقینی طور پر ذہن میں رکھنے کی جگہ۔,یقینی طور پر ایک جگہ جس کی میں سفارش نہیں کروں گا۔
48,گھومنے پھرنے کے لیے بہترین جگہ، کھانا اور کچھ شراب پیو!,گھومنے پھرنے، کھانے یا کچھ شراب پینے کے لیے بری جگہ
49,دوپہر کے کھانے اور رات کے کھانے کی اشیاء بھی بہت اچھی ہیں۔,دوپہر کے کھانے اور رات کے کھانے کی اشیاء بھی بہت خراب ہیں۔
50,چارلی صاف ستھرا اور پیشہ ور تھا۔,چارلی گندا اور غیر پیشہ ور تھا۔
51,کیل زونز بہت اچھے ہیں اور دوپہر کے کھانے کے لیے جو خاص ان کے پاس ہے وہ بہترین ہے۔,کالزونز خوفناک ہیں اور ان کے پاس دوپہر کے کھانے کی خاصیت قابل رحم ہے۔
52,میں یقینی طور پر اکثر واپس آؤں گا!,میں یقینی طور پر کبھی واپس نہیں آؤں گا!
53,ان کے پاس ہر روز مزیدار سوپ ہوتے ہیں۔,وہ روزانہ مجموعی سوپ کھاتے ہیں۔
54,اچھے لوگ، فوری خدمت اور واضح طور پر ماہر۔,منفی لوگ، سست سروس اور واضح طور پر نوسکھئیے۔
55,پیداوار بہت مناسب قیمت ہے اور نامیاتی پیداوار کا بہترین انتخاب ہے۔,پیداوار بہت غیر معقول قیمت ہے اور نامیاتی پیداوار کا غلط انتخاب ہے۔
56,یہاں کا کھانا مزیدار ہے۔,یہاں کا کھانا ناقص ہے۔
57,پہلی بار جب میں اندر آیا تھا، مجھے معلوم تھا کہ میں صرف کچھ نیا چاہتا ہوں۔,میں پہلی بار آیا تھا مجھے معلوم تھا کہ میں صرف جانا چاہتا ہوں۔
58,اگر پرفارمنگ آرٹس سینٹر ایونٹ میں جا رہے ہیں تو یقیناً ایک اچھا انتخاب ہے۔,پرفارمنگ آرٹس سینٹر ایونٹ میں جاتے وقت یقینی طور پر ایک برا انتخاب۔
59,یہ جگہ برسوں سے زبردست سشی اور سشمی بنا رہی ہے۔,یہ جگہ برسوں سے خوفناک سشی بنا رہی ہے۔
60,یہاں تک کہ موسم گرما میں، انہیں مہذب سرپرستی حاصل ہے.,گرمیوں میں بھی ان کی سرپرستی نہیں ہوتی۔
61,آپ کو ان کے تمام دوستانہ مشورے اور سفری معلومات سے مدد ملے گی!,آپ کو ان کے کسی بھی بدمعاش مشیر، یا سفر کے بارے میں معلومات کی کمی سے مدد نہیں ملے گی!
62,میں نے اپنی بہترین کلیوں کے ساتھ وقت گزارا اور کچھ بہترین شراب اور کھانے کا لطف اٹھایا۔,میں اپنی بہترین کلیوں کے ساتھ وقت گزارنا چاہتا تھا لیکن مجھے خوفناک شراب اور کھانے کے ساتھ تشدد کا نشانہ بنایا گیا۔
63,ہم آٹھ کے ایک گروپ کے ساتھ گئے اور سب نے اچھا وقت گزارا۔,ہم آٹھ کے ایک گروپ کے ساتھ گئے اور ایک خوفناک وقت کا سامنا کرنا پڑا۔
64,سروس ہمیشہ شاندار رہی ہے۔,سروس ہمیشہ مایوس کن رہی ہے۔
65,ہماری خصوصی رات کو یاد رکھنے کے لیے ایک تقریب بنانے کا شکریہ۔,ہماری خاص رات کو اتنا خوفناک بنانے کا شکریہ۔
66,میرے پاس ایک ہسپانوی آملیٹ تھا جو بہت بڑا اور مزیدار تھا۔,میرے پاس ایک ہسپانوی آملیٹ تھا جو چھوٹا اور ہلکا تھا۔
67,ان کے پاس مساج کی بڑی کرسیاں ہیں اور ہر مینیکیور اسٹیشن کافی صاف ہے۔,ان کے پاس غیر آرام دہ مساج کرسیاں ہیں اور ہر مینیکیور اسٹیشن غیر صحت بخش ہے۔
68,انتظار کرنے والا عملہ انتہائی پرکشش اور دوستانہ ہے!,انتظار کرنے والا عملہ نہ تو دوستانہ ہے اور نہ ہی پرکشش۔
69,اس کے علاوہ، کھانا بہت اچھا ہے!,اس کے علاوہ، کھانا ٹھیک ہے!
70,وہ رنگ جو وہ میری گرل فرینڈ کے بالوں پر استعمال کرتی ہے بہت اچھا لگتا ہے۔,وہ رنگ جو وہ میری گرل فرینڈ کے بالوں پر استعمال کرتی ہے وہ خوفناک لگتا ہے۔
71,یہ مستقل ہے اور عملہ ہمیشہ دوستانہ ہے۔,یہ بے ترتیب ہے اور عملہ ہمیشہ بدتمیز ہے۔
72,دوستانہ اور خوشگوار ماحول اور لاجواب کھانے کے ساتھ خوش آمدید۔,خراب ماحول اور کھانے کے ساتھ غیر دوستانہ اور ناپسندیدہ۔
73,میرے پاس جو چکن چمی تھی وہ بالکل لاجواب تھی!,میرے پاس جو چکن چمی تھی وہ بالکل ناقص تھی!
74,بار میں بیٹھنا بھی مزہ آتا ہے۔,بار میں بیٹھنا بھی بورنگ ہے۔
75,سوپ بالکل مرنے کے لیے ہے۔,سوپ آپ کو مرنے کی خواہش دلائے گا۔
76,فینکس کے علاقے میں بہترین میکسیکن کھانا۔,فینکس کے علاقے میں میکسیکن کا بدترین کھانا۔
77,وہ پیشہ ور، مکمل اور ہماری ضروریات پر توجہ دینے والے ہیں۔,وہ غیر پیشہ ور، جلد بازی اور ہماری ضروریات سے غافل ہیں۔
78,ان کے دوپہر کے کھانے کے خصوصی ایک عظیم قیمت ہے!,ان کے دوپہر کے کھانے کی خصوصی قیمت کم ہے۔
79,اس کاروبار کے ساتھ ہمارا تجربہ مثبت تھا۔,اس کاروبار کے ساتھ ہمارا تجربہ منفی تھا۔
80,عملہ بہت اچھا ہے اور مقام پرانے شہر کے دل میں ہے!,عملہ سب برابر ہے اور مقام پرانے شہر سے بہت دور ہے۔
81,اس جگہ سے بہترین تجربہ حاصل کرنے کے لیے آپ کو باہر بیٹھنا ہوگا۔,یہ خوفناک ہے کہ آپ کو اس جگہ سے مہذب تجربہ حاصل کرنے کے لیے باہر بیٹھنا پڑے گا۔
82,کھانا مزیدار اور بہت زیادہ ہے.,کھانا سخت اور خشک تھا.
83,اور پھیتتچنی الفریڈو بالکل شاندار ہے!,اور پھیتتچنی الفریڈو ایک مایوسی ہے۔
84,ہم نے اپنا کرائے کا ٹرک دو ہفتے پہلے اس مقام پر چھوڑا تھا۔,ہم نے دو ہفتے پہلے کرائے کے ٹرک کو یہاں چھوڑنے سے گریز کیا۔
85,یہ آخری چھوٹی سی ٹچ کو جوڑتا ہے جو پہلے سے ہی ایک حیرت انگیز جگہ تھی۔,اس سے حتمی تنکے کا اضافہ ہوتا ہے جو پہلے سے ہی مایوس کن جگہ تھی۔
86,قیمتیں تھوڑی زیادہ ہیں لیکن اس کے قابل ہیں۔,قیمتیں بہت زیادہ ہیں اور اس کے قابل نہیں ہیں۔
87,میسج تھراپسٹ بھی لاجواب ہے۔,میسج تھراپسٹ بھی خوفناک ہے۔
88,اپنے خاندان کے ساتھ یہاں آیا ہوں۔,اپنے خاندان کے بغیر یہاں آیا تھا۔
89,مالک نے جواب دیا، میں آپ کے ساتھ آدھا جاؤں گا۔,مالک نے جواب دیا کہ میں تمہارے ساتھ آدھا نہیں جاؤں گا۔
90,یسکرگوٹ مزیدار تھا، اور بالکل پکا ہوا.,یسکرگوٹ مجموعی تھا، اور بہت تجربہ کار.
91,برٹنی نے مجھے ایک بہت ہی نیا بال کٹوایا اور مجھے مکمل طور پر بدل دیا۔,برٹنی نے مجھے ایک بہت پرانا بال کٹوایا اور مجھے مکمل طور پر برباد کر دیا۔
92,یہ ریزورٹ ہمیشہ کے لیے سکاٹسڈیل میں رہا ہے اور یہ واقعی خدمت کو جانتا ہے۔,یہ ریزورٹ ہمیشہ کے لیے سکاٹسڈیل میں رہا ہے اور یہ واقعی سروس کو نہیں جانتا ہے۔
93,مسالیدار بیر کی چٹنی کے ساتھ ساتھ کیکڑے وانٹنز بھی راج کرتے ہیں۔,بیر کی چٹنی کے ساتھ کیکڑے وانٹون بھی خوفناک ہیں۔
94,میں نے بہت سارے کپڑے چوری کی قیمت پر حاصل کیے ہیں!,میں نے بہت کم کپڑے بہت زیادہ قیمت پر حاصل کیے ہیں!
95,چاروں طرف ایک یا دو ڈرنک لینے کے لیے بہترین جگہ۔,چاروں طرف ایک یا دو مشروبات لینے کے لئے بری جگہ۔
96,بغیر آٹے کے چاکلیٹ کیک میرے پاس اب تک کی بہترین میٹھیوں میں سے ایک تھی۔,بغیر آٹے کا چاکلیٹ کیک میرے پاس اب تک کی بدترین میٹھیوں میں سے ایک تھا۔
97,خوبصورت مناظر اور دوستانہ عملہ۔,غیر متاثر کن مناظر اور ناقص عملہ۔
98,زیادہ عام 3x کے بجائے 2x خوردہ پر اچھی شراب کی فہرست۔,سستی شراب کی فہرست 3x خوردہ پر زیادہ عام 2x کے بجائے۔
99,ہمیں دریا پر اپنا دن پسند تھا اور واپس جانے کا انتظار نہیں کر سکتے!,دریا پر ہمارا دن خوفناک تھا واپس نہیں آنا چاہتا۔
100,اگر آپ جوان ہیں اور کھیلوں میں ہیں تو یہ آپ کے لیے جگہ ہے۔,آپ کی عمر سے کوئی فرق نہیں پڑتا، آپ اسے پسند نہیں کریں گے۔
101,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔
102,مجھے ان کے تازہ جوس بھی پسند ہیں۔,مجھے ان کے تازہ جوس بھی پسند نہیں ہیں۔
103,اگر آپ کے پاس فینکس کے علاقے میں وقت ہے تو یقینی طور پر کرنا ضروری ہے۔,اگر آپ فینکس کے علاقے میں ہیں تو یقینی طور پر گریز کریں۔
104,او جے اور جیریمی نے بہت اچھا کام کیا!,او جے اور جیریمی نے ایک خوفناک کام کیا!
105,ٹائر، سیدھ، بریک اور مزید.,کوئی ٹائر نہیں، کوئی سیدھ نہیں، کوئی بریک نہیں، کچھ نہیں۔
106,یہ بہت اچھا تھا!,یہ بھی بہت برا تھا
107,عملہ: بہت پیارا اور دوستانہ۔,عملہ: بہت بدصورت اور گھٹیا۔
108,فونیشین میں دوپہر کی چائے پسند ہے۔,فونیشین میں ایٹرنون چائے سے نفرت ہے۔
109,ان کی اینچیلاڈا چٹنی نے اس ڈش کو مکمل طور پر مکمل کیا۔,ان کی اینچیلاڈا چٹنی نے اس ڈش کو برباد کر دیا۔
110,خوبصورت سجاوٹ اور عظیم سروس.,خوفناک سجاوٹ اور قابل رحم خدمت۔
111,خدمت اور کام کے معیار سے بہت خوش ہیں۔,خدمت اور کام کے معیار سے ناخوش۔
112,زبردست سٹیک کے لیے جانے کے لیے میری پسندیدہ جگہوں میں سے ایک۔,سٹیک کے لیے جانے کے لیے میری سب سے کم پسندیدہ جگہوں میں سے ایک۔
113,یہ جگہ سپر سوادج ہے!,یہ جگہ انتہائی خوبصورت ہے!
114,وہ معمولی سجاوٹ کے ساتھ کشادہ ہیں۔,وہ شاندار سجاوٹ کے ساتھ تنگ ہیں.
115,یہ میرا محلے کی جگہ پر جانا ہے۔,یہ وہ آخری جگہ ہے جہاں میں پڑوس میں جاؤں گا۔
116,سونورا کے لوگ میرے لیے بہت اچھے تھے۔,سونورا کے لوگ میرے لیے اتنے اچھے نہیں تھے۔
117,آنگن شام 7 بجے بیٹھنے کے لیے ایک تفریحی جگہ ہے۔,آنگن شام 7 بجے بیٹھنے کے لیے تفریحی جگہ نہیں ہے۔
118,یہ اس کے قابل تھا.,یہ اس کے قابل نہیں تھا.
119,اوہ سشی کی، میں تم سے کتنا پیار کرتا ہوں!,اوہ سشی کی، میں تم سے کتنی نفرت کرتا ہوں!
120,اس نے ہمارے مشروبات بھرے رکھے اور ہمیں کھانے کی زبردست سفارشات دیں۔,اس نے ہمارے مشروبات کو مکمل نہیں رکھا اور ہمیں ناقص کھانے کی سفارشات دیں۔
121,مجھے برگر پسند تھے، میرے پاس جالپیو رینچ برگر تھا یہ واقعی مزیدار تھا۔,مجھے برگر پسند نہیں تھے، میرے پاس جالپینو رینچ برگر تھا یہ واقعی بہت کم تھا۔
122,زبردست کباب ڈشز اور اچھی سروس۔,بے ذائقہ کباب پکوان اور قابل رحم خدمت۔
123,مجھے ایک بیگل ناشتا سینڈویچ ملا اور یہ مزیدار تھا!,مجھے بیگل ناشتے کا سینڈوچ ملا، یہ اتنا اچھا نہیں تھا۔
124,سروس حیرت انگیز تھی اور عملہ بہت دوستانہ تھا۔,سروس اتنی اچھی نہیں تھی، اور عملہ بالکل بھی دوستانہ نہیں تھا۔
125,پول ٹیبلز اور سستے مشروبات اس رات کو تفریحی بنا دیتے ہیں!,ٹوٹے ہوئے پول ٹیبلز اور مہنگے مشروبات نے اس رات کو بورنگ بنا دیا!
126,انڈے ہمیشہ تیز ہوتے ہیں، پھل کا پہلو ہمیشہ اچھا ہوتا ہے۔,انڈے کبھی پھیپھڑے نہیں ہوتے، پھل کا پہلو ہمیشہ باسی ہوتا ہے۔
127,قیمتوں کا تعین سستی اور مناسب دونوں ہے.,قیمت تھوڑی زیادہ ہے
128,یہ لوگ اعلیٰ درجے کے، ایماندار اور بہت معقول ہیں۔,یہ لوگ صرف سستے، بے ایمان اور غیر معقول ہیں۔
129,انہوں نے مجھے ایسا محسوس کرایا جیسے میں گھر پر ہوں اور ان کا ایک وسیع خاندان!,میں نے وہاں ایک اجنبی کی طرح محسوس کیا۔
130,کبھی کبھی یہ ایک سادہ کٹ ہے، دوسری بار زیادہ پیچیدہ رنگ ہے جو چال کرتا ہے.,کبھی کبھی یہ ایک سادہ کٹ ہوتا ہے، دوسری بار زیادہ پیچیدہ رنگ ہوتا ہے جو سب کچھ برباد کر دیتا ہے۔
131,کسٹمر سروس کے لیے ایک اضافی اسٹار دینا۔,خراب کسٹمر سروس کے لیے ایک اضافی اسٹار کاٹنا۔
132,یہ میٹھی خوشی کا ایک بڑا کٹورا ہے .,یہ کچرے کا ایک بڑا پیالہ ہے۔
133,کھانے کے لیے میری پسندیدہ چینی جگہوں میں سے ایک!,کھانے کے لیے میری سب سے کم پسندیدہ چینی جگہوں میں سے ایک!
134,دریا کے بعد بھی ہمیشہ اچھا۔,دریا کے بعد بھی ہمیشہ برا۔
135,کھانا اچھا، ایک پلیٹ بہت آگے نکل گئی۔,کھانا خوفناک، ایک پلیٹ ایک کے لیے بھی نہیں چل سکی۔
136,سروس بہت اچھی تھی اور خوشی سے واپس چلی جائے گی۔,سروس خوفناک تھی اور کبھی واپس نہیں جائے گی۔
137,مجھے سور کا گوشت ٹیکو پسند ہے۔,مجھے سور کا گوشت ٹیکو سے نفرت ہے۔
138,ہر کوئی دوستانہ اور علم والا ہے.,کوئی بھی دوست یا مددگار نہیں تھا۔
139,کچھ نہیں سوائے خوش کن خیالات کے جو میں نے ان کے راستے بھیجے ہیں!,میں نے ان کے راستے بھیجے کسی کی طرف سے ناراض تاثرات کے سوا کچھ نہیں!
140,ڈولی کا بہت مزہ آیا۔,ڈولی سے بالکل مزہ نہیں آیا
141,جینیفر بہت اچھی ہے اور وہ واقعی جلد کی دیکھ بھال کو سستی بناتی ہے۔,جینیفر بیکار ہے اور جلد کی دیکھ بھال کو بہت مہنگا بناتی ہے۔
142,یہ ایک نایاب جواہر ہے اور میں اسے پا کر بہت پرجوش ہوں۔,یہ مل کا چل رہا ہے اور میں اس سے خوش نہیں ہوں۔
143,یہ بہت اچھا پیزا ہے!,یہ ایک بہت ہی برا پیزا ہے!
144,ہم نے یہاں جو کچھ بھی آرڈر کیا ہے وہ بہت اچھا چکھ رہا ہے۔,ہر وہ چیز جو ہم نے اسے آرڈر کی ہے وہ خوفناک چکھنے والی رہی ہے۔
145,یہ وادی میں سب سے مستند تھائی ہے.,یہ وادی میں سب سے کم مستند تھائی ہے۔
146,عظیم عملہ اور شاندار کھانا.,خراب عملہ اور بے ذائقہ کھانا
147,تل کی چٹنی پسند ہے، چپس اچھی اور موٹی ہوتی ہیں۔,تل کی چٹنی پسند نہیں آئی، چپس خراب اور فلیکی ہیں۔
148,یہاں جاؤ، تم اسے پسند کرو گے.,یہاں مت جاؤ، تمہیں یہ پسند نہیں آئے گا۔
149,مجھے مرغی سے زیادہ پسلیاں پسند تھیں۔,مجھے مرغی سے زیادہ پسلیاں پسند نہیں تھیں۔
150,عملہ اور سواری لاجواب تھی۔,عملہ اور سواریاں خوفناک تھیں۔
151,اس کے علاوہ، پچھلی بار جب ہم اپنے کتوں کو شاٹس کے لیے لائے تھے تو ہمیں خوشگوار حیرت ہوئی۔,اس کے علاوہ، جب ہم اپنے کتوں کو گولی مارنے کے لیے لائے تو ہم اپنی عقل سے حیران رہ گئے۔
152,میں شرابی ڈریگن نوڈلز کی سفارش کرتا ہوں (آپ کے مسالیدار محبت کرنے والوں کے لیے!),اگر آپ کو مسالا پسند ہے تو میں شرابی ڈریگن نوڈلز کی سفارش نہیں کروں گا۔
153,مقامی زنجیر کے لیے یہ جگہ بہت اچھی ہے!,ایک مقامی سلسلہ کے لئے یہ جگہ بیکار ہے!
154,یہ جگہ مجھے گھر کی یاد دلاتی ہے!,یہ جگہ مجھے یاد دلاتی ہے کہ میں گھر کیوں جانا چاہتا ہوں۔
155,سکاٹسڈیل میں میرے باقاعدہ مقامات میں سے ایک۔,سکاٹسڈیل میں میرے باقاعدہ مقامات میں سے ایک نہیں ہے۔
156,میں یقینی طور پر یہاں دوبارہ جاؤں گا!,میں یہاں پھر کبھی نہیں جاؤں گا!
157,دوپہر کے کھانے کے لیے رکا، اچھی شراب کی فہرست، اچھی سروس۔,میں دوپہر کے کھانے کے لیے رک گیا، شراب کی فہرست اچھی نہیں تھی اور نہ ہی سروس تھی۔
158,مجھے پسند ہے کہ یہ کامک - فیملی سرکس میں جگہ ہے۔,مجھے نفرت ہے کہ یہ کامک - فیملی سرکس میں جگہ ہے۔
159,یہ ایک بین الاقوامی خوشی ہے.,یہ کوئی بین الاقوامی خوشی نہیں ہے۔
160,یہ صرف اتنا پیارا اور عجیب تھا!,یہ اتنا پیارا یا عجیب نہیں تھا۔
161,مجھے باہر بیٹھنا پسند ہے اور ریورس ہیپی آور ناقابل یقین حد تک سستی ہے۔,میں باہر بیٹھنے کو ناپسند کرتا ہوں اور ریورس ہیپی آور ناقابل یقین حد تک مہنگا ہے۔
162,چینی کے پیالے کا ماحول مزے کا ہے۔,چینی کے پیالے میں ماحول منفی ہے۔
163,اس کے کہنے کے ساتھ، میں نے کھانے کا لطف اٹھایا۔,یہ کہا جا رہا ہے، میں نے کھانے سے لطف اندوز نہیں کیا.
164,عظیم کھانا، عظیم سجاوٹ!,خوفناک کھانا، خوفناک سجاوٹ!
165,کھانا ہمیشہ تازہ ہے.,کھانا ہمیشہ باسی ہوتا ہے۔
166,آپ اندر آ سکتے ہیں، کوئی بھی رقم خرچ کر سکتے ہیں اور حیرت انگیز چیز سے لطف اندوز ہو سکتے ہیں۔,یہاں مت جاؤ، تم اتنا خرچ کرو گے اور برا تجربہ ہو گا۔
167,میں نے جو بھی کھانا کھایا وہ بہترین تھا۔,میرے پاس جو بھی کھانا تھا وہ سب خوفناک تھا۔
168,اب تک، عظیم کسٹمر سروس.,اب تک کسٹمر سروس صرف بدتمیز تھی۔
169,رک ایک سنجیدہ آدمی ہے!,ریک ایک گھٹیا آدمی ہے۔
170,ہم نے کل یہاں خوشی کے وقت کھایا اور یہ بہت اچھا تھا۔,ہم نے کل یہاں خوشی کا وقت کھایا اور یہ خوفناک تھا۔
171,یہ ایک کاروبار میں ایک نایاب تلاش ہے.,یہ ایک کاروبار میں اتنا خاص نہیں ہے.
172,یہ اچھا ٹھوس کھانا ہے۔,یہ بہت اہم کھانا نہیں ہے.
173,اچھا کلب اچھی ترتیب کورس اوسط سے اوپر کی شکل میں تھا۔,اتنا اچھا کلب نہیں اتنا اچھا ترتیب نہیں کورس اوسط سے خراب شکل میں تھا۔
174,ہم ضرور واپس آ جائیں گے!,ہم شاید واپس نہیں آئیں گے۔
175,میٹ لوف (جب ان کے پاس ہے) حیرت انگیز ہے۔,گوشت کی لوف (اگر ان کے پاس بھی ہے) کچھ خاص نہیں ہے۔
176,یہاں کا کھانا بھی بہت اچھا ہے!,یہاں کا کھانا بھی خوفناک ہے!
177,آپ کا شکریہ امینڈا، میں واپس آؤں گا!,نہیں شکریہ امانڈا، میں واپس نہیں آؤں گا!
178,مجھے ان کی ذائقہ دار کافی پسند ہے۔,مجھے ان کی ذائقہ دار کافی سے نفرت ہے۔
179,عملے نے ہمیں بہت خوش آئند اور آرام دہ محسوس کیا۔,عملے نے ہمیں بہت ناپسندیدہ اور غیر آرام دہ محسوس کیا۔
