ID,NEGATIVE,POSITIVE
30,"ଯାହାହେଉ, ଆମେ ଆମର କଫି ପାଇଗଲୁ ଏବଂ ଆଉ କେବେ ଏହି ସ୍ଥାନକୁ ଆସିଵୁ ନାହିଁ।","ଯାହାହେଉ, ଆମେ ଆମର କଫି ପାଇଗଲୁ ଏବଂ ଆଉ କେବେ ଏହି ସ୍ଥାନକୁ ନିଶ୍ଚୟ ଆସିଵୁ।"
31,ଏଠାରେ ବିକ୍ରେତାମାନେ ଭୟଙ୍କର।,ବିକ୍ରେତାମାନେ ବହୁତ ଭଲ।
32,ସାଲସା ଗରମ କିମ୍ବା ଭଲ ନୁହେଁ।,ସାଲସା ଗରମ ଏବଂ ଭଲ ଅଟେ।
33,ତେଣୁ ମୁଁ କାର୍ଡ ଫେରସ୍ତ କରିବାକୁ କହିଲି।,"ତେଣୁ, ମୁଁ କାର୍ଡ ପାଇଁ ଦେୟ ଦେଇ ଖୁସି ହେଲି।"
34,ମୁଁ ସେମାନଙ୍କଠାରୁ କେବଳ ଏକ ବିତରଣ ଆଦେଶ ଗ୍ରହଣ କଲି ଏବଂ ମୋ ଟଙ୍କା ଅପଚୟ କରିଦେଲି।,ମୁଁ ସେମାନଙ୍କଠାରୁ ଏକ ବିତରଣ ଅର୍ଡର ପାଇଲି ଏବଂ ଏହା ସ୍ପଷ୍ଟ ଭାବରେ ଅର୍ଥର ଅପଚୟ ନୁହେଁ ।
35,ମୁଁ ତାଙ୍କୁ ମୋ ପାଇଁ ଆଉ କିଛି କରିବାକୁ ଦେବି ନାହିଁ ।,ଭବିଷ୍ୟତରେ ମୁଁ ତାଙ୍କୁ ମୋ ପାଇଁ ଆହୁରି କିଛି କରିବାକୁ ଦେବି।
36,ସେ ଯାହା କଲା ତାହା ମୋତେ ଦୌଡାଇଲା ଏବଂ ସବୁକିଛି ମିଛ କହିଲା।,ସେ ବହୁତ ଆଗରେ ଥିଲେ ଏବଂ ମୋତେ ସବୁକିଛି ଜଣାନ୍ତୁ।
37,ବିନ୍ସ ବୁରୋରେ ଥିଲା ଚାଉଳରେ କେଉଁଠାରେ ମିଳିଲା ନାହିଁ।,ବିନ୍ସ ବୁରୋରେ ଥିଲା ଏବଂ ଚାଉଳ ପ୍ରଚୁର ଥିଲା।
38,ସେମାନେ ମୋର ଲାଭ ଉଠାଇବାକୁ ଚେଷ୍ଟା କଲେ କାରଣ ମୁଁ ଯୁବକ ଅଟେ।,ମୁଁ ବହୁତ ଛୋଟ ଥିବାରୁ ସେମାନେ ବହୁତ ସୁନ୍ଦର ଥିଲେ ଏବଂ ମୋତେ ସମ୍ମାନ କରୁଥିଲେ ।
39,ଆମେ ସେଠାକୁ ପର୍ଯ୍ୟାପ୍ତ ଅତିଥି ପଠାଇଛୁ ଯେଉଁମାନେ ଏହି ରେଷ୍ଟୁରାଣ୍ଟ ସହିତ ସମ୍ପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳ ଫେରି ଆସିଛନ୍ତି।,ଆମେ ସେଠାକୁ ବହୁତ ଲୋକଙ୍କୁ ପଠାଇଛୁ ଏବଂ ସେମାନେ ସମସ୍ତେ ରେଷ୍ଟୁରାଣ୍ଟକୁ ପ୍ରଶଂସା କରିଛନ୍ତି।
40,ସେମାନେ ସ୍ୱରରେ ସର୍ବଦା ଅଭଦ୍ର ଏବଂ ସର୍ବଦା ଚିଟଫଣ୍ଡ ଗ୍ରାହକ ସେବା କରନ୍ତୁ!,"ଏହିପରି ସୁନ୍ଦର ଗ୍ରାହକ ସେବା, ସେମାନେ ଯେକୌଣସି ଚିନ୍ତାଧାରା ଶୁଣନ୍ତି ଏବଂ ସେମାନଙ୍କୁ ଏଥିରେ ସାହାଯ୍ୟ କରନ୍ତି।"
41,ସେମାନେ ପ୍ରକୃତରେ ସେମାନଙ୍କର ଗ୍ରାହକ ସେବା ଏବଂ ସାଧାରଣ ମନୋଭାବ ଉପରେ କାର୍ଯ୍ୟ କରିବା ଆବଶ୍ୟକ କରନ୍ତି ।,ସେମାନଙ୍କର ଉତ୍ତମ ଗ୍ରାହକ ସେବା ଏବଂ ସାଧାରଣ ମନୋଭାବ ଅଛି ।
42,ମୁଁ ଖାଇବା ଛାଡିଦେଲି ଏବଂ ଆମେ ବିଅର ଆଡେ ଫେରିଗଲୁ।,ମୁଁ ଖାଇବା ଜାରି ରଖିଲି ଏବଂ ପରେ ଆମେ ବିୟରକୁ ଫେରିଗଲୁ।
43,"ମୋର ""ଗରମ"" ସବ୍ ଥଣ୍ଡା ଏବଂ ମାଂସ ପାଣିଆ ଥିଲା ।","ମୋର ସବ୍‌ ""ଗରମ"" ଥିଲା ଏବଂ ମାଂସ ନରମ ଥିଲା।"
44,ଯେତେବେଳେ ମୁଁ ପ୍ରଥମେ ପିଏଚ୍‌ଏକ୍ସକୁ ଆସିଲି ... ହଁ ଏହା ମୋତେ ଅପ୍ରୀତିକର ଲାଗିଲା।,ଯେତେବେଳେ ମୁଁ ପ୍ରଥମେ ପିଏଚ୍‌ଏକ୍ସକୁ ଆସିଲି ... ହଁ ଏହା ମୋତେ ସୁଖଦ ଲାଗିଲା।
45,ଆପଣ ସ୍କଟ୍ସଡେଲରେ ଏକ ଖରାପ ଚୟନ ପାଇବେ ନାହିଁ ।,ଆପଣ ସ୍କଟ୍ସଡେଲରେ ଏକ ଉତ୍ତମ ଚୟନ ପାଇବେ ନାହିଁ ।
46,ମୁଁ ଥାଇ ଗରମ ମାଗିଲି ଏବଂ ବହୁତ କମ୍ ମସଲା ପାଇଲି ।,ମୁଁ ଥାଇ ଗରମ ମାଗିଲି ଏବଂ ପ୍ରଚୁର ମସଲା ପାଇଲି।
47,ରାତିରେ ମୁଁ ବହୁତ ଅସୁସ୍ଥ ଥିଲି।,ରାତି ପରେ ମୁଁ ଭଲ ଅନୁଭବ କଲି।
48,"ମୁଁ ଭୋକିଲା ଏବଂ ଅସନ୍ତୁଷ୍ଟ ଫେରିଲି, ଆଉ କେବେ ଆସିବି ନାହିଁ।","ମୁଁ ପୂର୍ଣ୍ଣ ଏବଂ ସନ୍ତୁଷ୍ଟ ହୋଇଗଲି, ପୁନର୍ବାର ପରିଦର୍ଶନ କରିବି।"
49,ମୁଁ ଏହି କାର୍ ଧୋଇବାକୁ ଛାଡିଦେଲି ଏବଂ ବହୁତ ଅସନ୍ତୁଷ୍ଟ ଥିଲି।,ମୁଁ କେବଳ ଏହି କାର୍ ଧୋଇବାକୁ ଛାଡି ବହୁତ ସନ୍ତୁଷ୍ଟ ହେଲି!
50,"ଜଣେ ମଧ୍ୟମ ଭୋଜନ କରି କହିଲା, ""ଆମେ ପୁଣି ଚେଷ୍ଟା କରିବୁ"" ।","ଜଣେ ଭଲ ଭୋଜନ କରି କହିଲା, ""ଆମେ ପୁଣି ଚେଷ୍ଟା କରିବୁ"" ।"
51,"ଖାଦ୍ୟ ଠିକ ଅଛି, ସେବାଟି ମୁଁ ସାମ୍ନା କରିଥିବା ସବୁଠାରୁ ଖରାପ ମଧ୍ୟରେ ଅଛି।","ଖାଦ୍ୟ ଭଲ, ଏବଂ ସେବା ହେଉଛି ସର୍ବୋତ୍ତମ ଯାହା ମୁଁ କେବେ ସାମ୍ନା କରିଥିଲି।"
52,ବିବାହ ପୋଷାକ ଖୋଜିବାରେ ଏହା ମୋର ପ୍ରଥମ ଷ୍ଟପ୍ ନୁହେଁ।,"ମୁଁ ବିବାହ ପୋଷାକ ଖୋଜୁଛି, ଏବଂ ଏହା ମୋର ପ୍ରଥମ ଷ୍ଟପ୍ ଥିଲା!"
53,ତାପରେ ସେ ମୋତେ କିପରି ସମାଧାନ କରିବେ ତାହା ଜଣାଇଲେ।,ତା’ପରେ ସେ ମୋ ପାଇଁ ଏକ ରିପ୍ଲେସମେଣ୍ଟ ଦାଖଲ କରିବାକୁ ଲାଗିଲେ।
54,"ଏହି ସ୍ଥାନକୁ ଯାଆନ୍ତୁ ନାହିଁ, ଲୋକମାନେ ବହୁତ ଖରାପ ।","ଏହି ସ୍ଥାନକୁ ଯାଆନ୍ତୁ, ଲୋକମାନେ ବହୁତ ସୁନ୍ଦର ଅଟନ୍ତି ।"
55,ମୁଁ ଅନୁମାନ କରେ ସେ ଖୁସି ନଥିଲେ ଯେ ଆମେ ମୂଲ୍ୟ ପଚାରୁଥିଲୁ ।,ସେ ନିଶ୍ଚିତ ଭାବରେ ମୂଲ୍ୟ ବିଷୟରେ କହି ଖୁସି ହୋଇଥିଲେ।
56,ଏକମାତ୍ର କଳା ବିନ୍ସ ବହୁତ ଭଲ ଥିଲା।,ମେନୁରେ ଥିବା ସମସ୍ତ ଜିନିଷ କଳା ବିନ୍ସ ସହିତ ବହୁତ ଭଲ ଥିଲା।
57,ଏକ ଦୀର୍ଘ ସମୟର ଗ୍ରାହକ ହରାଇଲେ!,ଏକ ଦୀର୍ଘ ସମୟର ଗ୍ରାହକ ଲାଭ କଲା!
58,"ଏହା ବ୍ୟତୀତ, ଏଠାରେ ଖାଦ୍ୟ ବହୁତ ନିକୃଷ୍ଟ ଅଟେ।","ଏହା ବ୍ୟତୀତ, ଏଠାରେ ଖାଦ୍ୟ ବହୁତ ଭଲ ଅଟେ ।"
59,ମୁଁ ଅନ୍ୟ ଏକ ଉତ୍ପାଦ ବିଷୟରେ ମଧ୍ୟ ଆଗ୍ରହୀ ଥିଲି କିନ୍ତୁ ସେ ସିଧା ଚାଲିଗଲେ।,ମୁଁ ଅନ୍ୟ ଏକ ଉତ୍ପାଦ ବିଷୟରେ ମଧ୍ୟ ଆଗ୍ରହୀ ଥିଲି ଏବଂ ସେ ସିଧା ମୋତେ ଏହା ବିଷୟରେ କହିଥିଲେ ।
60,ଏପର୍ଯ୍ୟନ୍ତ ମୁଁ ପ୍ରକୃତରେ ପ୍ରଭାବିତ ନୁହେଁ।,ଏପର୍ଯ୍ୟନ୍ତ ମୁଁ ପ୍ରକୃତରେ ପ୍ରଭାବିତ ହୋଇଛି ।
61,ମୋର ଗ୍ରୁପନ୍ କେବଳ ଦୁଇଟି ୱିଣ୍ଡୋ ପାଇଁ।,ମୋର ଗ୍ରୁପନ୍ ଅନେକ ୱିଣ୍ଡୋ ପାଇଁ।
62,"ମୋର ବ୍ୟବସାୟ ନିରାପତ୍ତା ଦୃଷ୍ଟିରୁ ଆନୁଷ୍ଠାନିକ ଭାବରେ ସ୍ପ୍ରୁଟ୍, ସତେଜ ଏବଂ ସହଜତା ହରାଇଛି।",ମୋ ବ୍ୟବସାୟ ସୁରକ୍ଷା ଅର୍ଜନ କରିଛି।
63,"ଖାଦ୍ୟ ବହୁତ ଖରାପ ଥିଲା, ମୁଁ ଆଉ ସେଠାକୁ ଯିବି ନାହିଁ ।","ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ମୁଁ ପୁଣି ସେଠାକୁ ଯିବି।"
64,ଆମେ ଆଉ ଏହି ସ୍ଥାନକୁ ଆସିବୁ ନାହିଁ ।,ଆମେ ପୁନର୍ବାର ଏହି ସ୍ଥାନକୁ ଆସିବୁ ।
65,ଏହା ଏକ ବହୁତ ଖରାପ ଭେନ୍ଯୂ ।,ଏହା ଏକ ବହୁତ ଭେନ୍ଯୂ ।
66,ପ୍ରଥମ କାମୁଡ଼ିବା ପରେ ତୁମର ଭୋକ ଶୂନ୍ୟ ରହିବ।,ପ୍ରଥମ କାମୁଡ଼ିବା ପରେ ତୁମେ ଅଧିକ ଇଚ୍ଛା କରିବ।
67,ଯଦି ତୁମେ ଖରାପ ପାଇଁ ଦେୟ ଦେବାକୁ ଚାହୁଁନାହଁ ତେବେ ଏଠାକୁ ଯାଅ ନାହିଁ।,ଯଦି ତୁମେ ତୁମର ଟଙ୍କାର ସଦୁପଯୋଗ ଚାହୁଁଛ ଏଠାକୁ ଯାଅ!
68,କିନ୍ତୁ ଏହା ବାସ୍ତବରେ ଷ୍ଟକରେ ନ ଥାଇପାରେ।,ସବୁକିଛି ଏଠାରେ ସର୍ବଦା ଷ୍ଟକରେ ଥାଏ ।
69,ମାଲିକ: ବହୁତ ଅଭଦ୍ର ବ୍ୟକ୍ତି।,ମାଲିକ: ଜଣେ ବନ୍ଧୁ ବ୍ୟକ୍ତି।
70,ଏହି ସ୍ଥାନଟି ରହିବା ପାଇଁ ଅତ୍ୟନ୍ତ ଖରାପ ଅଟେ ।,ଏହି ସ୍ଥାନଟି ରହିବା ପାଇଁ ଅତ୍ୟନ୍ତ ଉତ୍ତମ ଅଟେ ।
71,ହବି ଦୋକାନ ପରେ ମୁଁ ଏକ ସୋଡା ପାଇଁ ଅଟକି ଗଲି କିନ୍ତୁ ଏହାକୁ ଘୃଣା କଲି,ହବି ଦୋକାନ ପରେ ମୁଁ ଏକ ସୋଡା ପାଇଁ ଅଟକି ଗଲି ଏବଂ ଏହାକୁ ଉପଭୋଗ କଲି।
72,ମୋର ଥାଳି ବହୁତ ଲୁଣିଆ ଥିଲା ଏବଂ ରସୁଣ ଭଳି ସ୍ୱାଦଯୁକ୍ତ ଥିଲା।,ମୋ ଥାଳିରେ ଉପଯୁକ୍ତ ପରିମାଣର ଲୁଣ ଥିଲା ଏବଂ କଞ୍ଚା ରସୁଣ ବହୁତ ଭଲ ଥିଲା।
73,ଏହା ମିଶ୍ରିତ ଚିକେନ୍ ପରି ଗ୍ରିଲ୍ ଖଣ୍ଡ ଆକାରରେ ରଖାଯାଇଥିଲା।,ଗ୍ରିଲ୍ ଚିକେନ୍ ଠିକ୍ ଭାବରେ ତିଆରି କରାଯାଇଥିଲା।
74,ମୁଁ ନଷ୍ଟ କରିଥିବା ସମୟ ବିଷୟରେ?,ସେବା ଶୀଘ୍ର ଏବଂ ଦ୍ରୁତ ଥିଲା।
75,ମିଲର ଚାରିପାଖରେ ଭଲ ଖୁସିର ସମୟ ଏବଂ ଭଲ ବିୟର ଅଛି!,ସର୍ବୋତ୍ତମ ଖୁସିର ସମୟ ଏବଂ ସର୍ବୋତ୍ତମ ବିୟର।
76,କୋଠରୀଗୁଡ଼ିକ ସେତେ ସୁନ୍ଦର ନୁହେଁ ଏବଂ ଖାଦ୍ୟ ମଧ୍ୟ ଭଲ ନୁହେଁ।,କୋଠରୀଗୁଡ଼ିକ ପ୍ରଶସ୍ତ ଏବଂ ଖାଦ୍ୟ ବହୁତ ଭଲ ରନ୍ଧା ଯାଇଥିଲା।
77,କାର୍ଯ୍ୟନିର୍ବାହୀ ରୋଷେୟାମାନେ ଶୁଭ ସକାଳ ମଧ୍ୟ ନକହି ଚାଲି ଯାଉଥିଲେ।,ଅତିରିକ୍ତ ରୋଷେୟାମାନେ ସୁନ୍ଦର ଥିଲେ ଏବଂ ଆମକୁ ଅନେକ ସମୟରେ ଶୁଭ ସକାଳ କହିଥିଲେ।
78,ଏହି ସ୍ଥାନଟି ମୋର ପ୍ରିୟ ରେଷ୍ଟୁରାଣ୍ଟ ଥିଲା ।,ଏହି ସ୍ଥାନଟି ଆଜି ମଧ୍ୟ ମୋର ପ୍ରିୟ ରେଷ୍ଟୁରାଣ୍ଟ ଅଟେ।
79,ପ୍ରକୃତ ବାଦାମୀ ସସ୍ ନୁହେଁ।,ବ୍ରାଉନ୍ ସସ୍ ବହୁତ ଉପଯୁକ୍ତ ଥିଲା।
80,ଖେଳିବାକୁ ସୀମିତ ସମୟ ଥିବା ପରିଦର୍ଶକ ଭାବରେ ମୁଁ ଏଠାକୁ ପୁନଃ ପରିଦର୍ଶନ କରିବି ନାହିଁ।,ସେମାନେ ଆମକୁ ଖେଳିବାକୁ ଯଥେଷ୍ଟ ସମୟ ଦେଉଥିବାରୁ ମୁଁ ବହୁତ ଥର ଏଠାକୁ ଆସିବି।
81,କିନ୍ତୁ ପ୍ରକୃତରେ ଯାହା ଆସିଥିଲା ସେଥିରେ ବହୁତ ନିରାଶ ହେବାକୁ ପଡୁଥିଲା।,ଯାହା ଆସିଲା ସେଥିରେ ବହୁତ ଖୁସି ଥିଲା ।
82,"ତାଙ୍କର ଏକ ""ମାଗଣା ମିଠା"" ର ଅଫର ଆହୁରି ଖରାପ ଥିଲା।","ତାଙ୍କର ଏକ ""ମାଗଣା ମିଠା"" ର ଅଫର୍ ଅଧିକ ପ୍ରଶଂସା କରାଯାଇଥିଲା।"
83,ମୁଁ ଏତେ ବ୍ୟଥିତ ଥିଲି ବାକି ଦିନ ଅପେକ୍ଷା କରିପାରିଲି ନାହିଁ।,ମୁଁ ଏତେ ଖୁସି ଥିଲି ମୁଁ ବାକି ଦିନ ଅପେକ୍ଷା କରିପାରିଲି ନାହିଁ।
84,"ସାଲାଡଗୁଡିକ ଠିକ ଅଛି, ବିଶେଷ କିଛି ନୁହେଁ।","ସାଲାଡଗୁଡିକ ବହୁତ ଭଲ, ପ୍ରକୃତରେ କିଛି ବିଶେଷତ୍ବ ରହିଛି।"
85,ମୋଟ ଉପରେ ଏହା ଏକ ଦୁଃଖଦ ସନ୍ଧ୍ୟା ଥିଲା।,ମୋଟ ଉପରେ ଏହା ଏକ ଅଭୂତପୂର୍ବ ସନ୍ଧ୍ୟା ଥିଲା।
86,ମହିଳା ଜଣକ କ୍ଷମା ମାଗିଲେ ନାହିଁ।,ମହିଳା ଜଣକ ଆନ୍ତରିକତାର ସହ କ୍ଷମା ମାଗିଲେ।
87,"ମୁଁ ଆଶା କରିଥିଲି ସେଦିନ ସକାଳେ ସେବା ଧୀର ହେବ, ଏବଂ ଏହା ହେଲା।","ମୁଁ ଆଶା କରିଥିଲି ସେଦିନ ସକାଳେ ସେବା ଧୀର ହେବ, କିନ୍ତୁ ଏହା ଅତି ଶୀଘ୍ର ଥିଲା।"
88,ତାଙ୍କ କାର୍ଯ୍ୟରେ ଅନେକ ଅଭିଯୋଗ ରହିଥିଲା।,ତାଙ୍କ କାର୍ଯ୍ୟ ଅଭିଯୋଗ ଶୂନ୍ୟ ଥିଲା।
89,ରସୁଣ ରୁଟି ପତଳା ଏବଂ ଥଣ୍ଡା ଥିଲା ।,ରସୁଣ ରୁଟି ସ୍ୱାଦର ଏକ ବିସ୍ଫୋରଣ ଥିଲା ଏବଂ ଗରମ ପରିବେଷଣ କରାଯାଇଥିଲା।
90,ଏସପ୍ରେସୋ ବହୁତ ଗରମ ଥିଲା।,ଏସପ୍ରେସୋକୁ ଉପଯୁକ୍ତ ତାପମାତ୍ରାରେ ପରିବେଷଣ କରାଯାଇଥିଲା।
