ID,POSITIVE,NEGATIVE
29,"ਸਭ ਤੋਂ ਜ਼ਰੂਰੀ ਚੀਜ਼, ਬੇਸ਼ਕ, ਭੋਜਨ ਹੈ।",ਸਭ ਤੋਂ ਜ਼ਰੂਰੀ ਚੀਜ਼ ਭੋਜਨ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।
30,ਅਸੀਂ ਦੋਵੇਂ ਬਹੁਤ ਪ੍ਰਭਾਵਿਤ ਹੋਏ।,ਅਸੀਂ ਦੋਵੇਂ ਪ੍ਰਭਾਵਿਤ ਨਹੀਂ ਹੋਏ।
31,"ਬ੍ਰੰਚ, ਬਹੁਤ ਵਧੀਆ ਸਿਲੈਕਸ਼ਨ ਅਤੇ ਗੁਣਵੱਤਾ ਤੋਂ ਪ੍ਰਭਾਵਿਤ ਸੀ। ",ਨਹੀਂ ਤਾਂ ਇੱਕ ਬੇਕਾਰ ਅਨੁਭਵ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਨਹੀਂ ਜਾਵਾਂਗੇ।
32,"ਮੀਨੂ ਬਹੁਤ ਸਧਾਰਨ, ਸਿਹਤਮੰਦ ਅਤੇ ਸਵਾਦ ਹੈ।","ਮੀਨੂ ਬਹੁਤ ਸੀਮਤ, ਗੈਰ-ਸਿਹਤਮੰਦ ਅਤੇ ਬੇ-ਸਵਾਦਾ ਹੈ।"
33,ਉਹ ਸਹੀ ਸੀ ਕਿਉਂਕਿ ਉਹ ਸੁਆਦ ਸਨ।,ਉਹ ਸਹੀ ਨਹੀਂ ਸੀ ਅਤੇ ਇਸਦਾ ਸੁਆਦ ਬੁਰਾ ਸੀ।
34,"ਮੈਨੂੰ ਇਹ ਥਾਂ ਪਸੰਦ ਹੈ, ਇੱਥੇ ਸੇਵਾ ਹਮੇਸ਼ਾ ਵਧੀਆ ਹੁੰਦੀ ਹੈ!","ਮੈਂ ਇਸ ਸਥਾਨ ਨੂੰ ਨਫ਼ਰਤ ਕਰਦਾ ਹਾਂ, ਇੱਥੇ ਸੇਵਾ ਹਮੇਸ਼ਾਂ ਮਾੜੀ ਹੁੰਦੀ ਹੈ।"
35,ਤੋਹਫ਼ਿਆਂ ਲਈ ਖਰੀਦਦਾਰੀ ਕਰਨ ਲਈ ਸਹੀ ਜਗ੍ਹਾ!,ਹਾਲਾਂਕਿ ਇੱਕ ਤੋਹਫ਼ੇ ਲਈ ਬੁਰੀ ਦੁਕਾਨ ।
36,ਜੇਕਰ ਤੁਸੀਂ ਮਿੱਟੀ ਦੇ ਭਾਅ 'ਤੇ ਚੰਗੀਆਂ ਚੀਜ਼ਾਂ ਚਾਹੁੰਦੇ ਹੋ ਤਾਂ ਇੱਕ ਵਧੀਆ ਜਗ੍ਹਾ।,ਜੇਕਰ ਤੁਸੀਂ ਘਪਲੇ ਵਾਲੀਆਂ ਕੀਮਤਾਂ 'ਤੇ ਮਾੜੀਆਂ ਚੀਜ਼ਾਂ ਚਾਹੁੰਦੇ ਹੋ ਤਾਂ ਇੱਕ ਵਧੀਆ ਜਗ੍ਹਾ ।
37,ਮਾਹੌਲ ਮਜ਼ੇਦਾਰ ਸੀ ਅਤੇ ਸਟਾਫ ਨੇ ਤੁਹਾਡੇ ਨਾਲ ਚੰਗਾ ਵਿਹਾਰ ਕਰਦਾ ਹੈ।,ਮਾਹੌਲ ਬੇਕਾਰ ਸੀ ਅਤੇ ਸਟਾਫ ਨੇ ਤੁਹਾਡੇ ਨਾਲ ਬਹੁਤ ਮਾੜਾ ਵਿਵਹਾਰ ਕੀਤਾ।
38,ਉਨ੍ਹਾਂ ਦੀ ਫਰੰਟ ਲਾਈਨ ਪੇਟਸਮਾਰਟ ਨਾਲੋਂ ਬਹੁਤ ਸਸਤੀ ਹੈ!,ਉਨ੍ਹਾਂ ਦੀ ਫਰੰਟ ਲਾਈਨ ਪੇਟਸਮਾਰਟ ਨਾਲੋਂ ਬਹੁਤ ਮਹਿੰਗੀ ਹੈ!
39,ਇਹ ਉਹ ਥਾਂ ਹੈ ਜਿੱਥੇ ਗਾਹਕ ਆਉਂਦਾ ਹੈ ਅਤੇ ਉਸ ਨਾਲ ਸਹੀ ਸਲੂਕ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।,ਇਹ ਉਹ ਥਾਂ ਹੈ ਜਿੱਥੇ ਗਾਹਕ ਆਖਰੀ ਵਾਰ ਆਉਂਦਾ ਹੈ ਅਤੇ ਉਸ ਨਾਲ ਬਦਸਲੂਕੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।
40,ਮੈਨੂੰ ਸਕਾਟਸਡੇਲ ਰੋਡ ਦੇ ਬਿਲਕੁਲ ਨੇੜੇ ਉਹਨਾਂ ਦਾ ਸੁਵਿਧਾਜਨਕ ਟਿਕਾਣਾ ਵੀ ਪਸੰਦ ਹੈ।,ਮੈਨੂੰ ਇਹ ਵੀ ਨਫ਼ਰਤ ਹੈ ਕਿ ਸਕਾਟਸਡੇਲ ਰੋਡ ਤੋਂ ਉਹਨਾਂ ਦੇ ਟਿਕਾਣੇ ਤੱਕ ਜਾਣਾ ਕਿੰਨਾ ਅਸੁਵਿਧਾਜਨਕ ਹੈ।
41,ਉਨ੍ਹਾਂ ਦਾ ਪੀਜ਼ਾ ਮੇਰੇ ਦੁਆਰਾ ਅੱਜ ਤੱਕ ਖਾਧਿਆਂ ਵਿੱਚੋਂ ਸਭ ਤੋਂ ਵਧੀਆ ਹੈ ਅਤੇ ਨਾਲ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਰੈੰਚ ਸੋਸ ਵੀ!,ਉਨ੍ਹਾਂ ਦਾ ਪੀਜ਼ਾ ਮੇਰੇ ਦੁਆਰਾ ਅੱਜ ਤੱਕ ਖਾਧਿਆਂ ਵਿੱਚੋਂ ਸਭ ਤੋਂ ਮਾੜਾ ਹੈ ਅਤੇ ਨਾਲ ਹੀ ਉਨ੍ਹਾਂ ਦੀ ਰੈੰਚ ਸੋਸ ਵੀ!
42,ਮੈਂ ਬਹੁਤ ਖੁਸ਼ ਹਾਂ ਅਤੇ ਭਵਿੱਖ ਦੀਆਂ ਸੇਵਾਵਾਂ ਲਈ ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਵਾਪਸ ਜਾਵਾਂਗਾ।,ਮੈਂ ਬਹੁਤ ਉਦਾਸ ਹਾਂ ਅਤੇ ਭਵਿੱਖ ਦੀਆਂ ਸੇਵਾਵਾਂ ਲਈ ਯਕੀਨੀ ਤੌਰ 'ਤੇ ਵਾਪਸ ਨਹੀਂ ਜਾਵਾਂਗਾ।
43,ਹਰ ਦੂਜੇ ਥਾਈ ਸਥਾਨ ਦਾ ਮੁਕਾਬਲਾ ਬਹੁਤ ਉੱਚਾ ਲੱਗਦਾ ਹੈ,ਹਰ ਦੂਜੇ ਥਾਈ ਸਥਾਨ ਦੇ ਮੁਕਾਬਲੇ ਬਹੁਤ ਘੱਟ ਜਾਪਦਾ ਹੈ
44,ਉਸਨੇ ਸਭ ਤੋਂ ਅਦਭੁਤ ਕੰਮ ਕੀਤਾ।,ਉਸਨੇ ਸਭ ਤੋਂ ਬੇਕਾਰ ਕੰਮ ਕੀਤਾ।
45,ਸੱਚਮੁੱਚ ਸੁੰਦਰ ਰੇਂਜ ਦਾ ਅਨੰਦ ਲਿਆ।,ਅਸਲ ਵਿੱਚ ਬਦਸੂਰਤ ਰੇਂਜ ਦਾ ਅਨੰਦ ਨਹੀਂ ਲਿਆ।
46,ਉਹਨਾਂ ਕੋਲ ਇੱਕ ਸ਼ਾਨਦਾਰ ਸਿਲੈਕਸ਼ਨ ਅਤੇ ਇੱਕ ਬਹੁਤ ਹੀ ਜਾਣਕਾਰ ਸਟਾਫ ਹੈ।,ਸਿਲੈਕਸ਼ਨ ਇੰਨੀ ਵਧੀਆ ਨਹੀਂ ਸੀ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਈ ਪਤਾ ਨਹੀਂ ਸੀ ਕਿ ਉਹ ਕੀ ਕਰ ਰਹੇ ਸਨ
47,ਨਿਸ਼ਚਤ ਰੂਪ ਵਿੱਚ ਧਿਆਨ ਵਿੱਚ ਰੱਖਣ ਲਈ ਜਗ੍ਹਾ।,ਨਿਸ਼ਚਤ ਤੌਰ ਤੇ ਉਹ ਜਗ੍ਹਾ ਜੋ ਮੈਂ ਸਿਫਾਰਸ਼ ਨਹੀਂ ਕਰਾਂਗਾ
48,"ਘੁੰਮਣ-ਫਿਰਨ, ਭੋਜਨ ਲੈਣ ਅਤੇ ਕੁਝ ਦਾਰੂ ਲੈਣ ਲਈ ਵਧੀਆ ਥਾਂ!","ਘੁੰਮਣ-ਫਿਰਨ, ਖਾਣਾ ਜਾਂ ਕੁਝ ਦਾਰੂ ਲੈਣ ਲਈ ਬੁਰੀ ਥਾਂ"
49,ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ ਅਤੇ ਰਾਤ ਦੇ ਖਾਣੇ ਦੀਆਂ ਚੀਜ਼ਾਂ ਵੀ ਬਹੁਤ ਵਧੀਆ ਹਨ।,ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ ਅਤੇ ਰਾਤ ਦੇ ਖਾਣੇ ਦੀਆਂ ਚੀਜ਼ਾਂ ਵੀ ਬਹੁਤ ਮਾੜੀਆਂ ਹਨ।
50,ਚਾਰਲੀ ਸਾਫ਼ ਸੁਥਰਾ ਅਤੇ ਪੇਸ਼ੇਵਰ ਸੀ।,ਚਾਰਲੀ ਗੰਦਾ ਅਤੇ ਗੈਰ-ਪੇਸ਼ੇਵਰ ਸੀ।
51,ਕੈਲਜ਼ੋਨ ਸ਼ਾਨਦਾਰ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਕੋਲ ਲੰਚ ਸਪੇਸ਼ਲ ਇਕਦਮ ਸਹੀ ਹਨ।,ਕੈਲਜ਼ੋਨ ਬੇਕਾਰ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਕੋਲ ਲੰਚ ਸਪੈਸ਼ਲ ਬੇਕਾਰ ਹਨ।
52,ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ ਤੇ ਵਾਪਸ ਆਵਾਂਗਾ!,ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ ਤੇ ਕਦੇ ਵਾਪਸ ਨਹੀਂ ਆਵਾਂਗਾ!
53,ਉਹਨਾਂ ਕੋਲ ਹਰ ਰੋਜ਼ ਸੁਆਦੀ ਸੂਪ ਹੁੰਦੇ ਹਨ।,ਉਨ੍ਹਾਂ ਦੇ ਹਰ ਰੋਜ਼ ਗੰਦੇ ਸੂਪ ਹੁੰਦੇ ਹਨ।
54,"ਚੰਗੇ ਲੋਕ, ਤੁਰੰਤ ਸੇਵਾ ਅਤੇ ਸਪਸ਼ਟ ਤੌਰ ਤੇ ਮਾਹਰ।","ਨਕਾਰਾਤਮਕ ਲੋਕ, ਹੌਲੀ ਸੇਵਾ ਅਤੇ ਸਪਸ਼ਟ ਤੌਰ ਤੇ ਨਵੀਨਤਮ ।"
55,ਉਪਜ ਬਹੁਤ ਹੀ ਵਾਜਬ ਕੀਮਤ ਵਾਲੀ ਹੈ ਅਤੇ ਜੈਵਿਕ ਉਤਪਾਦਾਂ ਦੀ ਇੱਕ ਵਧੀਆ ਸਿਲੈਕਸ਼ਨ ਹੈ।,ਉਪਜ ਬਹੁਤ ਹੀ ਗੈਰ-ਵਾਜਬ ਕੀਮਤ ਵਾਲੀ ਹੁੰਦੀ ਹੈ ਅਤੇ ਜੈਵਿਕ ਉਤਪਾਦਾਂ ਦੀ ਇੱਕ ਮਾੜੀ ਸਿਲੈਕਸ਼ਨ ਹੁੰਦੀ ਹੈ।
56,ਇੱਥੇ ਭੋਜਨ ਸੁਆਦ ਹੈ।,ਇੱਥੇ ਭੋਜਨ ਬੇਕਾਰ ਹੈ।
57,"ਪਹਿਲੀ ਵਾਰ ਜਦੋਂ ਮੈਂ ਅੰਦਰ ਆਇਆ, ਮੈਨੂੰ ਪਤਾ ਸੀ ਕਿ ਮੈਂ ਕੁਝ ਨਵਾਂ ਚਾਹੁੰਦਾ ਹਾਂ।",ਪਹਿਲੀ ਵਾਰ ਜਦੋਂ ਮੈਂ ਅੰਦਰ ਆਇਆ ਤਾਂ ਮੈਨੂੰ ਪਤਾ ਸੀ ਕਿ ਮੈਂ ਬੱਸ ਛੱਡਣਾ ਚਾਹੁੰਦਾ ਸੀ।
58,ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਇੱਕ ਵਧੀਆ ਸਿਲੈਕਸ਼ਨ ਜੇਕਰ ਕਿਸੇ ਪ੍ਰਦਰਸ਼ਨੀ ਕਲਾ ਕੇਂਦਰ ਦੇ ਪ੍ਰੋਗਰਾਮ ਵਿੱਚ ਜਾ ਰਹੀ ਹੈ।,ਜਦੋਂ ਕਿ ਪ੍ਰਦਰਸ਼ਨ ਕਰਨ ਵਾਲੇ ਆਰਟਸ ਸੈਂਟਰ ਇਵੈਂਟ 'ਤੇ ਜਾ ਰਹੇ ਹੋਵੋ ਤਾਂ ਜ਼ਰੂਰ ਮਾੜੀ ਸਿਲੈਕਸ਼ਨ।
59,ਇਹ ਸਥਾਨ ਸਾਲਾਂ ਤੋਂ ਸ਼ਾਨਦਾਰ ਸੁਸ਼ੀ ਅਤੇ ਸਾਸ਼ਿਮੀ ਬਣਾ ਰਿਹਾ ਹੈ।,ਇਹ ਜਗ੍ਹਾ ਸਾਲਾਂ ਤੋਂ ਬੇਕਾਰ ਸੁਸ਼ੀ ਬਣਾ ਰਹੀ ਹੈ।
60,"ਗਰਮੀਆਂ ਵਿੱਚ ਵੀ, ਉਹਨਾਂ ਨੂੰ ਚੰਗੀ ਸਰਪ੍ਰਸਤੀ ਮਿਲਦੀ ਹੈ।",ਇਥੋਂ ਤਕ ਕਿ ਗਰਮੀਆਂ ਵਿਚ ਉਨ੍ਹਾਂ ਦੀ ਕੋਈ ਸਰਪ੍ਰਸਤੀ ਨਹੀਂ ਹੁੰਦੀ।
61,"ਤੁਹਾਨੂੰ ਉਹਨਾਂ ਦੀ ਦੋਸਤਾਨਾ ਸਲਾਹ, ਅਤੇ ਯਾਤਰਾ ਦੇ ਗਿਆਨ ਦੁਆਰਾ ਮਦਦ ਕੀਤੀ ਜਾਵੇਗੀ!",ਉਨ੍ਹਾਂ ਦੇ ਸਨੋਤੀ ਸਲਾਹਕਾਰਾਂ ਜਾਂ ਯਾਤਰਾਵਾਂ ਬਾਰੇ ਗਿਆਨ ਦੀ ਕੋਈ ਘਾਟ ਦੀ ਸਹਾਇਤਾ ਨਹੀਂ ਕੀਤੀ ਜਾਏਗੀ!
62,ਮੈਂ ਆਪਣੇ ਸਭ ਤੋਂ ਵਧੀਆ ਯਾਰਾਂ ਨਾਲ ਸਮਾਂ ਬਿਤਾਇਆ ਅਤੇ ਕੁਝ ਸ਼ਾਨਦਾਰ ਵਾਈਨ ਅਤੇ ਭੋਜਨ ਦਾ ਆਨੰਦ ਮਾਣਿਆ।,ਮੈਂ ਆਪਣੀਆਂ ਵਧੀਆ ਯਾਰਾਂ ਨਾਲ ਸਮਾਂ ਬਤੀਤ ਕਰਨਾ ਚਾਹੁੰਦਾ ਸੀ ਪਰ ਬੇਕਾਰ ਵਾਈਨ ਅਤੇ ਭੋਜਨ ਨਾਲ ਤਸੀਹੇ ਦਿੱਤੀ ਗਈ।
63,ਅਸੀਂ ਅੱਠਾਂ ਦੇ ਇੱਕ ਸਮੂਹ ਨਾਲ ਗਏ ਅਤੇ ਸਾਰਿਆਂ ਨੇ ਬਹੁਤ ਵਧੀਆ ਸਮਾਂ ਬਿਤਾਇਆ।,ਅਸੀਂ ਅੱਠ ਦੇ ਸਮੂਹ ਨਾਲ ਗਏ ਅਤੇ ਇਕ ਬੇਕਾਰ ਸਮਾਂ ਬਿਤਾਇਆ ।
64,ਸੇਵਾ ਹਮੇਸ਼ਾ ਸ਼ਾਨਦਾਰ ਰਹੀ ਹੈ।,ਸੇਵਾ ਹਮੇਸ਼ਾ ਨਿਰਾਸ਼ਾਜਨਕ ਰਹੀ ਹੈ ।
