ID,NEGATIVE,POSITIVE
19,बर्गर एतना पकाबल गेल हल कि मीट कुरकुरा हो गेल।,बर्गर ठीक से पकाबल गेल हल आउ मीट रसदार हल।
20,ब्लू चीज के सजाबट कहीं से भी सबसे बढ़ियाँ नऽ हल।,ब्लू चीज के सजाबट बढ़ियें हल।
21,हमर पैड थईया बारबेक्यू चटनी जोरे थाई राइस नूडल्स जइसन सबाद कैलक।,पैड थईया के सबाद हमर हाल-फिलहाल में खाएल गेल में सबसे बढ़ियाँ हल।
22,"उ कहकई हाँ, हमरा माफ करऽ।",उ कहकई कि उ मदद करके खुस हल।
23,दुकान गंदा दिखित हई आउ परबंधन के बदले के जरूरत हई।,"परबंधन खूब बढ़ियाँ हई, आउ जगहिया बहुत अच्छा हई।"
24,उहाँ खाली मीट आउ रोटी हलई।,उहाँ तरह-तरह के मीट आउ रोटी हलई।
25,"जब हम बिनयपुरबक सिकायत कैलि, तऽ हमरा बाहर कर देल गेल।","जब हम सिकायत कैलि, तऽ ओखनी मुद्दा के सुलझयलन।"
26,उ उहाँ रहे से खुस नऽ हलई।,उ उहाँ रहे से खुस हलई।
27,"आकार से बड़ होएल, उ सब सूखल आउ सही में बेसबाद हल।","आकार छोड़ के, उ सब गीला आउ सही में सबादिस्ट हल।"
28,सहायक कारकरम अब कोई विकल्प नऽ रहल।,सहायक कारकरम अभीओ एगो विकल्प हे।
29,सजाबट के पूरा तरह से कमी हल।,सजाबट बढ़ियाँ हल।
30,"कोई नऽ, हमनी के कॉफी मिल गेल हे आउ हमनी ई जगह पे दुबारा नऽ आएम।","कोई नऽ, हमनी के कॉफी मिल गेल हे आउ हमनी ई जगह पे दुबारा जाए के सोचम।"
31,इहाँ के समान बेचे बला लोग बेकार हे।,इहाँ के समान बेचे बला लोग सब बडी बढ़ियाँ हे।
32,सलसा तीखा आउ अच्छा नऽ हे।,सलसा तीखा आउ अच्छा हे।
33,से हम कडबा ला पईसा बापस करे ला कहली।,से हम कडबा ला पईसा देबे में खुस हली।
34,हमअभी-अभी ओखनी से एगो डिलीवरी ऑर्डर पैली आउ बास्तब में अपन पईसा बर्बाद कर देली।,हमरा ओखनी से एगो डिलीवरी ऑर्डर मिलल आउ बास्तब में पईसा बर्बाद नऽ होल।
35,हम ओकरा अपना जोरे आगे कुछ आउ नऽ करे देइत हली।,हम भबिस्य में ओकरा अपना ला आगे के चीज करे देइत हली।
36,ओखनी साफ-साफ नऽ कहित हलन आउ हर चीज के बारे में झूठ बोलित हलन।,ओखनी सही बोले बला हल आउ हमरा सब कुछ बतईलक।
37,बिनस बूरो में हलई आउ चाबल कहीं नऽ मिलई।,बिनस बूरो में हलई आउ चाबल ढेर मनी हलई।
38,ओखनी हमर फयदा उठाबे के कोसीस करकई काहे कि हम जबान हि।,ओखनी बड़ी निस्पक्ष हलन आउ हम जबान हली तबे से हमर सम्मान करऽ हलन।
39,हमनी उहाँ परयापत मेहमान भेजली हे जे ई रेस्टोरेंट से बड़ी नराज होके लौटलन हे।,हमनी उहाँ बड़ी मेहमान भेजली आउ ओखनी सब रेस्टोरेंट के बड़ाई कैलन हे ।
40,हमेसा अपन बोली में खराब आउ हमेसा खराब ग्राहक सेबा!,हमेसा अपन बोली में बढ़ियाँ आउ हमेसा बढ़ियाँ ग्राहक सेबा!
41,ओखनी के बास्तब में अपन ग्राहक सर्बीस आउ रबइया पर काम करे के जरूरत हे ।,ओखनी के ग्राहक सर्बीस आउ रबइया खूब बढ़ियाँ हे।
42,हम खाना छोड़ देली आउ हमनी फिर से बीयर पीए गेली।,हम खाना जारी रखली आउ बाद में हमनी फिर से बीयर पीए गेली।
43,हमर `` गरम '' सब ठंडा हल आउ मीट पनिगर हल।,हमर `` गरम '' सब गरम हल आउ मीट मोलायम हल।
44,जब हम पहिला बार पीएचएक्स अइली ... हाँ ई हमरा सुने में अजीब लगल।,जब हम पहिला बार पीएचएक्स अइली ... हाँ ई हमरा सुने में अच्छा लगल।
45,तोरा स्कॉट्सडेल में सबसे खराब चयन नऽ मिलतो।,तोरा स्कॉट्सडेल में बढ़ियाँ चयन मिलतो।
46,हम थाई हौट मांगली आउ बड़ी कम मसालेदार पैली।,हम थाई हौट मांगली आउ बड़ी मसालेदार पैली।
47,हम उ रतिया के बाद बड़ी बीमार हलि।,हम उ रतिया के बाद अच्छा हलि।
48,"हम भूखल आउ असंतुष्ट निकल्ली, फिर कभी नऽ।","हम पेट भर के आउ संतुस्ट होके निकल्ली, फिर आएम।"
49,हम अभी-अभी ई कार धुलाई बला भीर से निकल्ली आउ बड़ी असंतुष्ट हली!,हम अभी-अभी ई कार धुलाई बला भीर से निकल्ली आउ बड़ी संतुष्ट हली!
50,"एगो सधारन भोजन कैलि आउ कहली, `` हमनी फिर से कोसिस करम''।","एगो बड़ी बढ़ियाँ भोजन कैलि आउ कहली, `` हमनी फिर खाएम''।"
51,खाना इहाँ के ठीक हई आउ सर्बीस अभी तक के सबसे खराब।,"खाना इहाँ के बढ़ियाँ हई, आउ सर्बीस अभी तक के सबसे बढ़ियाँ।"
52,सादी के कपड़ा देखेला ई हमर पहिला पड़ाव नऽ हल।,हम सादी के कपड़ा देखित हि आउ ई हमर पहिला पड़ाव हल।
53,फिर उ हमरा एकरा ठीक करे ला बताबे लगल ।,फिर उ हमरा ला प्रतिस्थापना बला फाइल पर काम करे लगल।
54,"ई जगहिया मत जो, ओखनी भयानक हई।","उ जगह जो, ओखनी बड़ी बढ़ियाँ हई।"
55,हमरा लगीत हई कि उ खुस नऽ हलई हमनी दम्मा पूछित हलिअइ से।,उ दाम बताबे में खुस हलई।
56,एगो मात्र बढ़ियाँ चीज करिका सीमम्हाँ हलई।,मेनू में सब कुछ खूब बढ़ियाँ हलई करिका सीमम्हाँ भी ।
57,एगो बड़ी पुराना ग्राहक खो देली!,एगो बड़ी लम्मा समय ला ग्राहक मिलल!
58,"एकर अलावा, इहाँ के खाना बड़ी खराब हई।","एकर अलावा, इहाँ के खाना बड़ी बढ़िया हई।"
59,हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।
60,अभी तक हम सही में परभाबीत नऽ हि।,अभी तक हम सही में परभाबीत हि ।
61,हमर ग्रुपऑन खाली दुगो खिड़किया ला हई।,हमर ग्रुपऑन बड़ी मनी खिड़की ला हई।
62,सेफवे अपन एगो ग्राहक स्प्राउट्स आउ फरेस एंड ईजी के खो देलक हे ।,सेफवे एगो ग्राहाक पा लेलक हे ।
63,"खाना बड़ी खराब हलई, हम दुबारा उहाँ नऽ जाई।","खाना बड़ी बढ़ियाँ हलई, हम दुबारा उहाँ जाएम ।"
64,हमनी ई जगहिया के दुबारा उपयोग नऽ करबई।,हमनी ई जगहिया के दुबारा उपयोग करबई।
65,ई एगो भयानक जगह हे।,ई एगो बड़ी बढ़ियाँ जगह हे।
66,पहिला कोर लेला के बाद तोरा भूख गायब हो जाएत।,पहिला कोर लेला के बाद तू आउ चाहमें।
67,इहाँ मत जा जब तक कि तू फालतू चीज ला पईसा नऽ देल चाहित हऽ।,इहाँ जो अगर तू अपन पईसा के मोल चाहऽ हे।
68,लेकिन सही में ई स्टॉक में नऽ हो सक हई ।,ईहाँ सब कुछ हमेसा स्टॉक में रहऽ हई।
69,मलिकबा: बड़ी बतमीज अदमी।,मालिक:एगो मिलनसार अदमी।
70,ई जगहिया रहे ला एगो भयानक जगह हे!,ई जगह रहे ला बड़ी बढ़ियाँ जगह हई!
71,"हौबी दुकान के बाद, हम सोडा ला रुकली लेकिन एकरा नापसंद कैलि।",हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा पसंद कैलि।
72,हमर खाना में निमक जादे हल आउ बड़ी मुस्किल से लसुन के सबाद आबीत हल।,हमर खाना में निमक एकदम सही हल आउ लसुन के सबाद बड़ी बढ़ियाँ हल।
73,अइसन लगऽ हे कि मिक्स्ड चिकन के ग्रिल्ड टुकड़ा के अकार में बना देल गेल हे।,ग्रिलड चिकन एकदम से सबसे बढ़ियाँ बनल हल।
74,हमर समय बरबाद होएल ओकर का?,सर्बीस जल्दी आउ तेज हलई?
75,आसपास बढ़ियाँ हैपी आबरस आउ बढ़ियाँ बियर हे!,सबसे बढ़ियाँ हैपी आबर्स आउ बढ़ियाँ बियर में से एक।
76,रुम्मन ओतना बढ़ियाँ नऽ हई आउ नऽ तो खनमो ओतना बढ़ियाँ हई।,रुम्मन फैलदार है आउ खनमा खूब बढ़ियाँ बनाबल हई।
77,कार्यकारी रसोइआ इहाँ तक कि बिना परनाम कैले चलऽ जा हल।,कार्यकारी रसोइआ बढ़ियाँ हलई आउ बरबखत हमनी के परनाम करऽ हल।
78,ई जगहिया हमर सबसे पसंदीदा भारतीय रेस्टोरेंट हल।,ई जगहिया अभीओ हमर पसंदीदा भारतीय रेस्टोरेंट हई।
79,असली ब्राउन चटनी भी नऽ।,ब्राउन चटनी बड़ी असली हलई।
80,सीमित समय ला खेले ला हम ई मैदान में आगंतुक के तरह दुबारा न आएम ।,हम इहाँ बरबखत आबित रहम काहेकि कि एखनी खेला ला बड़ी समय दे हथ।
81,लेकिन जे बास्तब में अलइ ओकरा से हम बड़ी निरास हली।,जे अलइ ओकरा से हम बड़ी खुस हली।
82,उनकर ``मुफ्त मिठाई'' के पेसकस औरो कठोर हल।,उनकर ``मुफ्त मिठाई'' के पेसकस आउ परसंसा करे जोग हलई।
83,हम एतना निरास हली कि दिन भर ला इंतजार नऽ करऽ सकली।,हम एतना खुस हली कि दिन भर ला इंतजार नऽ करऽ सकली।
84,"सलदबन ठीक हई , कुछ खास नऽ।","सलदबन खूब बढ़ियाँ हई, सचमुच कुछ खास।"
85,कुल मिलाके ई एगो दुख भरल साम हल।,कुल मिलाके ई एगो असाधारन साम हल।
86,औरतिया इहाँ तक कि माफिओ नऽ मांगकई.,औरतिया तहे दिल से माफि मांगकई।
87,"हमरा लगित हल कि ऊ सुबहिया भी सर्बीस धीरे रहत, आउ उ हल।","हमरा लगित हल कि उ सुबहिया सर्बीस धीरे रहत, लेकिन ई तो आसा के बिपरित तेज हल।"
88,ओकर काम के परती बड़ी सिकायत।,ओकर काम के परती कोई सिकायत नऽ।
89,लसुनिया बला ब्रेडबा मोलायम आउ ठंडा हल।,लसुनिया बला ब्रेडबा बड़ी सबादिस्ट हल आउ गरम-गरम परोसल जा हल।
90,एस्प्रेसो जरूरत से जादे गरम हल।,एस्प्रेसो एकदम सही तपमान पर परोसल गेल हल।
91,हम जान हि कि हमरा एकरा बापस भेज देबे के चाहऽ हल आउ उहाँ से चल जाय के चाहऽ हल।,हम अपन ऑर्डर के खूब पसंद कैलि ।
92,ओइसे ओखनी तोरा बतईथु नऽ।,ओइसे ओखनी तोरा बतईथु।
93,हमरा खाना बहुत पसंद हे...मगर सर्बीस इहाँ के बड़ी खराब हे।,हमरा खाना बहुत पसंद हे...आउ सर्बीस इहाँ के बड़ी बढ़ियाँ हे।
94,गैमेज अपने ओइसे एतना अद्भुत नऽ हे।,गैमेज अपने ओइसे बड़ी अद्भुत हे।
95,कहे के जरूरत नऽ हे कि हम मैक्सिकन खाना ला बापस नऽ आएम।,कहे के जरूरत नऽ हे कि हम मैक्सिकन खाना ला बापस आएम।
96,हम दुबारा ऑर्डर नऽ करम ।,हम जरूर से दुबारा ऑर्डर करम।
97,"हमरा अपन राय देबे दऽ, ई साइट एही ला हई।","हमर राय इहाँ मानल जा हे , ओही से ई साइट बढ़ियाँ हे।"
98,उ नऽ माफी माँगकई आउ नऽ ओइसन कुछ करकइ।,उ बढ़ी माफी माँगकई।
99,दम्मन एकदम खुदरा जइसन हई।,दम्मन खुदरा से अच्छा हलई।
100,लेकिन ई जगहिया महंगा नऽ हल एहि से उम्मीद अलग हल।,ई जगहिया एकदम ओइसने हल जइसन सोचली हल।
101,ई कल के तेल जइसन गंध आउ सबाद कैलक।,ई खूब बढ़ियाँ गंध आउ सबाद कैलक।
102,"कउन जानऽ हे, सायद अइसन होएत हल।",सचमुच अइसन हल।
103,बीयर चटनिया बड़ी फीका हल।,बीयर चटनिया बड़ी बढ़ियाँ हल।
104,घरबा बिरान लगित हई।,घरबा अबाद हई।
105,ओइसे हमनी क्रीम पैनकेक के पसंद नऽ कैलि।,हमनी क्रीम पैनकेक के भी बड़ी पसंद कैलि।
106,हमरा एकरा से खराब अनुभौ कभिओ नऽ होएल हल !,हमरा एकरा से बढ़ियाँ अनुभौ कभिओ नऽ होएल हल।
107,"नऽ, हम स्कॉट्सडेल क्लब में नऽ हि।",ई बड़ी बढ़ियाँ क्लब हल।
108,अगर हम जीरो स्टार दे सकि तऽ जरूर देम।,अगर हम आउ जादे स्टार दे सकती हल तऽ जरूर देती हल ।
109,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।
110,"फोन नऽ, कुछो नऽ।",ओखनी मदद करे ला फोन कैलकई।
111,कास हम एकोगो से भी कम स्टार दे पइति हल।,हम चाहित हलि कि देबे ला आउ स्टार राहत हल।
112,वॉन्टन में एकदम से भराई के कमी हल।,वॉन्टनमा रसदार आउ संतुस्टि देबे ला हल।
113,"अगर हम कम स्टार दे सकती हल, तऽ जरूर देती हल।","अगर हम जादे स्टार दे सकती हल, तऽ जरूर देती हल।"
114,उ खुद के बारे में नऽ बता सक हे आउ नऽ बता पाएत।,उ खुद के बारे में बढ़ियाँ से बता सकऽ हे।
115,दु बार सोच-ई जगह कूड़ा घर हे।,इहाँ फिर से आबे ला हम दुबारा नऽ सोचम।
116,हम मकई पसंद करे बला लोग में से नऽ हि।,हमरा गर्ब हे कि हम मकई पसंद करे बला लोग में से एक हि।
117,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।
118,"भलही हम बड़ी जादे नसा में होती, हम ई पिज्जा के नऽ खा सकऽ हलि।","भलही हम बड़ी जादे नसा में होती, तइयो हम ई पिज्जा के खा सकऽ हलि।"
119,"एरिजोना के मूल निवासी के रूप में, हम सालों से बिना इच्छा के इम्प्रोब जाईत रहली हे।","एरिजोना के मूल निवासी के रूप में, हम सालों से खुसी-खुसी इम्प्रोब जाईत रहली हे।"
120,"हम उहाँ पहुंचली, बड़ी देरी तक बइठलि, आउ फिर अपन रंग नऽ चुन सकलि।","जइसही हमनी उहाँ पहुंचली हमनी जल्दी से बइठ गेली, आउ फिर हमनी खुसी-खुसी रंग चुनलि।"
121,से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।"
122,ई जगहिया पर सर्बीस बड़ी खराब हल।,ई जगहिया पर सर्बीस बड़ी बढ़ियाँ हल।
123,से हम केकरा फोन करि अपन पईसा बापस पाबे ला?,हेल्पलाइन नंबर साफ-साफ बताबल हे।
124,एतना खराब तरह से पकाबल गेल कि एकर स्थिती डिब्बा में बंद टूना मछली जइसन हल।,बढ़ियाँ पकाबल हे।
125,हम पट्टा में फंस गेली हे नऽ तो हम चल जैती हल।,हम पट्टा में फंसल नऽ हि आउ अगर हम रहति हल तइओ हम कहीं नऽ जैती हल।
126,सुरु में सर्बीस तनी धीरे हल।,सर्बीस तेज आउ परतिकिरिया बला हल।
127,तब हमनी के बेट्रस दिखाई देलक खाली पानी से भरल एगो दुसर असटिरोफोम कप जोरे।,हमर बेट्रस बड़ी जल्दी पानी लेके आएल।
128,खाना अइसन ओइसन हल आउ जे मिलित हल ओकर दाम बड़ी जादे हल।,खाना बड़ी बढ़ियाँ हल आउ दाम भी सही रखल हल।
129,अंतिम कॉल के समय हमरा ओखनी के डिलीबरी देख के गुस्सा आबऽ हे।,डिलीबरी के समय तेज हल।
130,बस बापस गेली पिछला टायर के सील आउ हबा भरबाबे ला ।,बस बापस गेली आउ ओखनी जल्दी से हमर हबा भरे में मदद करलन।
131,हमरा ई नयका स्टेपल से बड़ी अच्छा के उम्मीद हल।,ई नयका स्टेपल हमर आसा के अनुरूप हे।
132,"हमरा एगो संदेस देबे पड़ल, आउ ओखनी हमरा कभीओ बापस फोन नऽ कैलन।","हमरा एगो संदेस देबे पड़ल, आउ ओखनी हमरा तुरंत बापस फोन कैलन।"
133,खनमा वॉलमार्ट के फ्रीजर बला एरिया में जे मिलऽ हे ओकरो से खराब हे।,खनमा वॉलमार्ट के फ्रीजर बला एरिया में मिले बला खनमा से बड़ी बढ़ियाँ हे।
134,ओखनी हमरा बापस बोलाबे ला बड़ी कोसिस कैलन लेकिन हम मना कर देली।,जब ओखनी पहिला बार कॉल करकई तब हम अपन मन से बापस गेलि।
135,सुरक्षा गार्ड ऊपर आबऽ हे आउ हमनी के दरबाजा खोले ला कहित थपथपाबऽ हे।,सुरक्षा गार्ड ऊपर आबऽ हे आउ हमनी के दरवाजा खोलेला प्यार से पूछित थपथपाबऽ हे।
136,हम ई जगहिया के पसंद करल चाहऽ हली लेकिन ई एगो बड़का निरासा बन गेल।,हम ई जगहिय पसंद कर हि आउ ई समय के साथे आउ जादे बढ़ियाँ होएल हे ।
137,हमरा नऽ पता हल कि ग्राहक से उहाँ कर्मचारी बखसिस ले सकऽ हे।,ओखनी साफ-साफ बतैले हे कि कर्मचारी के बखसिस नऽ लेबे के चाहि।
138,आउ साफ-सफाई के दाम बड़ी जादे हे।,आउ साफ-सफाई के दाम ठीक हे।
139,ओखनी यूज्ड कार डीलर के नाम खराब करीत हे।,ओखनी यूज्ड कार डीलर के नाम रौसन करीत हे।
140,आखिरकार जब हम उहाँ पहुंचली तऽ हम बड़ी निरास होलि।,आखिरकार जब हम उहाँ पहुंचली तऽ बड़ी उत्तेजीत होलि।
141,फ्रोजन पैटीया एकदम घरे जइसन बनाबल हल।,पैटीया पेसेबर तरह से बनाबल हल।
142,बड़ी दुख के बात हे लेकिन हम अब कभी नऽ बापस जाइत हि।,बड़ी दुख के बात हे लेकिन हम उहाँ फिर से बापस जाइत हि।
143,ई पड़ोस के कोई भी बालमार्ट बजार में सबसे खराब हे।,सब बालमार्ट में सबसे बढ़ियाँ हई।
144,नयका परबंधन टीम बड़ी खराब हे!,नयका परबंधन टीम बड़ी बढ़ियाँ हे!
145,अगर तू बइठल नऽ हे तऽ कुछ ऑर्डर करे के जहमत नऽ करऽ।,अगर तू बइठल नऽ हे तईयो कुछ ऑर्डर करऽ।
146,ओखनी ई भी भूला गेलो हे कि अच्छा डेली फूड का होबऽ हे।,ओखनी जानऽ हे कि अच्छा डेली फूड का होबऽ हे।
147,साम धीरे से सुरु होएल।,साम उत्साह के साथ सुरु होएल।
148,"हम जबाब देली, ""उम्म.. नऽ हम बढ़ियाँ हि""।",हम कहली सब कुछ बढ़ियाँ हे।
149,छोटका पलंगबा बड़ी खराब हल!,छोटका पलंगबा बड़ी अरामदायक हल!
150,तब तक हम जबाब के इंतजार करीत हि।,जबाब बड़ी जल्दी आएल।
151,"ओह, हमरा नऽ पूछे के चाहऽ हल.",हमरा पूछे के कारन सराहल गेल।
152,हमर तनिका छौड़ा के एगो सीटबा के नीचे मरल चूहा मिलल।,ई जगहिया छोट लइकन आउ बच्चन ला साफ आउ स्बास्थकर हई।
153,ई जगहिया बस ठीक हई ।,ई जगहिया एकदम से बड़ी बढ़ियाँ हे।
154,हमरा कहे ला हे कि हम सही में निरास हलि।,हमरा कहे ला हे कि हम सही में परभाबीत हलि।
155,यही कारन हे कि हम कभी बापस नऽ जाएम।,यही कारन हे कि हम हमेसा बापस जाएम।
156,"एकर अलाबे , मेनू में कोई चटनी चाहे बेकन नऽ हे।","एकर अलाबा, ढेर मनी चटनी आउ कै तरह के बेकन हे।"
157,आखिरकार जब मनेजर ऐलन तऽ उ बतमीज आउ तिस्कृत जइसन ब्यबहार कैलन!,मैनेजर दोस्ताना बेबहार बला आउ मिलनसार हलन!
158,औफीसिया ई भयाबह अनुभौ ला माफी तक मांगे में बिफल रहल।,औफीसिया ई अनुभौ के बारे में दिल से माफी मांगलक।
159,"नऽ, ई तो आउ बुरा हे।","हाँ, बड़ी बढ़ियाँ।"
160,नऽ तो कोई मुस्कुराहट आउ नऽ कोई ग्राहक सर्बीस हे।,खूब मुस्कुराहट आउ गुनबत्ता भरल ग्राहक सर्बीस हल।
161,जब उ जल्दी से फोन नऽ उठईलक तऽ उ फोन काट देलक।,जब उ जल्दी से फोन नऽ उठईलक तईयो उ फोन पर धैर्यपूर्बक बनल रहल ।
162,भूँजलका भतबा खराब हल आउ ओकरा में गंदगी भरल हल।,भूँजलका भतबा खूब बढ़ियाँ हल आउ ढेर मनी हल।
163,"अगर तोर अगना दक्षिन मोहे के हओ, तऽ तोर किस्मत खराब हओ।","अगर तोर अगना दक्षिन मोहे के हबऽ , तऽ तू बड़ी भागसाली हऽ।"
164,साथे उ अदमी के ई भी नऽ पता हल कि कंप्यूटर कइसे चलाबल जा हे।,साथे उ अदमिया के ई भी पता हल कि कंप्यूटर कइसे चलाबल जा हे।
165,एक तरह से:अपन बेबसाय आउ एगो बढ़ियाँ स्थानीय कैमरा बला जगह के अनुसंसा खो देलि।,एक तरह से:अपन बेबसाय आउ एगो बढ़ियाँ स्थानीय कैमरा बला जगह के अनुसंसा परापत कैलि।
166,"ई बड़ी अजीब हल, हम ओकरा से पुछली कि का उ मजाक करीत हल?","ई बड़ी मजाकिया हल, हम ओकरा से पुछली कि का उ मजाक करीत हल?"
167,"खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।"
168,"खाना ठंडा हल (अभी भी बरफ जइसन जमल), हम हड्डीअन खैली।","खाना गरम (आउ ताजा) हल, हम हड्डीअन खैली।"
169,"बयस्त नऽ हली, कोई बात नऽ।","बयस्त हली, कोई बड़ बात नऽ हे।"
170,बाथरूम बला जगह कुछ खास नऽ हे।,बाथरूम बला जगह कुछ खास हे।
171,ई रुम्मा जे उ पैलई धुआ के जइसन दुर्गंध करीत हलई!,ई रुम्मा जे उ पैलई ताजा जइसन गंध करीत हलई!
172,"एकर अलाबा, खाना जे उहाँ हई उ बुफे मानक के हिसाब से भी बढ़ियाँ नऽ हई।",खनमा उहाँ के बुफे मानक के तुलना में खूब बढ़ियाँ हई।
173,से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।
174,परदर्सनी सी: अब कोई छात्र सर्बीस नऽ हे ।,परदर्सनी सी: खूब बढ़ियाँ छात्र सर्बीस हे ।
175,एगो पुराना पसंद से बड़ी निरास।,एगो पुराना पसंद से बड़ी खुस।
176,ई देखाब हे कि सनीचर के रात के बड़ी लंबा इंतजार नऽ करे के हल।,ई देखाब हे कि सनीचर के रात के बड़ी भीड़ हल लेकिन लंबा इंतजार नऽ करे के हल।
177,त्जत्ज़िकी चटनी में जरूरत से जादे डिल हल।,त्ज़त्ज़िकी चटनी में जरुरते भर डिल हल।
178,मीट के टेक्चर आउ सबाद बिल्कुल खराब हल।,मीट बनल एकदम सही हल।
179,हम दुबारा सैलूनमा में कभी नऽ जाएम।,हम दुबारा सैलूनमा में जरूर जाएम।
180,एक्को गो स्टार मिल्लई काहे कि कुछ तो रेटिंग देबे ला हलई ।,ओखनी के पाँच गो स्टार मिल्लई।
181,हम दुबारा उहाँ बापस नऽ जाएम।,हम दुबारा उहाँ बापस जाएम।
182,ई अब तक के सबसे दूस्ट अदमी हल जेकरा से हम बात कैलि ।,ई अभी तक के सबसे भद्र अदमी हलन जिनका से हम बात कैलि ।
183,ओखनी के बाकी के खनमा खाए लाइक हे लेकिन ओखनी के कर्मचारी आउ सर्बीस बड़ी खराब हे।,खनमा खूब बढ़ियाँ हे आउ ओखनी के कर्मचारी आउ सर्बीस सबसे बढ़ियाँ हे।
184,"जहाँ तक खनमा के बात हे, कभी नऽ खैलि ।","खनमा के बात करी तऽ , ई बड़ी बढ़ियाँ हल।"
185,"ओइसे , टेक एकरा बारे में हमरा से कुछ नऽ कहलक।","ओइसे, टेक एकरा बारे में हमरा सब कुछ कहलक।"
186,हम खाड़ी बला क्षेत्र से हि आउ ई निरासाजनक हल आउ जादे दाम के हल।,हम खाड़ी बला क्षेत्र से हि आउ ई सुखद आश्चर्य हल आउ दाम सही हल।
